otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609718400000,27.32300000,42.00000000,26.00000000,36.22900000,7429073.18500000,1610323199999,261122274.08304000,742191,3835152.93200000,134595565.12142400,0
1610323200000,36.23000000,39.20000000,27.00000000,37.48400000,5062913.80300000,1610927999999,174910266.19951100,508949,2591375.27000000,89704383.40210800,0
1610928000000,37.50600000,41.90800000,35.02000000,41.23200000,3595367.15900000,1611532799999,137395877.56348100,412564,1822268.25000000,69708699.79703400,0
1611532800000,41.27700000,74.37300000,41.16000000,63.39900000,7555487.39000000,1612137599999,422610329.17538900,1055721,3865023.16000000,216348246.02468100,0
1612137600000,63.38700000,142.97000000,58.02000000,139.74400000,6229890.28400000,1612742399999,571706188.97242900,1238360,3213781.13900000,295169797.88701500,0
1612742400000,139.74600000,216.99800000,128.90000000,154.14000000,8100935.05900000,1613347199999,1413639402.73773000,2247357,4094823.22100000,716006272.46917000,0
1613347200000,154.26400000,169.00000000,65.60000000,140.70700000,6377089.13500000,1613951999999,909408757.88164000,1550376,3176750.46200000,453758784.59850000,0
1613952000000,140.70700000,154.00000000,90.00000000,130.58600000,5564578.08100000,1614556799999,683865382.72228600,1246470,2784699.36400000,342878486.77778400,0
1614556800000,130.55300000,160.00000000,127.27800000,145.78600000,3220141.84200000,1615161599999,458587548.17284200,838551,1640316.46300000,233853792.47934000,0
1615161600000,145.78500000,165.00000000,125.00000000,131.73500000,2044683.50200000,1615766399999,302228950.47977700,668435,991241.15800000,146909056.94241400,0
1615766400000,131.83200000,148.76500000,124.48000000,138.47300000,1384322.23000000,1616371199999,185475626.06710300,477098,691879.12000000,92775453.03414700,0
1616371200000,138.27600000,153.31100000,115.77500000,141.58800000,1876933.79100000,1616975999999,256086976.64310200,659375,930690.45800000,127169490.34079000,0
1616976000000,141.58800000,186.62900000,131.75500000,168.20000000,2324017.62700000,1617580799999,368839196.82865000,776614,1186231.00500000,188391942.09051300,0
1617580800000,168.10600000,243.27300000,159.17500000,237.01400000,3391688.87600000,1618185599999,658613163.76682300,1323062,1733882.11500000,337457481.65924900,0
1618185600000,237.01400000,245.80000000,125.00000000,189.99100000,2921775.06400000,1618790399999,613648735.61769400,1234476,1438167.61900000,302731262.03557600,0
1618790400000,189.97500000,196.00000000,138.00000000,149.50000000,2610930.03710000,1619395199999,439033531.43017940,992561,1300565.14260000,219209599.98939040,0
