otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609459200000,0.12994000,0.13888000,0.12860000,0.13561000,13878554.90000000,1609545599999,1867759.54970200,17075,7062593.20000000,950189.30213500,0
1609545600000,0.13567000,0.13571000,0.12701000,0.13156000,13171004.90000000,1609631999999,1735681.75961500,16278,6292458.10000000,829547.97622700,0
1609632000000,0.13172000,0.13699000,0.12806000,0.13500000,20306643.30000000,1609718399999,2697702.14660800,22618,10210014.40000000,1357604.40989300,0
1609718400000,0.13500000,0.14732000,0.12800000,0.14105000,32351362.80000000,1609804799999,4480782.01144100,39270,16687279.10000000,2315549.32554700,0
1609804800000,0.14101000,0.14820000,0.13400000,0.14654000,24622543.00000000,1609891199999,3477109.74206700,29507,13089652.80000000,1851580.64885500,0
1609891200000,0.14654000,0.16294000,0.14255000,0.16005000,36828277.00000000,1609977599999,5641834.67238800,45041,20162932.70000000,3089495.62911600,0
1609977600000,0.16041000,0.18879000,0.15170000,0.16388000,44221166.30000000,1610063999999,7542613.59530000,52247,22836611.10000000,3898224.10356800,0
1610064000000,0.16391000,0.27200000,0.16391000,0.21488000,330270304.00000000,1610150399999,75236942.60444200,242799,179452247.40000000,40953654.62023000,0
1610150400000,0.21485000,0.21701000,0.18900000,0.20456000,80561486.30000000,1610236799999,16186585.64677800,81966,41345911.90000000,8316801.32601100,0
1610236800000,0.20456000,0.21375000,0.16800000,0.18527000,49654627.20000000,1610323199999,9573216.70272000,52406,23322360.20000000,4484946.42961400,0
1610323200000,0.18552000,0.18586000,0.14026000,0.16323000,51592468.70000000,1610409599999,8144049.50299000,46016,25806696.70000000,4078279.03675400,0
1610409600000,0.16325000,0.18073000,0.15629000,0.16712000,41684601.60000000,1610495999999,7052618.54855500,38421,22214298.60000000,3760931.59380100,0
1610496000000,0.16714000,0.18097000,0.15666000,0.17980000,20969515.50000000,1610582399999,3543274.17742100,24750,10980778.00000000,1856616.53048300,0
1610582400000,0.17980000,0.18996000,0.17233000,0.18307000,25464136.40000000,1610668799999,4648640.66588200,28787,13433114.10000000,2455679.11335800,0
1610668800000,0.18313000,0.19790000,0.16842000,0.18883000,42653692.00000000,1610755199999,7905943.10579100,43761,21690216.90000000,4022560.86674600,0
1610755200000,0.18890000,0.20843000,0.18653000,0.19480000,42362437.80000000,1610841599999,8371388.24357200,45359,21240891.00000000,4202055.63754700,0
1610841600000,0.19474000,0.29881000,0.19444000,0.23114000,177231853.30000000,1610927999999,43717874.35685300,176920,86880527.50000000,21437875.31180200,0
1610928000000,0.23117000,0.27300000,0.22690000,0.24692000,104838275.10000000,1611014399999,25891056.19537100,101178,54754231.80000000,13523009.93708900,0
1611014400000,0.24715000,0.44399000,0.23700000,0.36023000,399731122.40000000,1611100799999,138041368.01916400,377969,207967409.70000000,71786660.10483800,0
1611100800000,0.36149000,0.46600000,0.34862000,0.42131000,325551796.50000000,1611187199999,137617294.26801900,373537,162530836.10000000,68738087.25701400,0
1611187200000,0.42129000,0.43621000,0.32536000,0.32925000,137018866.50000000,1611273599999,50995130.43187400,165943,68947152.30000000,25670213.66869100,0
1611273600000,0.32928000,0.41498000,0.29000000,0.38157000,131381776.80000000,1611359999999,47294213.59676600,157268,65593452.70000000,23693380.46400200,0
1611360000000,0.38101000,0.44754000,0.37372000,0.42973000,95854987.20000000,1611446399999,40158255.42994700,135285,48287275.10000000,20229193.31011100,0
1611446400000,0.42918000,0.42974000,0.39578000,0.42099000,44462468.90000000,1611532799999,18278680.51150300,68685,21686673.40000000,8916660.26180500,0
1611532800000,0.42065000,0.49500000,0.40303000,0.47220000,107200650.70000000,1611619199999,46438390.91718400,128463,53857406.20000000,23404632.62358500,0
1611619200000,0.47218000,0.49000000,0.38379000,0.43936000,155568590.20000000,1611705599999,67983169.57539300,190924,78350881.10000000,34252980.89094000,0
1611705600000,0.43836000,0.43935000,0.35406000,0.36313000,57011301.00000000,1611791999999,22029916.19906400,82433,28095783.40000000,10857263.55117500,0
1611792000000,0.36294000,0.39294000,0.34221000,0.37379000,56895797.00000000,1611878399999,21144398.43696700,82877,27929660.50000000,10391966.05602300,0
1611878400000,0.37306000,0.37499000,0.34367000,0.35973000,40365756.20000000,1611964799999,14525052.83417900,66296,20641317.00000000,7435273.76682600,0
1611964800000,0.35937000,0.36238000,0.33000000,0.33502000,27936100.20000000,1612051199999,9603614.60993900,49309,12854457.90000000,4421734.53067300,0
1612051200000,0.33571000,0.37300000,0.32948000,0.34366000,45265514.80000000,1612137599999,15766031.85764500,76976,21788156.70000000,7591495.72927300,0
1612137600000,0.34293000,0.36000000,0.31426000,0.34187000,52617953.70000000,1612223999999,17615333.00234600,75823,26033813.10000000,8726730.23863000,0
1612224000000,0.34264000,0.38645000,0.33644000,0.36510000,58119659.50000000,1612310399999,21046152.75739200,88205,30177849.00000000,10948646.60018700,0
1612310400000,0.36541000,0.37750000,0.35716000,0.37383000,23308526.70000000,1612396799999,8584383.90167500,43282,12090329.90000000,4452795.14639300,0
1612396800000,0.37387000,0.38228000,0.33454000,0.36555000,52576843.70000000,1612483199999,19302511.52590000,90248,24680138.70000000,9057122.08414200,0
1612483200000,0.36530000,0.41900000,0.36072000,0.41204000,72710979.00000000,1612569599999,28597291.26359100,116154,37524497.60000000,14780883.31661800,0
1612569600000,0.41145000,0.41700000,0.35100000,0.39170000,51943945.90000000,1612655999999,20022541.72387800,93586,27728946.10000000,10702448.52348300,0
1612656000000,0.39222000,0.40859000,0.35645000,0.38024000,39367213.90000000,1612742399999,15164546.77821600,75406,19607485.30000000,7564074.09396300,0
1612742400000,0.38052000,0.40900000,0.37244000,0.39831000,37525706.00000000,1612828799999,14828652.89768100,75327,19069639.50000000,7541512.43495600,0
1612828800000,0.39873000,0.43699000,0.39018000,0.41840000,57156285.00000000,1612915199999,23471166.50784300,91202,28075324.40000000,11536614.44904800,0
1612915200000,0.41840000,0.45430000,0.38200000,0.42595000,67014734.50000000,1613001599999,28375983.37897900,114512,33507260.80000000,14196061.11903800,0
1613001600000,0.42579000,0.66666000,0.41846000,0.59987000,246665294.20000000,1613087999999,140925192.87099400,288906,124744327.00000000,71196498.24085900,0
1613088000000,0.60200000,0.65883000,0.56000000,0.61036000,76011857.60000000,1613174399999,45571227.80891600,133277,38329872.20000000,22995698.91750400,0
1613174400000,0.61039000,0.63200000,0.53601000,0.59249000,39197470.00000000,1613260799999,23261840.49928300,85506,18915327.30000000,11247757.97627000,0
1613260800000,0.59250000,0.62399000,0.52802000,0.55135000,29487398.20000000,1613347199999,16859515.91532500,69094,15396935.00000000,8802618.03110900,0
1613347200000,0.55080000,0.56777000,0.44489000,0.52371000,37740753.70000000,1613433599999,19400807.95975400,77838,17674299.30000000,9098728.32633100,0
1613433600000,0.52500000,0.59000000,0.51277000,0.54418000,32794226.90000000,1613519999999,18185374.28083200,57732,17647980.70000000,9788037.96852200,0
1613520000000,0.54409000,0.57000000,0.50000000,0.54998000,23837475.70000000,1613606399999,12846970.35349000,44831,11923451.50000000,6418975.27572900,0
1613606400000,0.54998000,0.59123000,0.53903000,0.58712000,29831269.70000000,1613692799999,16928871.63058700,59210,14701991.40000000,8351421.62096900,0
1613692800000,0.58876000,0.62000000,0.54918000,0.60200000,34534663.00000000,1613779199999,20115081.08499600,62178,15662386.10000000,9140343.38241000,0
1613779200000,0.60088000,0.60596000,0.51470000,0.55072000,34473561.70000000,1613865599999,19733393.75558100,62962,17348896.20000000,9931890.20771500,0
1613865600000,0.55072000,0.58620000,0.54068000,0.57323000,20157201.80000000,1613951999999,11449354.22282900,38900,10054230.20000000,5713288.58386200,0
1613952000000,0.57336000,0.67490000,0.44721000,0.54271000,99764443.20000000,1614038399999,57485824.19090800,148353,50942419.40000000,29442235.11931300,0
