otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609718400000,0.13500000,0.27200000,0.12800000,0.18527000,598509766.60000000,1610323199999,122139084.97513600,543236,316896995.20000000,64910252.08294100,0
1610323200000,0.18552000,0.29881000,0.14026000,0.23114000,401958705.30000000,1610927999999,83383788.60106400,404014,202246522.80000000,41813998.09049100,0
1610928000000,0.23117000,0.46600000,0.22690000,0.42099000,1238839293.40000000,1611532799999,458275998.45264400,1379865,629767031.10000000,232557205.00355000,0
1611532800000,0.42065000,0.49500000,0.32948000,0.34366000,490243710.10000000,1612137599999,197490574.43037100,677278,243517662.80000000,98355347.14849500,0
1612137600000,0.34293000,0.41900000,0.31426000,0.38024000,350645122.40000000,1612742399999,130332760.95299800,582704,177843059.70000000,66232700.00341600,0
1612742400000,0.38052000,0.66666000,0.37244000,0.55135000,553058745.50000000,1613347199999,293293579.87902100,857824,278038686.20000000,147516761.16878400,0
1613347200000,0.55080000,0.62000000,0.44489000,0.57323000,213369152.50000000,1613951999999,118659853.28806900,403651,105013235.40000000,58442685.36553800,0
1613952000000,0.57336000,0.67490000,0.34560000,0.57548000,535608192.60000000,1614556799999,297151310.51936800,855818,269056279.40000000,149555653.41963800,0
1614556800000,0.57542000,1.51926000,0.56264000,1.41057000,1683989071.10000000,1615161599999,1885982163.70490800,3433701,850112084.80000000,951999381.15074300,0
1615161600000,1.41057000,2.70000000,1.38693000,2.33000000,1145173834.00000000,1615766399999,2139877128.09701400,3583149,571844455.70000000,1068791498.54899800,0
1615766400000,2.33000000,3.08459000,2.14333000,2.43244000,791524931.70000000,1616371199999,2045148650.05924300,3271015,389863025.50000000,1008896426.09745000,0
1616371200000,2.43244000,2.63000000,1.96330000,2.51112000,458373354.80000000,1616975999999,1041680142.94100700,1948590,225721053.60000000,513193276.48384300,0
1616976000000,2.51058000,2.65000000,2.20000000,2.40641000,256630346.80000000,1617580799999,634653757.83106800,1300177,128261462.20000000,317420146.22774300,0
1617580800000,2.40640000,4.00000000,2.02800000,3.11876000,849238176.10000000,1618185599999,2589076131.43695900,4279494,428160424.90000000,1306170009.01996200,0
1618185600000,3.11766000,3.27000000,2.15382000,2.69255000,254895922.20000000,1618790399999,756548469.48229200,1509238,125496650.40000000,373099355.88534100,0
1618790400000,2.69255000,2.80000000,1.69341000,2.03130000,235597546.96000000,1619395199999,546948665.77586340,1236913,116676053.21000000,270986901.85749040,0
1619395200000,2.03260000,2.86600000,2.00360000,2.62590000,243322319.91000000,1619999999999,633486548.44687400,1324251,123495357.26000000,321506986.90094800,0
1620000000000,2.62790000,2.74000000,2.28400000,2.43490000,185571557.65000000,1620604799999,467626864.54555300,1087206,93085563.09000000,234656559.50181100,0
1620604800000,2.43500000,2.61000000,1.80310000,1.97090000,175672487.72000000,1621209599999,383545822.54692700,941437,87464567.54000000,191097262.13217500,0
1621209600000,1.96870000,2.02220000,0.73470000,0.94340000,306369344.46000000,1621814399999,415001661.67709100,1166783,153270620.68000000,207857447.12323500,0
1621814400000,0.94240000,2.05570000,0.91210000,1.52760000,550608420.05000000,1622419199999,846534868.66733500,2174449,281433373.88000000,432503260.78769200,0
1622419200000,1.52560000,1.72000000,1.39600000,1.47870000,215714875.23000000,1623023999999,338318406.81703700,983538,108019536.87000000,169529851.74916300,0
1623024000000,1.47920000,1.57740000,1.14810000,1.30560000,193214309.52000000,1623628799999,258248400.55607700,766180,97686173.53000000,130508400.08915800,0
1623628800000,1.30580000,1.54400000,1.13760000,1.24910000,173703132.40000000,1624233599999,240054024.91974700,677651,86881378.07000000,120108536.46778100,0
1624233600000,1.24950000,1.26460000,0.76510000,1.00440000,189359446.14000000,1624838399999,187149435.10770600,644694,95959668.84000000,94855275.30792800,0
1624838400000,1.00490000,1.24450000,0.97660000,1.17110000,149261295.46000000,1625443199999,166164516.30541000,488977,73829129.58000000,82278530.90678200,0
