otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1617321600000,4.50200000,22.50000000,4.50200000,6.93100000,18053501.63200000,1617407999999,151972492.33027600,436601,8857074.16000000,74959771.54525500,0
1617408000000,6.93100000,8.46900000,5.68500000,5.68500000,8038120.72900000,1617494399999,58014344.57564600,200441,3563359.68500000,25921792.10223300,0
1617494400000,5.68500000,6.23600000,5.45000000,5.67400000,4729354.43900000,1617580799999,27260256.63508400,116022,2123371.76200000,12266069.09382300,0
1617580800000,5.67100000,5.69900000,4.62500000,4.91400000,6136051.61200000,1617667199999,30953663.57982600,125254,2456801.65300000,12395076.75626700,0
1617667200000,4.92000000,5.00900000,3.84100000,3.93600000,4742724.35200000,1617753599999,20788045.33467500,86685,1800535.96800000,7832116.59686400,0
1617753600000,3.92900000,4.37000000,3.28800000,3.51100000,5871208.02000000,1617839999999,21867243.56733500,82834,2602489.04400000,9711022.40531200,0
1617840000000,3.51100000,4.00000000,3.40300000,3.51500000,5126688.02000000,1617926399999,18707372.93354500,75999,2154409.62800000,7877076.92921500,0
1617926400000,3.51700000,5.20000000,3.46600000,4.37400000,16288005.48300000,1618012799999,71885703.48099200,193048,7876662.81200000,34854015.10751700,0
1618012800000,4.37400000,4.94900000,3.75000000,3.84200000,7969429.37500000,1618099199999,33990660.54079300,109580,3523314.77200000,15143328.33453100,0
1618099200000,3.85900000,4.39900000,3.64300000,4.30100000,6172168.60100000,1618185599999,24763185.37308500,87726,2885914.79500000,11612875.03919200,0
1618185600000,4.30200000,4.65000000,4.10000000,4.41900000,5293983.79300000,1618271999999,22981704.02255600,88327,2683272.60500000,11674548.33590000,0
1618272000000,4.41900000,4.49400000,3.75000000,3.94500000,4444103.16600000,1618358399999,17581769.42302800,75290,1757372.29700000,6963298.00806500,0
1618358400000,3.92800000,4.01000000,3.40000000,3.53800000,3885223.99900000,1618444799999,14140268.56873300,63739,1447208.49100000,5291824.36878800,0
1618444800000,3.53800000,3.59000000,3.30000000,3.38000000,4442444.34200000,1618531199999,15350793.52566700,70289,1475085.94800000,5102242.44129400,0
1618531200000,3.38000000,3.39300000,2.81000000,2.90500000,6095435.53000000,1618617599999,18695807.08576300,73124,2529577.45300000,7762153.18994600,0
1618617600000,2.90600000,3.12000000,2.80000000,2.81700000,3999475.30000000,1618703999999,11660581.71174100,58404,1649797.95500000,4818533.51100600,0
1618704000000,2.81700000,2.86400000,2.18000000,2.46000000,4647195.16900000,1618790399999,11282196.41955500,54002,2148665.64700000,5214443.78056900,0
1618790400000,2.46000000,3.11000000,2.33200000,2.46500000,8809176.95500000,1618876799999,24007372.83956600,89097,4060024.66500000,11068391.10987500,0
1618876800000,2.46500000,2.70800000,2.21100000,2.69900000,3978899.85400000,1618963199999,9788564.14688400,47854,1777353.90900000,4372633.25232700,0
1618963200000,2.69900000,2.92600000,2.25000000,2.27700000,4696150.27200000,1619049599999,12046739.68549200,60812,2058020.49400000,5286435.16250800,0
1619049600000,2.27800000,2.42400000,1.85900000,1.93300000,5522662.38400000,1619135999999,12077482.98427500,59283,2262002.51500000,4931764.24911900,0
1619136000000,1.93500000,1.97100000,1.62500000,1.81900000,4141584.80700000,1619222399999,7300096.64510000,31956,1919782.52100000,3375375.75893700,0
1619222400000,1.81800000,1.82100000,1.51700000,1.58500000,4172744.19600000,1619308799999,6924414.76853900,41463,1716839.64800000,2849259.86367000,0
1619308800000,1.58500000,1.77700000,1.45100000,1.54300000,5185958.94700000,1619395199999,8452930.67225100,43786,2295387.71200000,3725379.37339400,0
1619395200000,1.54500000,1.89000000,1.51900000,1.87200000,7222113.84100000,1619481599999,12473528.31040900,50546,3269848.31700000,5647857.75626300,0
