otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609718400000,89.90000000,145.19800000,76.44000000,121.46700000,2550040.44000000,1610323199999,280872052.30451000,316380,1272798.38000000,140647295.46799000,0
1610323200000,121.23300000,122.43200000,53.51000000,101.51300000,3348076.41000000,1610927999999,281260540.01467000,321252,1663903.95000000,140017360.62570000,0
1610928000000,101.53500000,137.60800000,58.00000000,120.41000000,3023765.02000000,1611532799999,305600394.52595000,404134,1510265.77000000,152405869.03746000,0
1611532800000,120.17600000,136.23000000,83.88800000,101.78000000,2544595.37000000,1612137599999,272943188.19795000,346627,1327028.81000000,142324238.92316000,0
1612137600000,102.09600000,200.00000000,94.36000000,138.92000000,2622953.01000000,1612742399999,387379515.76742000,584144,1345345.84000000,198623146.25227000,0
1612742400000,138.19200000,182.82300000,129.56000000,164.60500000,1647947.52000000,1613347199999,269734212.70792000,336839,814791.98000000,133282988.70301000,0
1613347200000,164.46700000,204.23900000,130.44500000,179.57000000,1425554.51000000,1613951999999,245254656.35488000,330389,588613.34000000,101963173.21443000,0
1613952000000,180.04900000,180.08100000,62.70000000,79.28200000,3134614.91000000,1614556799999,314017154.26961000,459822,1333875.45000000,135038765.60497000,0
1614556800000,79.28200000,120.50000000,77.79000000,119.57400000,2039076.18000000,1615161599999,199305691.22038000,440334,1010777.41000000,98791031.42487000,0
1615161600000,119.50200000,148.99900000,111.11200000,132.92500000,1577330.71000000,1615766399999,203615905.96328000,302804,735091.53000000,94978277.36534000,0
1615766400000,132.90000000,139.69000000,112.25400000,120.19000000,830711.87000000,1616371199999,102713936.14010000,212549,385811.83000000,47789745.39360000,0
1616371200000,120.18700000,123.72800000,83.61600000,102.90200000,709299.37000000,1616975999999,71446071.93911000,196700,336791.30000000,33910317.99519000,0
1616976000000,103.11100000,165.51800000,101.21500000,153.47400000,885538.95000000,1617580799999,120879147.48161000,255742,463847.93000000,63374034.81072000,0
1617580800000,153.47200000,169.99900000,127.84900000,160.03200000,730672.31000000,1618185599999,111498101.27562000,233511,372163.15000000,56822985.38425000,0
1618185600000,160.29900000,215.00000000,115.00000000,159.64400000,1112802.23000000,1618790399999,195015820.99172000,405145,575386.75000000,101144843.22197000,0
1618790400000,160.04800000,219.58900000,133.00200000,172.97500000,1248463.54000000,1619395199999,216438483.17370000,391486,634129.81000000,110325145.34656000,0
1619395200000,172.97200000,266.82200000,170.30600000,260.98000000,778063.42000000,1619999999999,172919552.91626000,360417,404465.49000000,89401349.36489000,0
1620000000000,260.98000000,456.00000000,260.78300000,441.37500000,949289.75000000,1620604799999,327215823.94504000,489771,473845.62000000,163406806.77083000,0
1620604800000,442.81200000,534.53300000,326.40000000,371.76200000,1024838.57000000,1621209599999,454251481.80788000,739196,512989.93000000,226908292.54649000,0
1621209600000,371.79400000,373.67500000,23.00000000,42.69600000,8930286.97000000,1621814399999,750413793.62628000,1014403,4408853.41000000,371450478.51925000,0
1621814400000,42.69500000,72.10000000,41.91700000,50.84400000,4197327.70000000,1622419199999,239398959.88195000,640631,2105752.20000000,120041318.67813000,0
1622419200000,51.00900000,71.69100000,46.57400000,62.72300000,2924956.37000000,1623023999999,177739969.51330000,362213,1453237.76000000,88303814.57113000,0
1623024000000,62.61500000,69.12800000,41.18800000,52.63800000,2995414.77000000,1623628799999,157923919.15629000,402608,1435124.25000000,75683176.23128000,0
1623628800000,52.67200000,58.66600000,34.25000000,41.59400000,2551660.55000000,1624233599999,116597563.13701000,373470,1162760.77000000,53024002.49183000,0
1624233600000,41.59400000,42.14600000,22.95100000,32.23700000,5868107.83000000,1624838399999,175347818.40410000,503096,2877089.26000000,85893456.84496000,0
1624838400000,32.32100000,46.58100000,31.50700000,44.31500000,4671483.85000000,1625443199999,179110395.83242000,404480,2255899.45000000,86394887.32859000,0
1625443200000,44.23300000,47.71600000,34.19400000,37.47300000,3884323.20000000,1626047999999,156617338.56873000,411541,1903941.61000000,76808131.16851000,0
1626048000000,37.46400000,38.47000000,26.62700000,28.27500000,4285410.75000000,1626652799999,130502411.77858000,385933,1956888.85000000,59492227.34178000,0
1626652800000,28.27700000,39.23400000,22.40000000,38.94200000,6057094.70000000,1627257599999,185252877.59229000,363715,3050728.30000000,93620365.49297000,0
1627257600000,38.98200000,61.90100000,37.07800000,54.80000000,3462918.43000000,1627862399999,154974033.81175000,400592,1791528.31000000,80636530.48757000,0
1627862400000,54.80000000,88.00000000,49.11100000,78.20000000,2015763.62000000,1628467199999,133281031.35600000,404363,1041250.05000000,68926533.91215000,0
1628467200000,78.30100000,96.20000000,71.35000000,94.31900000,1317307.45000000,1629071999999,112840985.27920000,323658,654860.04000000,56291533.79125000,0
1629072000000,94.31800000,95.90000000,72.60000000,89.39900000,889716.58000000,1629676799999,75390583.56279000,230821,432892.85000000,36734488.00364000,0
1629676800000,89.39900000,97.86200000,76.61500000,87.19500000,660229.69000000,1630281599999,57337169.40432000,161355,313896.05000000,27350366.15569000,0
1630281600000,87.07400000,141.23200000,82.00000000,134.60000000,722969.67000000,1630886399999,80953946.97851000,269184,365094.04000000,40924589.11305000,0
1630886400000,134.45400000,135.66200000,65.00000000,81.08800000,1032343.26000000,1631491199999,90368033.39769000,237382,503831.85000000,44123450.25495000,0
1631491200000,81.07600000,95.71200000,65.00000000,76.33400000,650536.24000000,1632095999999,52091870.49077000,170045,315396.36000000,25247912.52108000,0
1632096000000,76.43500000,77.27400000,39.53100000,57.41000000,2093922.37000000,1632700799999,112498392.46489000,321194,1036904.91000000,55668446.49238000,0
1632700800000,57.48100000,72.18600000,43.78400000,69.25100000,1137775.88000000,1633305599999,62777173.96393000,190701,569810.54000000,31512977.98912000,0
1633305600000,69.30700000,81.55900000,63.20200000,67.23600000,642918.58000000,1633910399999,47021408.27752000,163035,317660.11000000,23255765.25279000,0
1633910400000,67.23600000,97.50000000,64.87000000,89.97400000,686613.48000000,1634515199999,55146386.76741000,186267,348070.50000000,27965039.35899000,0
1634515200000,89.97400000,119.76400000,80.00100000,101.87900000,703127.78000000,1635119999999,69546076.97885000,213096,347301.32000000,34352756.52681000,0
1635120000000,102.01400000,123.50000000,89.20600000,112.20200000,534352.36000000,1635724799999,57339416.26609000,227033,266575.91000000,28647429.99252000,0
1635724800000,112.43900000,135.66400000,103.63700000,131.12900000,311425.96000000,1636329599999,38324847.06981000,184536,159778.73000000,19705073.33010000,0
1636329600000,131.13900000,147.75600000,118.82900000,130.13100000,277942.78000000,1636934399999,37570523.45457000,180181,137505.22000000,18612219.58378000,0
1636934400000,130.42100000,139.90000000,88.57700000,104.68400000,509672.35000000,1637539199999,53394030.67348000,291165,262757.95000000,27407969.52617000,0
1637539200000,104.78500000,120.52400000,85.00000000,104.91700000,420086.08000000,1638143999999,42059487.99175000,185314,209559.51000000,21000793.61620000,0
1638144000000,105.10000000,131.72400000,73.35900000,103.43300000,459388.01000000,1638748799999,49555892.50655000,222221,232774.46000000,25065376.05281000,0
1638748800000,103.48900000,110.62700000,92.84100000,108.31200000,52892.45000000,1639353599999,5283537.59564000,25962,26808.92000000,2678678.64397000,0
