otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609459200000,1.21960000,1.22840000,1.21360000,1.21830000,19760483.30000000,1609545599999,24118911.48599700,97867,7412739.81000000,9050158.28841200,0
1609545600000,1.21830000,1.33450000,1.21750000,1.24120000,31243561.15000000,1609631999999,38544450.21325400,124138,13790778.23000000,17009622.13904000,0
1609632000000,1.24120000,1.27550000,1.23200000,1.25940000,39307209.57000000,1609718399999,49353295.66016100,145499,17934715.15000000,22510030.23569200,0
1609718400000,1.25970000,1.30790000,1.22180000,1.22860000,40796256.59000000,1609804799999,50677739.09521800,160439,18743886.17000000,23277584.43162700,0
1609804800000,1.22860000,1.23820000,1.22190000,1.22740000,37063356.75000000,1609891199999,45445870.57137700,159984,18051786.42000000,22137717.89855600,0
1609891200000,1.22730000,1.23760000,1.22200000,1.23290000,58198050.18000000,1609977599999,71375813.53620500,186755,28563562.63000000,35030038.20135600,0
1609977600000,1.23290000,1.23870000,1.22000000,1.23110000,65235105.48000000,1610063999999,80008896.36385900,205815,28221538.44000000,34616252.55623300,0
1610064000000,1.23110000,1.23300000,1.21680000,1.22830000,59126972.51000000,1610150399999,72311492.62163200,166513,24419785.82000000,29871491.73807100,0
1610150400000,1.22830000,1.24980000,1.22020000,1.24650000,37842508.28000000,1610236799999,46484549.42681700,149189,14130721.34000000,17355362.84142800,0
1610236800000,1.24630000,1.29000000,1.22520000,1.23620000,39251240.09000000,1610323199999,48739895.49830000,164643,18762503.51000000,23325524.57604300,0
1610323200000,1.23630000,1.26430000,1.21000000,1.21400000,85269417.44000000,1610409599999,104009545.72558400,217754,37989986.84000000,46373360.42697800,0
1610409600000,1.21400000,1.22070000,1.20920000,1.21870000,56057123.43000000,1610495999999,68068835.51293400,172035,26146565.37000000,31754934.27764100,0
1610496000000,1.21860000,1.22220000,1.21250000,1.21480000,51884792.28000000,1610582399999,63135119.01706300,165864,23230912.89000000,28273139.92448100,0
1610582400000,1.21470000,1.22600000,1.20870000,1.21660000,56890755.13000000,1610668799999,69107592.60982300,169837,27540519.10000000,33455991.86953100,0
1610668800000,1.21660000,1.22190000,1.20140000,1.20630000,62278816.31000000,1610755199999,75383594.75936800,173663,28426076.61000000,34414209.97080700,0
1610755200000,1.20630000,1.21070000,1.20430000,1.20630000,47553879.11000000,1610841599999,57401175.28431000,165027,20457365.48000000,24697821.23061500,0
1610841600000,1.20630000,1.21170000,1.20350000,1.20880000,42092300.91000000,1610927999999,50814305.27629100,156955,18197913.91000000,21974381.74329200,0
1610928000000,1.20880000,1.21150000,1.20210000,1.20780000,41914196.86000000,1611014399999,50511385.19089700,153460,17739474.61000000,21381565.70629300,0
1611014400000,1.20790000,1.21250000,1.20580000,1.20890000,54392174.07000000,1611100799999,65755727.21468100,177592,22905409.58000000,27692927.87069100,0
1611100800000,1.20880000,1.21220000,1.20420000,1.20990000,65970535.39000000,1611187199999,79724307.53608400,194199,29957356.51000000,36201523.21168800,0
1611187200000,1.20990000,1.21650000,1.20800000,1.21600000,71125199.70000000,1611273599999,86214219.85971700,210172,33023874.35000000,40033625.04786100,0
1611273600000,1.21590000,1.21890000,1.20880000,1.21580000,56404805.45000000,1611359999999,68503238.76460900,169125,29727321.42000000,36108250.55718500,0
1611360000000,1.21590000,1.22150000,1.21110000,1.21490000,32026961.41000000,1611446399999,38899352.19937800,120821,15601279.34000000,18953377.85411700,0
1611446400000,1.21490000,1.21990000,1.21150000,1.21490000,31279407.92000000,1611532799999,37994325.91812500,110999,14257268.34000000,17324130.61718600,0
1611532800000,1.21490000,1.22490000,1.20950000,1.21070000,46447446.31000000,1611619199999,56366538.26067900,149861,20675621.90000000,25100567.03082800,0
1611619200000,1.21070000,1.21590000,1.20540000,1.21470000,44895504.55000000,1611705599999,54369808.25807500,148035,23779560.89000000,28804682.83833200,0
1611705600000,1.21480000,1.21580000,1.20390000,1.20680000,46417042.93000000,1611791999999,56093578.70473700,154467,22912209.78000000,27692309.41209600,0
1611792000000,1.20670000,1.21330000,1.20480000,1.20890000,50516869.05000000,1611878399999,61078897.80595400,202015,24969731.15000000,30191677.12087000,0
1611878400000,1.20890000,1.21500000,1.20590000,1.21130000,94809053.28000000,1611964799999,114764661.72260200,321455,47376012.19000000,57354870.18325700,0
1611964800000,1.21150000,1.21380000,1.20830000,1.21120000,57413600.11000000,1612051199999,69526565.58174000,175518,24762133.71000000,29988062.78137900,0
1612051200000,1.21120000,1.21300000,1.20670000,1.20940000,50790974.54000000,1612137599999,61421468.55841900,161901,20438408.39000000,24720012.37501800,0
1612137600000,1.20930000,1.21210000,1.20350000,1.20570000,60542565.70000000,1612223999999,73130069.49176300,173980,28341198.13000000,34237678.94860200,0
1612224000000,1.20560000,1.21070000,1.19860000,1.20290000,63469721.75000000,1612310399999,76370156.54672200,182473,29220923.13000000,35170764.83274100,0
1612310400000,1.20290000,1.20510000,1.19800000,1.20160000,70439634.81000000,1612396799999,84567432.99394600,199674,29902665.69000000,35905621.94830800,0
1612396800000,1.20170000,1.20280000,1.19150000,1.19380000,80577722.25000000,1612483199999,96389901.41265600,250661,37211368.29000000,44517291.35522000,0
1612483200000,1.19380000,1.20160000,1.19310000,1.20120000,77386405.11000000,1612569599999,92635973.97333700,244024,39214060.14000000,46939197.86145300,0
1612569600000,1.20120000,1.20430000,1.19890000,1.20110000,72783172.46000000,1612655999999,87462665.73156600,219420,31625329.48000000,38006599.90699800,0
1612656000000,1.20110000,1.20220000,1.19710000,1.20060000,89488670.95000000,1612742399999,107414197.38900900,276874,37603219.51000000,45141199.65767900,0
1612742400000,1.20060000,1.20500000,1.19700000,1.20180000,108448062.14000000,1612828799999,130275124.29878500,310217,50002530.92000000,60068403.03993500,0
1612828800000,1.20180000,1.20860000,1.20150000,1.20790000,110060394.68000000,1612915199999,132757779.65317100,326010,52171727.85000000,62934331.86815900,0
1612915200000,1.20790000,1.21300000,1.20270000,1.20850000,127586562.74000000,1613001599999,154206589.81091800,366235,61299256.13000000,74094168.13215900,0
1613001600000,1.20840000,1.21440000,1.20670000,1.21030000,105423630.98000000,1613087999999,127560158.24376700,323469,47752496.41000000,57782824.37735600,0
1613088000000,1.21030000,1.21310000,1.20400000,1.20830000,110751720.40000000,1613174399999,133822282.32552200,323875,48694569.36000000,58841534.94578000,0
1613174400000,1.20830000,1.20930000,1.20320000,1.20660000,79240889.94000000,1613260799999,95547216.93648400,271290,32718944.81000000,39455281.06973700,0
1613260800000,1.20670000,1.21080000,1.20500000,1.20760000,79371602.51000000,1613347199999,95837208.64832500,242596,33553979.41000000,40520360.76971500,0
1613347200000,1.20760000,1.21180000,1.20050000,1.20970000,111183887.93000000,1613433599999,134353648.50722000,305551,51761829.00000000,62558925.90270000,0
1613433600000,1.20970000,1.21390000,1.20340000,1.20710000,91990865.17000000,1613519999999,111144534.18035100,265855,37745151.89000000,45617136.40679000,0
1613520000000,1.20710000,1.20980000,1.20050000,1.20160000,95754984.14000000,1613606399999,115303664.17083900,250243,47576975.81000000,57298328.55970700,0
1613606400000,1.20160000,1.20740000,1.20070000,1.20480000,102568803.74000000,1613692799999,123526442.79135600,270844,48628964.63000000,58567001.85932300,0
1613692800000,1.20480000,1.21310000,1.20380000,1.21040000,112675638.59000000,1613779199999,136288150.33045200,280554,57130260.12000000,69115188.41731400,0
1613779200000,1.21050000,1.21970000,1.20810000,1.20900000,114806392.89000000,1613865599999,139208371.48951800,315877,50342502.72000000,61052124.74045400,0
1613865600000,1.20900000,1.21270000,1.20650000,1.21060000,79249157.07000000,1613951999999,95887055.77255800,237612,34674569.78000000,41958403.51578500,0
1613952000000,1.21060000,1.22490000,1.19400000,1.21230000,165762986.90000000,1614038399999,200528108.62769700,371749,73507404.47000000,88954141.65340300,0
1614038400000,1.21230000,1.21720000,1.20470000,1.21250000,178460980.81000000,1614124799999,216212490.12136400,377176,84114607.48000000,101919240.48020100,0
1614124800000,1.21250000,1.21360000,1.20450000,1.21310000,132066618.37000000,1614211199999,159722063.76423700,310684,62356051.08000000,75426702.87793800,0
1614211200000,1.21310000,1.22300000,1.21090000,1.21120000,100440802.32000000,1614297599999,122191743.95698300,250442,48382976.65000000,58876779.38749200,0
1614297600000,1.21120000,1.21330000,1.20130000,1.20210000,104188357.09000000,1614383999999,125978626.02149500,267257,48895078.11000000,59128702.61418000,0
1614384000000,1.20210000,1.20540000,1.19910000,1.20030000,75986427.06000000,1614470399999,91314655.11633600,217876,29530172.94000000,35493160.66984200,0
