otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609459200000,0.05160000,0.05607000,0.05150000,0.05333000,15879644.50000000,1609545599999,858374.91826800,7113,8273815.70000000,447527.00583400,0
1609545600000,0.05333000,0.05530000,0.05015000,0.05127000,16856607.10000000,1609631999999,887018.49280000,7381,6780050.80000000,357670.68171300,0
1609632000000,0.05123000,0.05850000,0.05000000,0.05671000,25197786.70000000,1609718399999,1350476.27009400,10502,12636928.80000000,680687.29721800,0
1609718400000,0.05684000,0.06737000,0.05103000,0.05723000,55930957.60000000,1609804799999,3280362.07304800,20697,27202883.70000000,1601797.44077200,0
1609804800000,0.05697000,0.06450000,0.05618000,0.06182000,34720941.50000000,1609891199999,2073983.08521700,15981,16123646.90000000,965367.84171500,0
1609891200000,0.06182000,0.07600000,0.05800000,0.07311000,69266740.00000000,1609977599999,4772052.14919000,27064,34597465.50000000,2393764.07967200,0
1609977600000,0.07311000,0.08418000,0.06400000,0.07112000,65402785.70000000,1610063999999,4834493.66151700,27984,31277842.50000000,2325309.05916300,0
1610064000000,0.07100000,0.08195000,0.06020000,0.07104000,57147614.70000000,1610150399999,4052208.94333000,27050,28030710.20000000,1995312.90969600,0
1610150400000,0.07102000,0.08031000,0.06957000,0.07261000,41511631.20000000,1610236799999,3126395.15418800,22305,20926010.40000000,1582259.84022900,0
1610236800000,0.07257000,0.07840000,0.06232000,0.06990000,43265182.70000000,1610323199999,3046442.27077900,18828,21339697.50000000,1505976.75280500,0
1610323200000,0.06990000,0.07011000,0.05203000,0.06049000,36700361.10000000,1610409599999,2187523.32091400,17145,15654232.80000000,935751.64462100,0
1610409600000,0.06057000,0.06422000,0.05626000,0.05881000,23596409.60000000,1610495999999,1419109.76658900,10675,11034683.00000000,665176.34323000,0
1610496000000,0.05857000,0.06757000,0.05600000,0.06604000,25784672.50000000,1610582399999,1628598.63180200,13888,13331840.00000000,842292.43195600,0
1610582400000,0.06609000,0.07900000,0.06455000,0.07696000,36101520.70000000,1610668799999,2579043.27025900,18062,19890740.20000000,1426720.72512100,0
