otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1632700800000,5.65500000,7.31500000,5.65500000,7.11500000,11433417.20000000,1633305599999,74804304.94380000,182117,6013410.40000000,39435633.37470000,0
1633305600000,7.11500000,7.16700000,6.12000000,6.13100000,1885211.30000000,1633910399999,12684004.61390000,40047,951183.00000000,6395614.03020000,0
1633910400000,6.13900000,7.09100000,5.78100000,6.63500000,817969.00000000,1634515199999,5247550.46370000,28869,388685.60000000,2496773.35780000,0
1634515200000,6.63500000,8.66000000,6.39600000,8.11200000,2466550.00000000,1635119999999,18804946.07920000,76460,1258736.10000000,9566760.16470000,0
1635120000000,8.14500000,8.90900000,7.12800000,8.12000000,776796.30000000,1635724799999,6300391.86840000,31323,396041.10000000,3205052.62120000,0
1635724800000,8.12400000,107.36500000,7.95500000,9.79200000,16479420.50000000,1636329599999,297611652.33810000,693190,7686524.80000000,136634601.90030000,0
1636329600000,9.79700000,10.05500000,8.00000000,9.38900000,1887126.50000000,1636934399999,17756343.27050000,66291,959374.70000000,9018353.73870000,0
1636934400000,9.39500000,9.72100000,7.40000000,8.96700000,1339084.50000000,1637539199999,11550212.68500000,45191,693041.70000000,5986784.80790000,0
1637539200000,8.97000000,8.99000000,7.15400000,7.88900000,865234.90000000,1638143999999,6989017.73690000,32213,414024.60000000,3348322.48230000,0
1638144000000,7.90000000,9.38500000,6.50000000,7.54900000,2176911.70000000,1638748799999,18229559.43270000,66333,1062049.80000000,8926324.82450000,0
1638748800000,7.53700000,7.68100000,6.69400000,7.52000000,120558.80000000,1639353599999,871703.56020000,4129,53585.00000000,388225.70280000,0
