otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1611532800000,4.44600000,6.38000000,3.86000000,3.95700000,1412906.94200000,1612137599999,6584234.19894200,32842,665876.36900000,3150622.98540800,0
1612137600000,3.95700000,5.40000000,3.64500000,4.57200000,2410712.49900000,1612742399999,10610748.89851300,57244,1228563.48300000,5465432.25054300,0
1612742400000,4.58800000,8.30000000,4.55400000,6.42100000,3554848.96900000,1613347199999,21197424.55235200,112331,1814732.82400000,10872940.44841500,0
1613347200000,6.42100000,7.35000000,5.38100000,6.89000000,2375386.95600000,1613951999999,15400275.72117600,86907,1153300.97200000,7507136.99530100,0
1613952000000,6.91300000,6.91300000,4.60000000,5.18700000,1946915.56700000,1614556799999,10659191.33840100,71218,889884.44300000,4879856.38576700,0
1614556800000,5.19000000,7.49000000,5.13600000,6.40200000,3794012.46900000,1615161599999,23967843.91391100,125786,1860783.76800000,11774694.39835000,0
1615161600000,6.41700000,9.00000000,6.25000000,8.52000000,5549360.41500000,1615766399999,43109657.69222300,216076,2897119.11500000,22559526.83690300,0
1615766400000,8.53100000,9.50000000,7.50100000,8.10000000,2717489.83200000,1616371199999,22386452.13787200,122858,1339726.25200000,11074234.19820700,0
1616371200000,8.10000000,8.46000000,6.58200000,7.93100000,1657593.36900000,1616975999999,12517577.69293900,73747,831205.52200000,6278567.43611600,0
1616976000000,7.93100000,10.40000000,7.70200000,10.24900000,3416510.51000000,1617580799999,31529192.65219900,146630,1765756.54900000,16329833.50330800,0
1617580800000,10.24900000,14.24000000,9.48700000,12.80700000,5146029.36900000,1618185599999,61195215.89445300,258706,2707227.75800000,32311590.94228400,0
1618185600000,12.81700000,17.21900000,10.95600000,13.43000000,3547297.96800000,1618790399999,47205125.39635000,220129,1697346.15500000,22655644.69106800,0
1618790400000,13.35600000,14.59900000,8.24600000,8.91600000,2477772.91700000,1619395199999,27571799.37758600,132161,1163317.95500000,12992723.08134900,0
1619395200000,8.91500000,13.05800000,8.85700000,12.58400000,1952684.96100000,1619999999999,21628191.22171600,131136,996222.57500000,11033061.34067700,0
1620000000000,12.58300000,25.30000000,11.42800000,17.94600000,11152878.92300000,1620604799999,217308525.94274900,696142,5719830.90400000,112156121.71777700,0
1620604800000,17.94600000,21.79400000,12.36000000,13.71900000,3644707.37700000,1621209599999,61771102.11839200,287893,1808021.32700000,30767695.71294000,0
1621209600000,13.71500000,14.06100000,5.03000000,6.11100000,4327951.23900000,1621814399999,41621709.37268900,194971,2069349.68900000,19944601.92228500,0
1621814400000,6.13500000,8.89500000,5.75500000,7.27500000,3044562.97200000,1622419199999,22417084.03588800,114246,1556765.57500000,11464584.91353800,0
1622419200000,7.30100000,10.91200000,6.70000000,8.00800000,4215903.85900000,1623023999999,37285699.60463800,181908,2159542.64600000,19268723.13089900,0
1623024000000,8.00000000,8.35900000,6.27900000,7.07300000,2401299.45600000,1623628799999,17081874.92486600,79740,1198674.38400000,8529715.10685000,0
1623628800000,7.07000000,7.58200000,5.63400000,6.22500000,2247674.90500000,1624233599999,15535444.84077100,68312,1106234.74000000,7665645.85267500,0
