otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609459200000,0.12550000,0.13070000,0.12270000,0.12950000,11669504.67000000,1609545599999,1485080.12502400,12167,6244847.08000000,794354.74918900,0
1609545600000,0.12950000,0.13280000,0.11840000,0.12350000,13964037.74000000,1609631999999,1758714.09314300,13205,7362980.46000000,926335.54171500,0
1609632000000,0.12370000,0.13390000,0.12170000,0.13200000,12741665.74000000,1609718399999,1619034.30150200,13958,6436770.34000000,819038.00836200,0
1609718400000,0.13230000,0.15390000,0.12450000,0.14250000,28197772.74000000,1609804799999,3951448.25678500,25331,14718045.53000000,2063794.94608800,0
1609804800000,0.14260000,0.15090000,0.12990000,0.14220000,19244817.07000000,1609891199999,2710524.10208000,16846,9814561.53000000,1383297.11749300,0
1609891200000,0.14240000,0.15800000,0.14010000,0.14940000,23245009.75000000,1609977599999,3483309.17305400,28485,12380037.28000000,1857070.48060600,0
1609977600000,0.14940000,0.16250000,0.13550000,0.14260000,22618621.37000000,1610063999999,3412220.72453300,20564,11439066.35000000,1726348.14378500,0
1610064000000,0.14280000,0.14990000,0.12640000,0.14660000,25817019.76000000,1610150399999,3612021.69415300,19938,13026005.80000000,1824356.46470500,0
1610150400000,0.14650000,0.16290000,0.14020000,0.15480000,18985887.57000000,1610236799999,2899126.10317700,14547,9810419.08000000,1501281.95223300,0
1610236800000,0.15510000,0.17560000,0.14900000,0.17130000,36579578.61000000,1610323199999,5952583.17025500,28864,19871558.69000000,3239983.53991600,0
1610323200000,0.17150000,0.17820000,0.13510000,0.14810000,37217062.03000000,1610409599999,5675568.05729500,25573,19575250.34000000,2990171.06915900,0
1610409600000,0.14820000,0.16190000,0.14120000,0.14690000,14838594.64000000,1610495999999,2232939.46257000,11092,7257624.67000000,1092909.90225200,0
1610496000000,0.14650000,0.15480000,0.13920000,0.15190000,14006618.38000000,1610582399999,2048703.45740400,12904,6666419.22000000,975396.46687800,0
1610582400000,0.15190000,0.15800000,0.14490000,0.15470000,18326792.92000000,1610668799999,2792064.36997500,12892,8957171.78000000,1366035.35281300,0
1610668800000,0.15450000,0.16760000,0.14050000,0.15310000,22505577.11000000,1610755199999,3487939.28514800,16051,11420918.68000000,1770344.22122600,0
1610755200000,0.15300000,0.17560000,0.15110000,0.17040000,31376330.52000000,1610841599999,5160593.36506100,24454,16496939.09000000,2721096.71444800,0
1610841600000,0.17050000,0.19970000,0.16270000,0.19030000,44961600.17000000,1610927999999,8236643.46993300,37300,22982811.74000000,4208689.63992000,0
1610928000000,0.19060000,0.20810000,0.17970000,0.20080000,32170765.11000000,1611014399999,6289359.34351700,31826,15807028.64000000,3098639.33020400,0
1611014400000,0.20090000,0.20180000,0.17800000,0.17840000,17710291.59000000,1611100799999,3385662.76778100,18888,8869470.59000000,1697348.79522800,0
1611100800000,0.17820000,0.18400000,0.16280000,0.18000000,23888902.51000000,1611187199999,4138431.43698500,22047,12113167.04000000,2096687.56096500,0
1611187200000,0.17990000,0.18120000,0.15620000,0.15820000,31973256.13000000,1611273599999,5392589.95227500,23443,15776168.85000000,2664645.62114500,0
1611273600000,0.15820000,0.18480000,0.14730000,0.17160000,26368020.42000000,1611359999999,4446008.57556800,22096,13717946.28000000,2318236.14181600,0
1611360000000,0.17150000,0.19850000,0.16960000,0.19550000,27364815.00000000,1611446399999,5108488.39044700,25964,14569890.35000000,2723027.41909900,0
1611446400000,0.19570000,0.20510000,0.17900000,0.18900000,25308528.29000000,1611532799999,4838624.93655500,24143,13070728.15000000,2501292.97914300,0
1611532800000,0.18910000,0.22870000,0.18860000,0.22070000,43037560.51000000,1611619199999,9225394.99366500,42329,22462991.78000000,4823037.08211200,0
1611619200000,0.22050000,0.25000000,0.19030000,0.21040000,44859237.19000000,1611705599999,9702762.77648800,42941,22966822.71000000,4968772.88364300,0
1611705600000,0.21040000,0.21080000,0.17050000,0.18900000,42686473.74000000,1611791999999,8095456.96297100,36000,21599330.95000000,4095542.87543200,0
1611792000000,0.18880000,0.22490000,0.18510000,0.20690000,39828597.98000000,1611878399999,8355610.38455600,38402,20596166.72000000,4332063.05990400,0
1611878400000,0.20700000,0.22700000,0.18240000,0.20060000,30065233.49000000,1611964799999,6226048.68782700,28533,14274915.59000000,2953624.79089200,0
1611964800000,0.20050000,0.22920000,0.19490000,0.22430000,29579117.69000000,1612051199999,6290979.93710400,29488,14191106.03000000,3016679.13215800,0
1612051200000,0.22450000,0.24370000,0.21260000,0.24170000,31843648.19000000,1612137599999,7217549.89149100,39258,16030609.99000000,3637611.26968500,0
1612137600000,0.24200000,0.33920000,0.24100000,0.29930000,128614336.34000000,1612223999999,37419077.20881700,141178,69612941.30000000,20266452.44007900,0
1612224000000,0.29940000,0.31530000,0.27530000,0.30350000,39817225.39000000,1612310399999,11665375.56643700,49375,20206207.16000000,5922923.35122200,0
1612310400000,0.30330000,0.36100000,0.29080000,0.34080000,36494007.83000000,1612396799999,11664405.27312700,52477,18966303.07000000,6065749.88227800,0
1612396800000,0.34100000,0.35800000,0.29380000,0.34280000,44984572.95000000,1612483199999,14791723.25909000,72633,21487289.49000000,7064819.36077000,0
1612483200000,0.34340000,0.43380000,0.33250000,0.37660000,53228423.34000000,1612569599999,21025319.32495800,82574,26670654.20000000,10537478.20522600,0
1612569600000,0.37670000,0.38750000,0.29070000,0.34520000,41215379.04000000,1612655999999,14240614.80174800,65345,19568768.13000000,6776917.69520600,0
1612656000000,0.34530000,0.38780000,0.30550000,0.36100000,39543540.14000000,1612742399999,13728760.31448300,57706,20070177.75000000,6982561.66022300,0
1612742400000,0.36100000,0.43000000,0.33460000,0.41600000,47205631.80000000,1612828799999,17825889.28665200,71711,24411072.47000000,9239262.45581500,0
1612828800000,0.41580000,0.44990000,0.39040000,0.43230000,37386313.90000000,1612915199999,15577217.28918400,55982,18300814.38000000,7641354.84782400,0
1612915200000,0.43230000,0.48040000,0.37240000,0.42780000,43031462.61000000,1613001599999,18567994.60278300,56098,21296730.38000000,9197728.95503500,0
1613001600000,0.42770000,0.54950000,0.40760000,0.50860000,38556526.28000000,1613087999999,18890805.25489200,58277,20308907.19000000,9974374.30400100,0
1613088000000,0.50960000,0.61160000,0.50330000,0.55860000,40191927.66000000,1613174399999,22624984.82278300,83813,20803762.80000000,11714890.67328800,0
1613174400000,0.55840000,0.65240000,0.52150000,0.62700000,36403578.64000000,1613260799999,21425724.65668200,78401,17893840.06000000,10548151.67794500,0
1613260800000,0.62700000,0.66000000,0.54320000,0.54340000,26142112.37000000,1613347199999,15554713.98124200,60772,11695611.69000000,6990428.41318600,0
1613347200000,0.54410000,0.59180000,0.40100000,0.51180000,40366827.28000000,1613433599999,20879950.95881700,76210,20051318.55000000,10439987.32151300,0
1613433600000,0.51330000,0.55440000,0.45860000,0.48550000,25544327.57000000,1613519999999,12821643.85849600,46759,12098644.76000000,6070801.88795500,0
1613520000000,0.48560000,0.54340000,0.43000000,0.51200000,40073712.92000000,1613606399999,19785244.71730900,59267,21840138.91000000,10879967.90327400,0
1613606400000,0.51220000,0.57000000,0.50150000,0.52780000,34128284.13000000,1613692799999,18241738.22643500,59041,17458794.87000000,9336778.87647400,0
1613692800000,0.52830000,0.57450000,0.49420000,0.56410000,27894257.55000000,1613779199999,15051334.45057200,54218,14393164.78000000,7796503.57395000,0
1613779200000,0.56590000,0.58530000,0.45000000,0.50190000,27802844.06000000,1613865599999,14892495.67356300,58900,13327428.69000000,7153392.01572300,0
1613865600000,0.50090000,0.55510000,0.48640000,0.51110000,20504059.70000000,1613951999999,10710085.02811100,41748,10544806.18000000,5513156.75952800,0
1613952000000,0.51140000,0.51900000,0.35460000,0.45220000,44395430.78000000,1614038399999,19778602.94056300,65613,21771130.96000000,9731290.09469100,0
1614038400000,0.45220000,0.45940000,0.27900000,0.34000000,57563835.28000000,1614124799999,19837296.45369200,70315,27836289.83000000,9614726.20206600,0
