otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609718400000,0.13230000,0.17560000,0.12450000,0.17130000,174688706.87000000,1610323199999,26021233.22403700,154575,91059694.26000000,13596132.64482600,0
1610323200000,0.17150000,0.19970000,0.13510000,0.19030000,183232575.77000000,1610927999999,29634451.46738600,140266,93357135.52000000,15124643.36669600,0
1610928000000,0.19060000,0.20810000,0.14730000,0.18900000,184784579.05000000,1611532799999,33599165.40312800,168407,93924399.90000000,17099877.84760000,0
1611532800000,0.18910000,0.25000000,0.17050000,0.24170000,261899868.79000000,1612137599999,55113803.63410200,256951,132121943.77000000,27827331.09382600,0
1612137600000,0.24200000,0.43380000,0.24100000,0.36100000,383897485.03000000,1612742399999,124535275.74866000,521288,196582341.10000000,63616902.59500400,0
1612742400000,0.36100000,0.66000000,0.33460000,0.54340000,268917553.26000000,1613347199999,130467329.89421800,465054,134710738.97000000,65306191.32709400,0
1613347200000,0.54410000,0.59180000,0.40100000,0.51110000,216314313.21000000,1613951999999,112382492.91330300,396143,109714296.74000000,57190588.33841700,0
1613952000000,0.51140000,0.51900000,0.27280000,0.31880000,244475370.94000000,1614556799999,87487912.52639800,299608,122305922.67000000,43755330.57005800,0
1614556800000,0.32000000,0.40800000,0.31700000,0.38280000,151879298.50000000,1615161599999,55746374.33000000,186170,76347471.45000000,28029180.91584200,0
1615161600000,0.38270000,0.52400000,0.36660000,0.46740000,202737148.10000000,1615766399999,91700708.91123300,304007,106210880.37000000,48126630.32339500,0
1615766400000,0.46790000,0.58200000,0.43500000,0.53260000,175894437.88000000,1616371199999,89753524.38928900,289492,88894280.76000000,45453445.19740600,0
1616371200000,0.53330000,0.62820000,0.40200000,0.62640000,159010147.68000000,1616975999999,79671697.57900500,254785,79783585.95000000,40076373.13122300,0
1616976000000,0.62630000,0.94530000,0.59630000,0.83430000,321017264.73000000,1617580799999,244386304.59194900,714290,165469665.12000000,126063552.74800000,0
1617580800000,0.83420000,1.25000000,0.79320000,0.92890000,264373985.04000000,1618185599999,262568711.17101000,765583,136088968.87000000,135533194.55303900,0
1618185600000,0.93040000,1.16990000,0.59920000,1.06350000,230848253.33000000,1618790399999,220055790.24392900,692480,115990282.87000000,110912494.44007800,0
1618790400000,1.06320000,1.19210000,0.57840000,0.64100000,263237460.69000000,1619395199999,224457666.47657500,643682,130268629.27000000,111484476.99864600,0
1619395200000,0.64040000,1.04940000,0.63010000,1.00870000,202597883.32000000,1619999999999,171279072.05643600,569283,102039835.39000000,86422131.17447400,0
1620000000000,1.00640000,1.13000000,0.82240000,0.96470000,186518216.97000000,1620604799999,182322987.58912400,595159,93874817.82000000,91910078.99342500,0
1620604800000,0.96460000,1.12900000,0.72550000,0.78360000,195270997.03000000,1621209599999,181280265.66650900,564437,97021256.48000000,90082983.29182700,0
1621209600000,0.78370000,0.78380000,0.31660000,0.39290000,204466957.20000000,1621814399999,111228244.89010800,453228,99218608.38000000,54060174.60911700,0
1621814400000,0.39350000,0.63000000,0.36820000,0.49380000,143947585.17000000,1622419199999,75045924.25147000,310305,72165718.74000000,37617577.49977600,0
1622419200000,0.49300000,0.67240000,0.44570000,0.59580000,153891137.34000000,1623023999999,89323788.60242600,316614,77866194.50000000,45267848.67975600,0
1623024000000,0.59630000,0.64400000,0.47120000,0.52620000,123090519.18000000,1623628799999,66501537.84525800,221456,61208727.03000000,33073595.52553500,0
1623628800000,0.52720000,0.56480000,0.43240000,0.46890000,88795507.63000000,1624233599999,45901898.65259700,163770,43777631.20000000,22651587.62181700,0
