otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1633305600000,1.28240000,1.55000000,1.18180000,1.21740000,13942189.00000000,1633910399999,18237405.89630000,55004,6437456.00000000,8441615.14580000,0
1633910400000,1.21170000,1.45980000,1.14960000,1.22860000,13085252.00000000,1634515199999,16530904.35660000,55534,6297561.00000000,7985238.50980000,0
1634515200000,1.23010000,1.37650000,1.20010000,1.23930000,10678117.00000000,1635119999999,13689949.79630000,50232,5070822.00000000,6521588.34160000,0
1635120000000,1.23310000,1.32890000,0.92490000,1.14400000,18358995.00000000,1635724799999,21191767.64320000,87493,9225197.00000000,10687405.16410000,0
1635724800000,1.14790000,1.24000000,1.08420000,1.12380000,10610027.00000000,1636329599999,12060707.36730000,47103,4840778.00000000,5506554.17810000,0
1636329600000,1.12380000,1.32780000,1.01450000,1.07950000,16798690.00000000,1636934399999,19030600.62190000,71873,8562990.00000000,9715406.35730000,0
1636934400000,1.08010000,1.54720000,0.83440000,1.12440000,38417838.00000000,1637539199999,45185070.02710000,127274,19258680.00000000,22773504.19310000,0
1637539200000,1.12440000,1.41090000,0.85020000,0.94050000,48479791.00000000,1638143999999,55821108.78400000,215621,23663784.00000000,27341014.21570000,0
1638144000000,0.94480000,1.27000000,0.64400000,0.78590000,51022351.00000000,1638748799999,52862297.96820000,183906,25247383.00000000,26191225.43640000,0
1638748800000,0.78580000,0.79430000,0.70440000,0.79060000,2419146.00000000,1639353599999,1821977.01740000,8234,1214378.00000000,915012.60130000,0
