otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609718400000,0.01892000,0.02909000,0.01651000,0.02518000,1496675041.90000000,1610323199999,35171148.83245000,211137,760937572.40000000,17862597.44410300,0
1610323200000,0.02519000,0.03100000,0.01864000,0.02998000,1060313088.60000000,1610927999999,26635547.34719500,141637,533174308.50000000,13435602.92536500,0
1610928000000,0.03001000,0.06140000,0.02410000,0.05700000,2241411417.40000000,1611532799999,92700843.68904300,392786,1099809440.50000000,45350221.33919500,0
1611532800000,0.05695000,0.26000000,0.05051000,0.12800000,4563466490.80000000,1612137599999,518212493.77571000,1495525,2304415978.30000000,262250629.53246500,0
1612137600000,0.12821000,0.17399000,0.09666000,0.13254000,2115459764.80000000,1612742399999,278917331.35832400,1020798,1057999397.90000000,139702172.67927700,0
1612742400000,0.13251000,0.19800000,0.12764000,0.16872000,1560264886.90000000,1613347199999,255146105.64144400,837898,782234905.20000000,128239041.43538200,0
1613347200000,0.16897000,0.37870000,0.13834000,0.34721000,1589123468.40000000,1613951999999,377181845.87862000,974278,822119883.60000000,196056852.28491900,0
1613952000000,0.34638000,0.87797000,0.30000000,0.42300000,4128368551.90000000,1614556799999,2204371375.60526700,3190637,2034672473.30000000,1086214326.17451600,0
1614556800000,0.42210000,0.64617000,0.41420000,0.44404000,1987593477.50000000,1615161599999,1028331207.96067400,1890388,989485485.20000000,512525882.33229500,0
1615161600000,0.44458000,0.55000000,0.35523000,0.38919000,1418704826.50000000,1615766399999,629616853.90670200,1526953,695980126.70000000,309812646.80820000,0
1615766400000,0.38919000,0.48875000,0.34900000,0.42543000,847103113.40000000,1616371199999,347345133.35987500,931794,425326444.00000000,174701514.37310800,0
1616371200000,0.42521000,0.45506000,0.29081000,0.39324000,788024775.20000000,1616975999999,296407427.08674900,844520,386078774.10000000,145459809.54146500,0
1616976000000,0.39358000,0.48000000,0.38000000,0.40800000,868616597.20000000,1617580799999,372470624.44635400,944994,437817772.50000000,188036282.40916100,0
1617580800000,0.40777000,0.55686000,0.39313000,0.45817000,1141996291.00000000,1618185599999,525845001.12601900,1226398,576822170.80000000,266102113.90351400,0
1618185600000,0.45794000,0.57800000,0.32100000,0.42310000,1112891897.00000000,1618790399999,507944118.98120200,1317293,554529767.00000000,254354228.55948100,0
1618790400000,0.42362000,0.43403000,0.25000000,0.30598000,821325422.50000000,1619395199999,286394286.86070100,807112,397287951.60000000,138546133.05388800,0
1619395200000,0.30542000,0.84900000,0.29593000,0.75338000,2587460803.60000000,1619999999999,1625911352.16707400,3116113,1309972119.90000000,822684300.48345300,0
1620000000000,0.75338000,0.94156000,0.63100000,0.91838000,1672968497.90000000,1620604799999,1312936095.21084500,2448099,846566079.60000000,666672228.32905400,0
1620604800000,0.91892000,0.95873000,0.56549000,0.63207000,1292949534.50000000,1621209599999,923650388.86705300,1666610,637020529.60000000,455673182.65321400,0
1621209600000,0.63127000,0.76500000,0.18320000,0.25200000,2594209252.50000000,1621814399999,1142117475.17400400,2084254,1273769575.20000000,564520217.07882800,0
1621814400000,0.25210000,0.40531000,0.25168000,0.29505000,1642271928.30000000,1622419199999,528975492.47721600,1036378,812361876.90000000,261867691.80539400,0
1622419200000,0.29463000,0.40500000,0.27434000,0.34117000,1180820756.40000000,1623023999999,398178859.28801000,794716,583134049.60000000,196766978.00533100,0
1623024000000,0.34087000,0.35714000,0.23188000,0.27994000,1048922862.60000000,1623628799999,297238855.28471500,611802,516524528.90000000,146318655.13556500,0
1623628800000,0.28010000,0.34688000,0.26660000,0.30849000,1223049374.70000000,1624233599999,369929218.03095300,815550,612724687.00000000,185478545.09879400,0
1624233600000,0.30889000,0.31169000,0.18601000,0.21818000,1309796714.00000000,1624838399999,304697706.41207600,717153,642969135.00000000,149378465.91454300,0
1624838400000,0.21815000,0.25900000,0.21311000,0.24257000,711239354.20000000,1625443199999,163309384.87095600,402754,357143959.60000000,82059520.44366800,0
1625443200000,0.24266000,0.27770000,0.22035000,0.23193000,569301492.70000000,1626047999999,138543954.28030100,359331,281146558.70000000,68430169.97077700,0
1626048000000,0.23173000,0.23900000,0.18737000,0.19010000,349207214.30000000,1626652799999,73803477.29693900,202243,169591464.40000000,35842894.33465900,0
1626652800000,0.19016000,0.20208000,0.15300000,0.19795000,508340001.20000000,1627257599999,91199604.78930900,269008,252038230.10000000,45218480.32429200,0
1627257600000,0.19792000,0.26754000,0.19550000,0.24569000,827968249.00000000,1627862399999,194921388.25220400,528102,413534733.60000000,97470922.52278500,0
1627862400000,0.24568000,0.30000000,0.22982000,0.26702000,618973583.80000000,1628467199999,162931727.56047300,439307,310478061.50000000,81848929.37965800,0
1628467200000,0.26726000,0.35545000,0.25687000,0.34693000,711425267.70000000,1629071999999,223206346.33739200,571213,357351426.30000000,112187665.62769300,0
1629072000000,0.34718000,0.59800000,0.34697000,0.55539000,1757248161.20000000,1629676799999,810238136.08554200,1760495,881963872.90000000,407099125.51201900,0
1629676800000,0.55580000,0.58928000,0.41610000,0.58560000,884649155.00000000,1630281599999,442069204.01068000,894938,439114777.60000000,219738960.95057500,0
1630281600000,0.58560000,1.27420000,0.58310000,1.21560000,3603316904.80000000,1630886399999,3219444932.51874900,5442781,1800793051.70000000,1609132995.74498900,0
1630886400000,1.21500000,1.94000000,1.12660000,1.44220000,3733276595.60000000,1631491199999,5778557305.97633100,8141341,1843325308.20000000,2856592580.93930100,0
1631491200000,1.44210000,1.52400000,1.13350000,1.45790000,1715518105.00000000,1632095999999,2301299484.83090000,3267373,858326409.00000000,1152244689.50310000,0
1632096000000,1.45760000,1.48900000,0.94220000,1.17900000,2101291017.00000000,1632700799999,2491144731.89440000,3480447,1034483041.00000000,1227550178.38320000,0
1632700800000,1.17890000,1.54690000,1.15370000,1.46660000,1418159975.00000000,1633305599999,1855554704.60950000,2524820,710644558.00000000,930811490.81450000,0
1633305600000,1.46700000,2.45000000,1.28760000,2.02600000,2024988659.10000000,1633910399999,3914733065.88525400,5662883,1015695087.20000000,1964265167.17525400,0
1633910400000,2.02590000,2.36710000,1.90330000,2.30390000,1126589091.00000000,1634515199999,2389216019.88860000,3391499,566851817.00000000,1203046956.80200000,0
1634515200000,2.30410000,2.83000000,2.09960000,2.70000000,1037309028.90000000,1635119999999,2528162605.65515600,3528330,525661337.50000000,1283954078.63471600,0
