otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609459200000,5.76200000,5.90600000,5.69800000,5.80600000,237602.58800000,1609545599999,1382236.74857800,3568,103194.26800000,600326.82226100,0
1609545600000,5.80200000,10.84100000,5.72300000,6.20000000,595063.92700000,1609631999999,3669624.24564300,9277,341888.61300000,2127959.03515500,0
1609632000000,6.20100000,7.04000000,6.15500000,6.94500000,682071.46600000,1609718399999,4591891.22287200,12796,358776.62900000,2416303.92000300,0
1609718400000,6.95100000,7.63600000,6.25900000,7.53500000,475930.98300000,1609804799999,3393376.95137400,15980,269064.71300000,1927356.03072900,0
1609804800000,7.53200000,8.72700000,7.06500000,8.65600000,420890.78500000,1609891199999,3349379.27311100,12613,232202.25200000,1854524.73532800,0
1609891200000,8.63600000,9.40400000,8.30000000,9.38300000,453134.34000000,1609977599999,3993746.46089800,14837,245533.70600000,2177269.67519000,0
1609977600000,9.40400000,10.09100000,8.92300000,9.57100000,381493.97200000,1610063999999,3670562.61056100,12518,201815.79800000,1945492.67646400,0
1610064000000,9.57700000,9.75000000,8.04400000,9.35600000,511731.44700000,1610150399999,4606102.30409300,13195,189722.95000000,1735886.90246900,0
1610150400000,9.34800000,9.61700000,8.69400000,9.53700000,234859.91900000,1610236799999,2158757.03974900,8193,121984.28500000,1122294.94601900,0
1610236800000,9.54100000,9.94700000,8.55400000,9.28400000,220495.47200000,1610323199999,2089315.24835600,8237,138805.01600000,1317099.66863200,0
1610323200000,9.28600000,9.31000000,7.10000000,8.58500000,346149.14900000,1610409599999,2829129.09645800,9204,160402.47600000,1308599.69299300,0
1610409600000,8.59300000,9.12800000,8.01000000,8.41500000,310258.16700000,1610495999999,2634072.53301500,6747,150821.83600000,1284053.75331600,0
1610496000000,8.39100000,9.23000000,8.01000000,9.16600000,287322.70000000,1610582399999,2439575.82489200,6087,143632.21700000,1229245.95878600,0
1610582400000,9.18900000,9.88900000,8.94300000,9.64700000,189134.22800000,1610668799999,1774377.01468600,6442,102948.61400000,965416.00677100,0
1610668800000,9.66700000,9.80700000,8.51400000,9.14800000,172704.05400000,1610755199999,1615506.26590900,7463,99448.59900000,934990.20144700,0
