otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609718400000,0.00828100,0.01590000,0.00720000,0.01074000,4850569941.00000000,1610323199999,54909163.05859600,294297,2455923524.00000000,27888759.90532300,0
1610323200000,0.01073400,0.01870100,0.00806400,0.01682200,1508132800.00000000,1610927999999,19872819.81446600,127022,762743832.00000000,10127928.91680400,0
1610928000000,0.01682000,0.01950000,0.01290000,0.01782300,508074802.00000000,1611532799999,8722550.72424100,90658,254258012.00000000,4384956.80262000,0
1611532800000,0.01790200,0.04230000,0.01612800,0.02808100,1985602211.00000000,1612137599999,57682015.58515500,301183,1005509338.00000000,29262605.68107900,0
1612137600000,0.02796500,0.05890000,0.02707000,0.03716800,2708536058.00000000,1612742399999,117895734.76985500,636100,1380949607.00000000,60212423.92702200,0
1612742400000,0.03715900,0.04589000,0.03467200,0.03746600,912937026.00000000,1613347199999,35637370.24124500,252109,453121661.00000000,17743824.75029200,0
1613347200000,0.03764600,0.03900000,0.03082700,0.03464500,481267894.00000000,1613951999999,16819619.86976300,130713,233964082.00000000,8189318.90302300,0
1613952000000,0.03453700,0.03972600,0.02220000,0.02686400,618789593.00000000,1614556799999,20009644.90529100,134268,304130404.00000000,9903119.98069400,0
1614556800000,0.02688400,0.03639400,0.02504200,0.03317200,376825912.00000000,1615161599999,11776261.82510800,98741,190643978.00000000,5968098.00346700,0
1615161600000,0.03315500,0.03672600,0.02660600,0.03184100,856663455.00000000,1615766399999,27729129.92753000,234753,451166801.00000000,14573825.34804400,0
1615766400000,0.03184100,0.04280300,0.03035800,0.03845600,2198534667.00000000,1616371199999,81503514.98210100,499436,1111124207.00000000,41208570.81006600,0
1616371200000,0.03845600,0.04178000,0.03325300,0.03656600,1132690607.00000000,1616975999999,41386664.83461300,183703,575754039.00000000,21067930.37349400,0
1616976000000,0.03650200,0.06865500,0.03615600,0.05216400,8476201990.00000000,1617580799999,413418274.16320000,1183849,4355957578.00000000,212560134.77632600,0
1617580800000,0.05215000,0.05798700,0.03850300,0.04397000,4943048244.00000000,1618185599999,238958427.53541500,670301,2476397417.00000000,119795637.95471200,0
1618185600000,0.04396900,0.04675300,0.03572600,0.03779600,2715248921.00000000,1618790399999,115422131.62534300,361194,1373444999.00000000,58456913.49510700,0
1618790400000,0.03782400,0.03932600,0.02677800,0.02849200,1249334053.00000000,1619395199999,40706247.20034800,140133,599778074.00000000,19533353.26086100,0
1619395200000,0.02850200,0.04456700,0.02823200,0.03757700,3455079584.00000000,1619999999999,130314594.32551900,404397,1768562357.00000000,66741632.52324500,0
1620000000000,0.03761500,0.05450000,0.03760600,0.04266500,8404331702.00000000,1620604799999,380541815.00883200,924916,4344518395.00000000,196903503.43114500,0
1620604800000,0.04273500,0.04400000,0.03053900,0.03165200,1718721550.00000000,1621209599999,63485959.53127700,200560,841478744.00000000,31144069.87048300,0
1621209600000,0.03170000,0.03180700,0.01807500,0.01956900,1690272108.00000000,1621814399999,42658813.89378200,108924,794533862.00000000,20050684.75100800,0
1621814400000,0.01959100,0.02427500,0.01922800,0.02232600,1131496909.00000000,1622419199999,25120450.76960000,75198,570531619.00000000,12660425.49361400,0
1622419200000,0.02237000,0.02592800,0.02074600,0.02223600,1392289224.00000000,1623023999999,32060905.73850300,96728,695821893.00000000,16045252.93363200,0
1623024000000,0.02227500,0.02695100,0.01888900,0.02117000,2206533544.00000000,1623628799999,51380665.19853100,152603,1127421330.00000000,26321578.01429500,0
1623628800000,0.02120100,0.02241200,0.01827300,0.01930300,758950906.00000000,1624233599999,15585955.15870600,56242,374786103.00000000,7707075.37146600,0
1624233600000,0.01928500,0.01936600,0.01526600,0.01668200,740089111.00000000,1624838399999,12462566.81972700,50610,357419452.00000000,6010599.79589700,0
