otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1631491200000,0.02103000,0.14675000,0.02103000,0.11010000,35077787664.00000000,1632095999999,3443623899.49873000,5977233,17761730799.00000000,1748354365.61558000,0
1632096000000,0.11014000,0.12226000,0.08112000,0.08788000,13974466676.00000000,1632700799999,1413815660.04735000,2733532,6950953933.00000000,704416634.93643000,0
1632700800000,0.08787000,0.12360000,0.07590000,0.11402000,10005295793.00000000,1633305599999,986211330.90598000,2320298,4963931039.00000000,489112346.44443000,0
1633305600000,0.11401000,0.11950000,0.08998000,0.09052000,5839864831.00000000,1633910399999,607980091.77980000,1674072,2854725363.00000000,297493289.42914000,0
1633910400000,0.09047000,0.09785000,0.07952000,0.08374000,5367405709.00000000,1634515199999,471573630.28851000,1712145,2653936131.00000000,233362712.57116000,0
1634515200000,0.08376000,0.08934000,0.07950000,0.08161000,2191276143.00000000,1635119999999,185076978.31456000,558189,1090094232.00000000,92139577.40027000,0
1635120000000,0.08162000,0.11811000,0.06969000,0.09540000,7878867604.00000000,1635724799999,728241881.31946000,1882636,3954483459.00000000,366319286.40728000,0
1635724800000,0.09543000,0.10388000,0.08500000,0.09049000,3259360945.00000000,1636329599999,306283503.47078000,763170,1628278015.00000000,153160120.22313000,0
1636329600000,0.09051000,0.10408000,0.07400000,0.09329000,3021869325.00000000,1636934399999,275467210.10576000,747142,1502701189.00000000,137300261.82607000,0
1636934400000,0.09336000,0.48816000,0.09319000,0.37010000,29396932564.00000000,1637539199999,7052602653.06161000,11528797,14865385917.00000000,3574416947.67962000,0
1637539200000,0.37027000,0.84128000,0.35816000,0.71100000,15427806023.00000000,1638143999999,8997795700.49128000,13687464,7743164587.00000000,4519757777.85649000,0
1638144000000,0.71100000,0.75041000,0.36929000,0.48601000,6694642537.00000000,1638748799999,3799864321.28979000,6038032,3299135173.00000000,1876552380.24706000,0
1638748800000,0.48583000,0.53360000,0.42496000,0.50882000,890103549.00000000,1639353599999,419945221.56466000,688406,441266866.00000000,208440343.40734000,0
