otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609459200000,1.36390000,1.36800000,1.35710000,1.36230000,4070509.35000000,1609545599999,5542624.55562100,16199,1357536.85000000,1849956.32622600,0
1609545600000,1.36200000,1.36650000,1.35300000,1.35830000,5928615.98000000,1609631999999,8058074.13331400,25684,2251294.60000000,3061402.45154800,0
1609632000000,1.35850000,1.36350000,1.35000000,1.36140000,8911384.05000000,1609718399999,12091497.19690600,38967,3005085.69000000,4080506.21162500,0
1609718400000,1.36120000,1.36580000,1.34600000,1.35280000,14800163.22000000,1609804799999,20078773.20103000,47902,7162989.88000000,9719633.36414800,0
1609804800000,1.35270000,1.36240000,1.35010000,1.35690000,7858144.56000000,1609891199999,10650099.97052200,54030,4630031.15000000,6276076.77430800,0
1609891200000,1.35730000,1.36600000,1.34400000,1.35480000,13820345.81000000,1609977599999,18687845.98061200,55415,7250568.45000000,9807496.14505500,0
1609977600000,1.35490000,1.35970000,1.34330000,1.35100000,19939623.20000000,1610063999999,26923378.52826900,65833,10458456.90000000,14124436.54104600,0
1610064000000,1.35110000,1.35920000,1.34240000,1.34960000,20564968.85000000,1610150399999,27773204.93900600,73770,10519511.08000000,14209499.91179700,0
1610150400000,1.34960000,1.35350000,1.34510000,1.34920000,11480401.24000000,1610236799999,15486947.01820200,54819,5632525.85000000,7598988.79707700,0
1610236800000,1.34930000,1.35950000,1.33930000,1.34390000,18755710.51000000,1610323199999,25286564.48211000,73864,8606829.92000000,11610361.69679400,0
1610323200000,1.34420000,1.35430000,1.33470000,1.34350000,37483958.76000000,1610409599999,50437855.84206300,99879,19905620.96000000,26792810.78916600,0
1610409600000,1.34330000,1.36750000,1.34210000,1.36480000,18157476.35000000,1610495999999,24590019.45454300,66434,9833641.71000000,13319070.29003400,0
1610496000000,1.36470000,1.36940000,1.35760000,1.36290000,13125106.90000000,1610582399999,17895379.37054000,67781,6454111.82000000,8800539.49617300,0
1610582400000,1.36290000,1.37100000,1.35810000,1.36630000,11497068.97000000,1610668799999,15687589.30782900,62041,6492054.81000000,8858922.68148600,0
1610668800000,1.36640000,1.36820000,1.35000000,1.35330000,16708886.89000000,1610755199999,22706957.00017600,86818,8477065.85000000,11522880.96286100,0
1610755200000,1.35330000,1.35840000,1.35240000,1.35480000,13082788.68000000,1610841599999,17720634.12654600,72420,5852374.19000000,7927751.74744200,0
1610841600000,1.35460000,1.36150000,1.35240000,1.35500000,11737502.90000000,1610927999999,15907342.47423600,72971,5649983.67000000,7658320.06779900,0
1610928000000,1.35500000,1.35920000,1.35000000,1.35750000,11513749.32000000,1611014399999,15583527.13379900,69052,5577570.83000000,7549994.77901200,0
1611014400000,1.35750000,1.36550000,1.35180000,1.35800000,17214846.70000000,1611100799999,23365543.64896900,92025,8888952.20000000,12066542.14107700,0
1611100800000,1.35800000,1.36800000,1.35680000,1.36490000,18184146.62000000,1611187199999,24772665.32254500,103802,8995877.19000000,12256595.32420700,0
1611187200000,1.36500000,1.37500000,1.36370000,1.37050000,21779250.15000000,1611273599999,29834383.81079700,119455,10908092.96000000,14946007.87632300,0
1611273600000,1.37050000,1.37380000,1.35680000,1.36550000,16104382.96000000,1611359999999,21979270.01624800,84687,8358620.55000000,11409222.04172800,0
1611360000000,1.36550000,1.37000000,1.36150000,1.36320000,7811350.35000000,1611446399999,10655495.01025700,52935,3921625.83000000,5349901.41808900,0
1611446400000,1.36320000,1.36850000,1.36190000,1.36450000,9566692.55000000,1611532799999,13050030.84364700,53038,5072864.96000000,6920489.25148300,0
1611532800000,1.36450000,1.37070000,1.36140000,1.36270000,12806718.47000000,1611619199999,17485022.43984100,67565,6015337.18000000,8213556.35766100,0
1611619200000,1.36270000,1.37290000,1.35550000,1.37230000,11807811.13000000,1611705599999,16119692.31961000,66402,6734706.18000000,9197262.50703400,0
