otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609718400000,1.36120000,1.36600000,1.33930000,1.34390000,107219357.39000000,1610323199999,144886814.11975100,425633,54260913.23000000,73346493.23022500,0
1610323200000,1.34420000,1.37100000,1.33470000,1.35500000,121792789.45000000,1610927999999,164945777.57593300,528344,62664853.01000000,84880296.03496100,0
1610928000000,1.35500000,1.37500000,1.35000000,1.36450000,102174418.65000000,1611532799999,139240915.78626200,574994,51723604.52000000,70498752.83191900,0
1611532800000,1.36450000,1.37300000,1.35550000,1.36350000,122683474.67000000,1612137599999,167480767.80841300,779717,65779071.65000000,89810046.18790600,0
1612137600000,1.36350000,1.37660000,1.35220000,1.36760000,170290869.02000000,1612742399999,232346658.31943700,816735,78802342.99000000,107545848.00968500,0
1612742400000,1.36740000,1.38500000,1.36170000,1.37550000,215680564.53000000,1613347199999,296336918.19555000,824444,104864891.52000000,144091134.66097200,0
1613347200000,1.37550000,1.40060000,1.36260000,1.39260000,221517726.02000000,1613951999999,307617148.02537900,795463,104617268.70000000,145298026.42289800,0
1613952000000,1.39260000,1.41490000,1.34810000,1.39030000,293228803.46000000,1614556799999,409517993.98968400,851218,139426356.25000000,194828834.19453400,0
1614556800000,1.39010000,1.39840000,1.37370000,1.38250000,176217803.01000000,1615161599999,244274638.73969500,478340,89673974.62000000,124322568.60514500,0
1615161600000,1.38260000,1.39770000,1.36450000,1.38650000,224189244.95000000,1615766399999,310925787.90981900,646365,113427718.55000000,157300690.97169300,0
1615766400000,1.38650000,1.39720000,1.37540000,1.37760000,233084105.07000000,1616371199999,323004828.33150100,584708,113363818.86000000,157133913.47468200,0
1616371200000,1.37760000,1.38760000,1.36200000,1.37370000,234502178.16000000,1616975999999,322073414.57590100,554478,117593319.76000000,161504874.48030600,0
1616976000000,1.37380000,1.38480000,1.36390000,1.37270000,229005594.62000000,1617580799999,315041960.26888900,556638,110285756.70000000,151722555.65469700,0
1617580800000,1.37270000,1.39130000,1.36110000,1.36660000,367502233.70000000,1618185599999,504452428.40087500,853204,172983603.81000000,237487630.44716600,0
1618185600000,1.36660000,1.37840000,1.30000000,1.35840000,595045599.14000000,1618790399999,814195589.75411100,1288143,276707541.25000000,378760158.86041100,0
1618790400000,1.35850000,1.40330000,1.34350000,1.38040000,437780628.98000000,1619395199999,606045822.68389200,933600,206012824.36000000,285283987.26260200,0
1619395200000,1.38050000,1.39870000,1.37280000,1.37560000,350839590.86000000,1619999999999,485402891.46263000,624036,172302191.63000000,238416953.47781900,0
1620000000000,1.37560000,1.39810000,1.37290000,1.39770000,609942302.01000000,1620604799999,845431491.96542800,1080726,280231091.63000000,388412361.12471700,0
1620604800000,1.39780000,1.41250000,1.39060000,1.40330000,700405962.25000000,1621209599999,982390342.68554800,1289422,321778839.79000000,451342804.93147600,0
1621209600000,1.40330000,1.88040000,1.36900000,1.40580000,762169233.57000000,1621814399999,1073975802.52626400,1328315,356800019.18000000,503065951.10761400,0
1621814400000,1.40580000,1.41900000,1.40420000,1.41430000,411162660.52000000,1622419199999,580489722.48765900,667402,208294734.18000000,294072949.69532400,0
1622419200000,1.41430000,1.42290000,1.40600000,1.41380000,280164128.10000000,1623023999999,396081233.73913800,407893,139933295.56000000,197838420.50510000,0
1623024000000,1.41390000,1.41720000,1.40500000,1.41100000,264649221.13000000,1623628799999,373489465.44486600,317656,133179180.05000000,187943201.36345800,0
1623628800000,1.41100000,1.41180000,1.37100000,1.37820000,225962383.33000000,1624233599999,315032041.27023600,281571,107406939.80000000,149764177.81620000,0
1624233600000,1.37810000,1.40000000,1.37600000,1.38780000,301711335.56000000,1624838399999,418986747.01323900,404959,152743714.11000000,212120243.35967500,0
1624838400000,1.38770000,1.42240000,1.37840000,1.41450000,151180821.29000000,1625443199999,211071320.10629800,290186,81022667.33000000,113137378.97735000,0
1625443200000,1.41450000,1.47580000,1.39210000,1.47570000,87098585.82000000,1626047999999,124325537.57095200,201277,47208875.65000000,67401053.83064200,0
1626048000000,1.47570000,1.51200000,1.39620000,1.39660000,54100160.54000000,1626652799999,77788014.16868400,134522,29336698.60000000,42176657.10856100,0
1626652800000,1.39650000,1.39920000,1.36780000,1.37620000,74245516.38000000,1627257599999,102650716.10327400,164428,37532622.08000000,51906193.26893000,0
1627257600000,1.37620000,1.46090000,1.37600000,1.41020000,70609637.37000000,1627862399999,100328482.79404900,172316,38106279.04000000,54124627.96228900,0
1627862400000,1.41040000,1.46430000,1.39780000,1.43230000,71321270.15000000,1628467199999,101603306.10244100,166876,36665143.21000000,52256535.05809400,0
1628467200000,1.43240000,1.48000000,1.40020000,1.45370000,65960994.55000000,1629071999999,95307621.52430800,209270,34073305.69000000,49248226.30769100,0
1629072000000,1.45370000,1.46000000,1.38050000,1.39230000,61535213.34000000,1629676799999,86892281.95596600,170089,31150869.90000000,44006958.23679700,0
1629676800000,1.39200000,1.40880000,1.36000000,1.38200000,59910463.36000000,1630281599999,82573187.55974800,137573,27156538.79000000,37450104.18325200,0
1630281600000,1.38100000,1.39900000,1.36800000,1.39200000,70578522.30000000,1630886399999,97711695.90771500,134724,34093649.30000000,47219819.53351500,0
1630886400000,1.39200000,1.39900000,1.32000000,1.36800000,82795336.59000000,1631491199999,112713114.63444200,190704,36051771.68000000,49134542.09766800,0
1631491200000,1.36700000,1.37500000,1.35900000,1.36600000,44229748.70000000,1632095999999,60494507.28270000,89541,21616467.60000000,29572236.65510000,0
1632096000000,1.36700000,1.39500000,1.34000000,1.34800000,63617829.70000000,1632700799999,86028679.49610000,107485,30064890.30000000,40669616.02660000,0
1632700800000,1.34700000,1.35600000,1.33000000,1.35600000,43606335.90000000,1633305599999,58685466.33550000,81187,22262859.20000000,29967755.53850000,0
1633305600000,1.35600000,1.38900000,1.35300000,1.36900000,58663413.20000000,1633910399999,80577631.08470000,115264,30286439.40000000,41610263.92540000,0
1633910400000,1.37000000,1.40800000,1.36600000,1.39600000,49199016.22000000,1634515199999,68181283.55760100,106092,24878857.92000000,34484870.89700100,0
1634515200000,1.39500000,1.42100000,1.39500000,1.40100000,62746303.90000000,1635119999999,88266359.06831800,112958,31950630.10000000,44952067.15951800,0
1635120000000,1.40100000,1.40500000,1.37200000,1.37400000,82669226.60000000,1635724799999,114604708.69370000,174529,41468075.90000000,57498721.17880000,0
1635724800000,1.37400000,1.37800000,1.36000000,1.36800000,70863052.00000000,1636329599999,97238158.13840000,152619,35916706.60000000,49293952.45520000,0
1636329600000,1.36800000,1.38600000,1.33200000,1.33600000,72030674.70000000,1636934399999,97783650.77850000,141157,34913517.90000000,47442476.48470000,0
1636934400000,1.33600000,1.34800000,1.33000000,1.33800000,68831670.20000000,1637539199999,92224912.42540000,132483,33330674.50000000,44665432.58500000,0
1637539200000,1.33800000,1.34200000,1.31300000,1.31800000,64661971.30000000,1638143999999,85968663.60320000,131198,30903574.60000000,41100125.76020000,0
1638144000000,1.31700000,1.34500000,1.29600000,1.31800000,80961268.10000000,1638748799999,107001410.18112800,149883,38844259.20000000,51358792.75460000,0
1638748800000,1.31700000,1.33000000,1.31600000,1.32700000,11820501.50000000,1639353599999,15650004.00780000,16553,6117356.30000000,8099470.50990000,0
