otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1629072000000,1.98200000,2.40000000,1.98200000,2.08400000,6613331.30000000,1629676799999,14389968.22620000,48723,3133397.70000000,6867164.55690000,0
1629676800000,2.07500000,2.32400000,1.95500000,1.97600000,12311381.00000000,1630281599999,25537307.70510000,92860,5368459.70000000,11157968.57170000,0
1630281600000,1.98700000,2.08500000,1.81500000,1.85200000,7854227.00000000,1630886399999,15010828.81360000,61684,3279906.30000000,6280967.72650000,0
1630886400000,1.85500000,1.89000000,1.61100000,1.74000000,5792131.60000000,1631491199999,10320214.85230000,44061,2408196.50000000,4295759.88930000,0
1631491200000,1.73800000,1.78000000,1.66600000,1.67500000,3621643.80000000,1632095999999,6220269.25410000,29137,1452451.60000000,2496259.39880000,0
1632096000000,1.67700000,2.25900000,1.50800000,1.59500000,10938583.50000000,1632700799999,18654140.10340000,64901,4746610.30000000,8210518.74120000,0
1632700800000,1.59500000,1.69600000,1.54800000,1.62500000,3314032.10000000,1633305599999,5309386.44830000,24287,1510088.00000000,2421774.67810000,0
1633305600000,1.62900000,1.88700000,1.57400000,1.64800000,6709983.30000000,1633910399999,11305114.42670000,43082,3315369.70000000,5585669.88590000,0
1633910400000,1.64300000,1.79900000,1.60900000,1.71200000,4500878.10000000,1634515199999,7573967.44000000,29587,2278896.00000000,3838735.06910000,0
1634515200000,1.71000000,2.67200000,1.69800000,1.84600000,25181406.40000000,1635119999999,50327100.75500000,122465,12164751.00000000,24449533.19120000,0
1635120000000,1.84700000,2.68000000,1.84400000,2.32900000,44623519.70000000,1635724799999,100687752.23350000,195920,22797015.50000000,51630770.97590000,0
1635724800000,2.32900000,2.44900000,2.19000000,2.22100000,12134748.10000000,1636329599999,27853165.02340000,74212,5459742.80000000,12561279.73430000,0
1636329600000,2.22100000,2.24600000,2.12400000,2.21100000,8464312.30000000,1636934399999,18534116.56590000,46065,3949933.00000000,8668111.68810000,0
1636934400000,2.21200000,2.90000000,2.14000000,2.57200000,38089533.20000000,1637539199999,94555972.52490000,164377,19275062.60000000,48042459.62470000,0
1637539200000,2.57100000,3.40000000,2.50500000,2.85300000,37882088.30000000,1638143999999,107191819.27960000,207621,19034709.30000000,54123841.66050000,0
1638144000000,2.86700000,2.98800000,2.50400000,2.54100000,14566004.40000000,1638748799999,40395481.89730000,82014,6010666.10000000,16818207.10310000,0
1638748800000,2.54100000,2.55300000,2.48300000,2.50400000,1304606.70000000,1639353599999,3275013.77110000,8497,353935.80000000,889196.19070000,0
