otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609459200000,0.35046000,0.37905000,0.34505000,0.36169000,106546510.60000000,1609545599999,38718474.83027300,114312,52384966.20000000,19067012.38782400,0
1609545600000,0.36195000,0.36195000,0.30265000,0.32751000,84820913.70000000,1609631999999,28735006.21588100,83478,39454923.40000000,13368616.05199300,0
1609632000000,0.32691000,0.33734000,0.28111000,0.29857000,153423664.40000000,1609718399999,47431512.84439100,125889,73267802.80000000,22671304.03414000,0
1609718400000,0.29884000,0.35000000,0.29001000,0.30888000,141661225.90000000,1609804799999,45106884.68525600,117375,70197821.30000000,22427425.18398700,0
1609804800000,0.30888000,0.34900000,0.28511000,0.33823000,139064307.90000000,1609891199999,44213236.38018100,107740,69418135.10000000,22096255.65938400,0
1609891200000,0.33783000,0.39685000,0.31500000,0.36991000,218355039.20000000,1609977599999,78871614.11137400,183009,115109308.70000000,41555284.78521100,0
1609977600000,0.36979000,0.42000000,0.31686000,0.34633000,196776753.30000000,1610063999999,73063115.00161700,189858,97714705.40000000,36430453.41724000,0
1610064000000,0.34625000,0.35206000,0.30500000,0.32903000,142103169.30000000,1610150399999,47469562.84984600,132599,69715990.80000000,23328113.75648400,0
1610150400000,0.32903000,0.36500000,0.31651000,0.34849000,115581643.70000000,1610236799999,39903335.48829500,98836,57765151.50000000,19956711.29826300,0
1610236800000,0.34849000,0.37640000,0.30816000,0.32627000,125875101.80000000,1610323199999,43542335.06586400,114364,62549703.90000000,21696980.91272600,0
1610323200000,0.32634000,0.32737000,0.23310000,0.29053000,138074585.40000000,1610409599999,38567719.15620300,148238,66671794.50000000,18657718.84310100,0
1610409600000,0.29069000,0.30991000,0.26422000,0.27768000,71587105.00000000,1610495999999,20511609.58242000,74056,35594563.60000000,10201946.75343200,0
1610496000000,0.27726000,0.35100000,0.26682000,0.32500000,107455478.20000000,1610582399999,33352383.23778300,128289,54856170.70000000,17021904.28755600,0
1610582400000,0.32500000,0.36267000,0.31600000,0.33379000,110363475.60000000,1610668799999,37735356.46398800,118236,57879037.10000000,19834540.01398600,0
1610668800000,0.33355000,0.39450000,0.30900000,0.33761000,178469452.40000000,1610755199999,62724019.37739600,183247,93862375.70000000,32987669.06207400,0
