otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609459200000,0.00934000,0.01151000,0.00925000,0.00977000,88652228.30000000,1609545599999,919123.67923000,8543,45990619.20000000,479669.96758800,0
1609545600000,0.00975000,0.01060000,0.00909000,0.00941000,58440392.30000000,1609631999999,572205.42894000,4890,31041309.60000000,305439.14947100,0
1609632000000,0.00933000,0.00983000,0.00856000,0.00883000,122741481.00000000,1609718399999,1124660.81365500,5315,73356755.00000000,674117.92942000,0
1609718400000,0.00883000,0.00950000,0.00851000,0.00884000,38733949.00000000,1609804799999,349377.38850700,3241,19846217.80000000,180340.44114100,0
1609804800000,0.00885000,0.01039000,0.00862000,0.00966000,38684557.40000000,1609891199999,364161.16297900,3820,20220786.50000000,191097.56725400,0
1609891200000,0.00967000,0.01039000,0.00934000,0.01002000,44648584.90000000,1609977599999,435313.31298600,4039,23069352.10000000,225934.36514900,0
1609977600000,0.01006000,0.01018000,0.00939000,0.00964000,52063912.90000000,1610063999999,508569.71181600,4395,26015628.20000000,254662.26334000,0
1610064000000,0.00963000,0.01350000,0.00960000,0.01115000,109196714.20000000,1610150399999,1206445.49308100,8328,58100729.80000000,642662.07866600,0
1610150400000,0.01115000,0.01258000,0.01071000,0.01123000,80776702.20000000,1610236799999,914775.65702300,7482,43062928.10000000,488114.40882000,0
1610236800000,0.01128000,0.01164000,0.00980000,0.01056000,37544551.30000000,1610323199999,414711.81361500,4369,16164972.10000000,179521.05402900,0
1610323200000,0.01050000,0.01190000,0.00839000,0.00955000,45596488.60000000,1610409599999,443805.79899700,3674,22447001.00000000,217851.78416100,0
1610409600000,0.00960000,0.01014000,0.00890000,0.00946000,19470992.50000000,1610495999999,187909.96985800,1980,8912491.70000000,86216.76097900,0
1610496000000,0.00947000,0.01070000,0.00903000,0.00988000,18879863.30000000,1610582399999,183399.38086400,2116,9926839.80000000,96427.89731500,0
1610582400000,0.01000000,0.01030000,0.00968000,0.01027000,28217812.50000000,1610668799999,281936.61662100,2709,14155048.30000000,141634.84862800,0
1610668800000,0.01026000,0.01056000,0.00915000,0.00980000,48430004.50000000,1610755199999,480811.29956200,4029,23351495.70000000,232040.96377500,0
1610755200000,0.00979000,0.01749000,0.00968000,0.01630000,1675933628.30000000,1610841599999,23736228.28107400,75985,965326676.70000000,13700763.25309200,0
1610841600000,0.01633000,0.01695000,0.01250000,0.01429000,1161449197.80000000,1610927999999,17100313.24949500,51681,590430265.00000000,8710180.81971200,0
1610928000000,0.01428000,0.01780000,0.01361000,0.01509000,4155767903.70000000,1611014399999,66013204.33542800,163073,2383386949.10000000,37763415.36386200,0
