otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609718400000,0.00883000,0.01350000,0.00851000,0.01056000,401648971.90000000,1610323199999,4193354.54000700,35674,206480614.60000000,2162332.17839900,0
1610323200000,0.01050000,0.01749000,0.00839000,0.01429000,2997977987.50000000,1610927999999,42414404.59647100,142174,1634549818.20000000,23185116.32766200,0
1610928000000,0.01428000,0.01780000,0.01123000,0.01275000,4479115074.80000000,1611532799999,70348265.52179600,204652,2543790418.30000000,39911577.38103200,0
1611532800000,0.01268000,0.01450000,0.00996000,0.01364000,277413122.80000000,1612137599999,3493295.19072000,40002,132783376.20000000,1678513.65297500,0
1612137600000,0.01364000,0.04490000,0.01311000,0.02242000,3763368324.60000000,1612742399999,109805067.99866100,440081,1884243972.80000000,55210584.29180600,0
1612742400000,0.02227000,0.03187000,0.01902000,0.02432000,2192802365.30000000,1613347199999,55933843.20549900,243563,1057602032.10000000,27078597.22641300,0
1613347200000,0.02438000,0.02818000,0.02052000,0.02503000,755682492.70000000,1613951999999,19240607.97115000,129286,373667865.70000000,9526358.55490000,0
1613952000000,0.02520000,0.02527000,0.01545000,0.01948000,666551521.10000000,1614556799999,13083442.28930200,85754,316382257.50000000,6220817.51200500,0
1614556800000,0.01945000,0.02797000,0.01801000,0.02371000,1002220806.30000000,1615161599999,22890825.49902800,150958,489379558.90000000,11220696.98788900,0
1615161600000,0.02368000,0.04000000,0.02245000,0.03303000,1604380545.00000000,1615766399999,49772732.00065500,288361,803653099.20000000,24976297.46221600,0
1615766400000,0.03303000,0.04857000,0.02914000,0.04244000,1800720911.60000000,1616371199999,72617374.29777900,375130,918288463.30000000,37099174.30378700,0
1616371200000,0.04250000,0.04775000,0.03272000,0.04341000,704671432.30000000,1616975999999,28124003.08077200,174394,347631717.90000000,13910409.36992600,0
1616976000000,0.04347000,0.09140000,0.04085000,0.06866000,5908441340.40000000,1617580799999,426291635.99392700,1312618,3000192589.70000000,217487607.12393400,0
1617580800000,0.06867000,0.15792000,0.06655000,0.13147000,5025379572.20000000,1618185599999,574566763.09191800,1848982,2528453946.40000000,290006915.39373700,0
1618185600000,0.13119000,0.13126000,0.07383000,0.08364000,1250819849.10000000,1618790399999,130998446.73997100,559445,611707713.60000000,64126575.23977200,0
1618790400000,0.08375000,0.10599000,0.05562000,0.06261000,2465064955.20000000,1619395199999,204554608.15060000,687277,1249917207.10000000,104252161.41163300,0
1619395200000,0.06261000,0.09887000,0.06155000,0.08849000,1443873011.10000000,1619999999999,117785334.33179800,492455,726028101.70000000,59342980.91257200,0
1620000000000,0.08859000,0.10240000,0.07300000,0.07683000,927490994.10000000,1620604799999,78152314.43873600,369930,456345774.60000000,38532540.65709900,0
