otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609459200000,0.29850000,0.30250000,0.28810000,0.29560000,152232.86000000,1609545599999,45187.01439100,934,63654.99000000,18951.43573800,0
1609545600000,0.29360000,0.30190000,0.27810000,0.28770000,177783.94000000,1609631999999,51846.33515700,1213,82992.77000000,24369.82186500,0
1609632000000,0.28760000,0.29380000,0.27290000,0.29130000,412421.33000000,1609718399999,116041.79086700,2382,159418.61000000,44967.70287300,0
1609718400000,0.29350000,0.30740000,0.26560000,0.29410000,566897.00000000,1609804799999,165568.72005900,2968,205503.11000000,59977.55291000,0
1609804800000,0.29470000,0.30560000,0.27500000,0.30330000,361405.08000000,1609891199999,106245.80107600,1979,177259.39000000,52210.32423700,0
1609891200000,0.30310000,0.33520000,0.29770000,0.32780000,837237.72000000,1609977599999,265981.73548300,3712,405068.46000000,129071.81829000,0
1609977600000,0.32780000,0.34990000,0.31880000,0.33270000,711383.37000000,1610063999999,236990.98169900,3663,313656.44000000,104773.33521200,0
1610064000000,0.33010000,0.33470000,0.29000000,0.32560000,442687.38000000,1610150399999,141482.19716100,2810,207000.26000000,66422.77015200,0
1610150400000,0.32690000,0.35890000,0.30000000,0.34620000,1166898.97000000,1610236799999,398122.54425000,4550,432908.83000000,148849.83555700,0
1610236800000,0.34960000,0.46000000,0.33280000,0.38130000,4525091.54000000,1610323199999,1832158.76147300,17749,2150010.54000000,868121.49190200,0
1610323200000,0.38130000,0.40840000,0.30280000,0.34690000,2605354.93000000,1610409599999,935686.43863600,10279,1241958.73000000,446545.91602000,0
1610409600000,0.34060000,0.35960000,0.31600000,0.32540000,951819.75000000,1610495999999,320555.51390400,3914,502000.58000000,169222.23819300,0
1610496000000,0.32540000,0.34490000,0.31570000,0.34360000,435094.01000000,1610582399999,144665.31408000,2589,178675.28000000,59657.54777100,0
1610582400000,0.34390000,0.35980000,0.32990000,0.34080000,752271.89000000,1610668799999,259660.77285800,4071,376402.97000000,130141.14280700,0
1610668800000,0.34150000,0.39460000,0.32800000,0.36440000,1435581.76000000,1610755199999,511500.51161800,5985,653310.58000000,233707.23171000,0
1610755200000,0.36610000,0.37990000,0.35180000,0.36790000,1060214.52000000,1610841599999,385811.70828900,4508,452183.69000000,164887.37594500,0
1610841600000,0.36570000,0.37680000,0.34390000,0.36140000,772682.89000000,1610927999999,280075.37195700,3757,361915.82000000,131432.30965500,0
1610928000000,0.36140000,0.38120000,0.35430000,0.37700000,532424.81000000,1611014399999,195860.35963400,3235,273138.68000000,100750.80169200,0
1611014400000,0.37690000,0.39120000,0.36590000,0.37000000,557833.84000000,1611100799999,212074.61722000,3711,262703.38000000,100064.77038400,0
1611100800000,0.37000000,0.37420000,0.33920000,0.35960000,534833.75000000,1611187199999,190788.96456300,3216,255228.35000000,91181.39740000,0
