otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609459200000,0.11460000,0.11870000,0.11420000,0.11840000,877717.86000000,1609545599999,102493.35637000,1899,521843.59000000,60953.94471100,0
1609545600000,0.11790000,0.12250000,0.11400000,0.11650000,1461240.63000000,1609631999999,173299.22110000,2625,706241.59000000,83632.09990400,0
1609632000000,0.11590000,0.12000000,0.11220000,0.11710000,1460393.96000000,1609718399999,168532.88820100,2932,617622.56000000,71249.78363300,0
1609718400000,0.11700000,0.12000000,0.10400000,0.11280000,3565953.03000000,1609804799999,405800.29696300,4861,1180611.62000000,133732.45501600,0
1609804800000,0.11250000,0.11730000,0.11120000,0.11630000,2113044.25000000,1609891199999,242673.85891400,3207,1047014.55000000,120360.14565800,0
1609891200000,0.11630000,0.12470000,0.11220000,0.12140000,3618244.09000000,1609977599999,429616.55481400,4706,1311704.63000000,155624.98034700,0
1609977600000,0.12140000,0.12870000,0.11750000,0.12020000,5354685.30000000,1610063999999,662582.97050300,7604,2301539.68000000,285103.81040600,0
1610064000000,0.11940000,0.13350000,0.11230000,0.12800000,4988876.43000000,1610150399999,613049.74902200,6559,2449084.59000000,301127.24617900,0
1610150400000,0.12810000,0.13420000,0.12240000,0.13420000,4330567.63000000,1610236799999,554297.10287400,5987,2523454.01000000,323669.03716500,0
1610236800000,0.13420000,0.14430000,0.12020000,0.12540000,4526587.92000000,1610323199999,595541.37983400,6640,2091729.21000000,275528.81015800,0
1610323200000,0.12500000,0.13510000,0.10900000,0.12200000,4671045.37000000,1610409599999,559352.05620000,6388,2346333.97000000,282617.12762200,0
1610409600000,0.12350000,0.12500000,0.11410000,0.11980000,2195646.43000000,1610495999999,264701.99025100,3201,1244925.22000000,150201.81887600,0
1610496000000,0.12000000,0.12850000,0.11690000,0.12520000,1707818.66000000,1610582399999,208392.02635800,3294,749393.13000000,91960.84835100,0
1610582400000,0.12560000,0.13200000,0.12280000,0.13020000,1849524.09000000,1610668799999,236841.12111300,3663,1044298.29000000,133987.45870900,0
1610668800000,0.13070000,0.13180000,0.11390000,0.12790000,2250848.56000000,1610755199999,280991.67210000,4680,1204720.49000000,150303.47601900,0
1610755200000,0.12790000,0.13560000,0.12570000,0.13470000,4181071.06000000,1610841599999,548661.42874300,6384,2370359.06000000,311323.76609200,0
1610841600000,0.13550000,0.15490000,0.12330000,0.13160000,8756442.84000000,1610927999999,1196045.56830100,10212,4315091.64000000,588243.48361400,0
1610928000000,0.13150000,0.14010000,0.12740000,0.13910000,5898819.20000000,1611014399999,788600.13395700,7339,3082726.57000000,413129.65376100,0
1611014400000,0.13900000,0.14060000,0.13350000,0.13580000,3059592.97000000,1611100799999,418638.62304100,4388,1319762.90000000,181018.76875700,0
1611100800000,0.13540000,0.14340000,0.12820000,0.14240000,3406918.88000000,1611187199999,458473.81765800,5136,1793988.33000000,242053.83855200,0
1611187200000,0.14210000,0.16400000,0.13060000,0.15000000,13031960.81000000,1611273599999,1910241.50063100,17840,6369126.16000000,937731.50981000,0
1611273600000,0.15000000,0.15290000,0.12560000,0.14550000,7495353.01000000,1611359999999,1036602.68863700,10902,3705438.81000000,513266.58739600,0
1611360000000,0.14620000,0.14690000,0.13330000,0.13990000,4652699.01000000,1611446399999,645287.26693800,7048,2084694.56000000,289207.63376800,0
1611446400000,0.13980000,0.14820000,0.13560000,0.14820000,4621912.73000000,1611532799999,644532.33342600,7223,1938900.03000000,271184.22335700,0
1611532800000,0.14810000,0.16500000,0.13970000,0.14200000,19836096.51000000,1611619199999,2964870.46095700,16559,10439690.46000000,1562330.01749200,0
1611619200000,0.14170000,0.14360000,0.13450000,0.14250000,4173269.67000000,1611705599999,581843.20306200,5563,1999292.63000000,279232.09263300,0
1611705600000,0.14190000,0.14250000,0.12500000,0.13110000,3622539.32000000,1611791999999,479625.45254300,5016,1210255.86000000,160452.86140400,0
1611792000000,0.13150000,0.14200000,0.12910000,0.13970000,4714367.41000000,1611878399999,643104.54164600,7218,2325080.68000000,317771.98935900,0
1611878400000,0.13980000,0.14910000,0.13530000,0.13950000,6591710.95000000,1611964799999,927473.82356600,9870,3168160.43000000,446258.00498500,0
1611964800000,0.13890000,0.14010000,0.13440000,0.13670000,2878255.10000000,1612051199999,393326.48912300,4195,1200298.47000000,164387.61198900,0
1612051200000,0.13730000,0.14250000,0.13400000,0.14000000,5341550.82000000,1612137599999,739099.54649300,7845,2262278.72000000,313595.29511100,0
1612137600000,0.14030000,0.14410000,0.13530000,0.13920000,4099633.17000000,1612223999999,568556.89892400,6418,1714337.41000000,238259.04978900,0
1612224000000,0.13890000,0.14620000,0.13770000,0.14500000,4301808.30000000,1612310399999,609998.97384100,5689,1696912.35000000,241417.70383100,0
1612310400000,0.14500000,0.17500000,0.14440000,0.15380000,16152052.43000000,1612396799999,2514416.24364200,20638,7484525.67000000,1165209.53841800,0
1612396800000,0.15380000,0.16820000,0.14730000,0.15800000,9762379.26000000,1612483199999,1533414.27168300,13644,4692347.21000000,739984.54133900,0
1612483200000,0.15790000,0.17320000,0.15300000,0.17230000,14976819.04000000,1612569599999,2468196.39142200,18122,7080767.97000000,1169322.59237600,0
1612569600000,0.17210000,0.17800000,0.15710000,0.16240000,8242310.10000000,1612655999999,1351341.56814500,11874,3836514.81000000,629551.04194700,0
1612656000000,0.16240000,0.16240000,0.15000000,0.15810000,5133525.63000000,1612742399999,804212.01928400,7406,2494185.70000000,391041.39225000,0
1612742400000,0.15770000,0.18200000,0.15470000,0.17680000,15228512.82000000,1612828799999,2597669.92177100,21283,6868988.52000000,1172211.16307600,0
1612828800000,0.17680000,0.21700000,0.17020000,0.19330000,25129048.59000000,1612915199999,4793229.08679600,31448,12781149.64000000,2441869.89468700,0
1612915200000,0.19330000,0.22210000,0.17410000,0.21330000,20608479.28000000,1613001599999,4114630.38498400,27650,8794323.89000000,1752634.23261500,0
1613001600000,0.21330000,0.23900000,0.20780000,0.22970000,13525363.73000000,1613087999999,2993155.86766300,23158,5937090.88000000,1317122.42915800,0
1613088000000,0.22960000,0.25400000,0.21280000,0.23800000,15768680.10000000,1613174399999,3670200.27890500,26508,7092741.17000000,1648431.31575000,0
1613174400000,0.23800000,0.25100000,0.21210000,0.24120000,19831669.24000000,1613260799999,4716214.97884000,29603,10298988.71000000,2451530.65221100,0
1613260800000,0.24230000,0.27180000,0.21500000,0.24680000,22508542.86000000,1613347199999,5499398.57108600,39615,10923527.17000000,2666533.15443000,0
1613347200000,0.24680000,0.42880000,0.20210000,0.33500000,195956597.80000000,1613433599999,68337577.82696400,237835,104145509.14000000,36473189.65574300,0
1613433600000,0.33510000,0.37610000,0.29420000,0.30770000,54201371.45000000,1613519999999,18091689.29978900,91268,27521401.13000000,9209442.50139900,0
1613520000000,0.30800000,0.31150000,0.27760000,0.29580000,17910549.94000000,1613606399999,5280344.20428000,37455,8473603.56000000,2502998.91073900,0
1613606400000,0.29530000,0.33040000,0.28600000,0.32620000,15006213.13000000,1613692799999,4599855.42687900,35709,7668242.37000000,2357477.65719000,0
1613692800000,0.32650000,0.32860000,0.28800000,0.32640000,11860029.42000000,1613779199999,3615108.10625800,27032,5873049.96000000,1797184.72619300,0
1613779200000,0.32540000,0.32540000,0.29180000,0.30000000,6732324.01000000,1613865599999,2097114.59579400,18489,3272745.44000000,1019500.62750100,0
1613865600000,0.30120000,0.34090000,0.29360000,0.32760000,9795775.79000000,1613951999999,3147506.55751500,25152,4702198.25000000,1512463.01783600,0
1613952000000,0.32890000,0.33210000,0.23350000,0.28060000,11639909.69000000,1614038399999,3266177.89834700,23562,5364450.40000000,1505595.62491300,0
1614038400000,0.28050000,0.28990000,0.17000000,0.21080000,15047782.13000000,1614124799999,3384625.73883600,24816,6634701.05000000,1487177.40604100,0
1614124800000,0.21080000,0.23750000,0.19540000,0.22300000,10810408.77000000,1614211199999,2373132.90896600,18275,4746675.14000000,1043092.87588100,0
1614211200000,0.22320000,0.29730000,0.21970000,0.22090000,18899814.43000000,1614297599999,4792366.31277400,32596,9779306.18000000,2474710.20118000,0
1614297600000,0.22140000,0.25190000,0.21340000,0.24340000,10338377.21000000,1614383999999,2423495.44131200,17806,5039156.06000000,1180272.94833600,0
1614384000000,0.24460000,0.44950000,0.24150000,0.36740000,232080863.33000000,1614470399999,80243706.96143900,285132,118052394.03000000,40913538.84652500,0
1614470400000,0.36720000,0.36730000,0.27270000,0.29310000,76132292.33000000,1614556799999,23897583.62713000,111035,36348669.87000000,11421644.50185100,0
1614556800000,0.29290000,0.32410000,0.28430000,0.31900000,20780079.03000000,1614643199999,6316972.02869500,32738,11052820.87000000,3351516.36896000,0
1614643200000,0.31910000,0.31910000,0.27910000,0.29980000,11037106.17000000,1614729599999,3302078.04336700,19027,5810768.17000000,1737942.24576800,0
1614729600000,0.29970000,0.31020000,0.29010000,0.30660000,7944792.20000000,1614815999999,2388756.68220000,15874,4242546.63000000,1277536.54099900,0
1614816000000,0.30640000,0.30810000,0.28010000,0.29220000,5339720.76000000,1614902399999,1572368.49649400,13313,2794363.26000000,824702.69527200,0
1614902400000,0.29220000,0.29220000,0.27000000,0.28730000,3723812.11000000,1614988799999,1043902.65346600,8853,1677793.62000000,471575.17615600,0
1614988800000,0.28830000,0.30290000,0.28000000,0.29960000,4603039.59000000,1615075199999,1339226.11062100,10468,2372744.36000000,689279.77842600,0
1615075200000,0.29950000,0.33620000,0.29000000,0.31720000,13204963.65000000,1615161599999,4114442.93490700,26122,6931009.75000000,2164267.66408900,0
1615161600000,0.31690000,0.31800000,0.29630000,0.31530000,6555230.63000000,1615247999999,2005367.29322700,15130,3367399.54000000,1031498.42255600,0
1615248000000,0.31550000,0.32730000,0.30500000,0.32350000,5524000.43000000,1615334399999,1732070.86629000,15106,2754995.74000000,864493.37727300,0
1615334400000,0.32370000,0.37540000,0.29650000,0.33940000,17228966.69000000,1615420799999,5904636.61536000,40598,8958422.00000000,3078403.00899900,0
1615420800000,0.33970000,0.38480000,0.32520000,0.35790000,11027652.53000000,1615507199999,3892761.55674400,25486,5728705.86000000,2022866.81881200,0
1615507200000,0.35790000,0.36880000,0.32740000,0.34170000,7012660.80000000,1615593599999,2444118.50775400,17845,3506960.95000000,1220257.33205900,0
1615593600000,0.34290000,0.41500000,0.33000000,0.38780000,14968157.13000000,1615679999999,5673555.23211400,43425,7331054.74000000,2785765.14635900,0
1615680000000,0.38780000,0.41990000,0.36390000,0.38870000,8708857.80000000,1615766399999,3409086.75079400,28311,4527394.54000000,1775835.92225600,0
1615766400000,0.38870000,0.40780000,0.34490000,0.36890000,11937969.58000000,1615852799999,4465690.65094100,31126,5460301.21000000,2055247.74042900,0
1615852800000,0.36950000,0.40590000,0.34260000,0.38130000,14317106.15000000,1615939199999,5393814.42630100,26245,8907506.12000000,3383973.82128200,0
1615939200000,0.38270000,0.38370000,0.34010000,0.37640000,5661575.23000000,1616025599999,2016099.71521600,16441,2811478.42000000,1004293.41492500,0
1616025600000,0.37500000,0.44980000,0.36540000,0.43760000,24600097.70000000,1616111999999,10185582.64578900,59175,12849875.10000000,5325836.21703800,0
1616112000000,0.43780000,0.44450000,0.40800000,0.43600000,11445512.37000000,1616198399999,4837432.94707200,37380,5797578.03000000,2455982.92181200,0
1616198400000,0.43680000,0.46390000,0.39430000,0.39710000,12075041.43000000,1616284799999,5261555.83703300,36704,5620850.42000000,2459226.78130800,0
1616284800000,0.39710000,0.41180000,0.36730000,0.40410000,11006078.01000000,1616371199999,4305741.49912900,32213,5150246.40000000,2019386.73614400,0
1616371200000,0.40400000,0.54680000,0.38640000,0.45150000,64254286.91000000,1616457599999,31052176.18151500,147962,32743337.07000000,15832038.00661000,0
1616457600000,0.45000000,0.76700000,0.44710000,0.64150000,166077630.36000000,1616543999999,101453649.27117500,346316,82961957.21000000,50735119.60755400,0
1616544000000,0.64140000,0.71920000,0.50670000,0.52690000,35997741.70000000,1616630399999,22344806.60086900,98865,19082909.06000000,11919211.40340800,0
1616630400000,0.52510000,0.53240000,0.46160000,0.49060000,21034931.49000000,1616716799999,10379462.51277600,49025,9979007.08000000,4920914.51746000,0
1616716800000,0.49050000,0.52940000,0.48300000,0.52940000,13393681.24000000,1616803199999,6777019.14148700,31067,6711757.45000000,3398070.12429800,0
1616803200000,0.52930000,0.54580000,0.49420000,0.52900000,10518987.64000000,1616889599999,5446754.08546100,29179,5234194.76000000,2715254.44507700,0
1616889600000,0.52940000,1.05000000,0.52920000,0.76730000,183013358.70000000,1616975999999,154539647.97685000,428417,93166270.28000000,78644602.35341300,0
1616976000000,0.76650000,0.81830000,0.67360000,0.76010000,57291429.17000000,1617062399999,42246115.55558400,152743,29378540.51000000,21699099.34123900,0
1617062400000,0.76010000,0.79100000,0.72100000,0.77240000,22018867.90000000,1617148799999,16512877.74036100,65921,11431712.07000000,8582541.75372900,0
