otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609718400000,0.11700000,0.14430000,0.10400000,0.12540000,28497958.65000000,1610323199999,3503561.91292400,39564,12905138.29000000,1595146.48492900,0
1610323200000,0.12500000,0.15490000,0.10900000,0.13160000,25612397.01000000,1610927999999,3294985.86306600,37822,13275121.80000000,1708637.97928300,0
1610928000000,0.13150000,0.16400000,0.12560000,0.14820000,42167256.61000000,1611532799999,5902376.36428800,59876,20294637.36000000,2847592.21540100,0
1611532800000,0.14810000,0.16500000,0.12500000,0.14000000,47157789.78000000,1612137599999,6729343.51739000,56266,22605057.25000000,3244027.87297300,0
1612137600000,0.14030000,0.17800000,0.13530000,0.15810000,62668527.93000000,1612742399999,9850136.36694100,83791,28999591.12000000,4574785.85995000,0
1612742400000,0.15770000,0.27180000,0.15470000,0.24680000,132600296.62000000,1613347199999,28384499.09004500,199265,62696809.98000000,13450332.84192700,0
1613347200000,0.24680000,0.42880000,0.20210000,0.32760000,311462861.54000000,1613951999999,105169196.01747900,472940,161656749.85000000,54872257.09660100,0
1613952000000,0.32890000,0.44950000,0.17000000,0.29310000,374949447.89000000,1614556799999,120381088.88880400,513222,185965352.73000000,60026032.40472700,0
1614556800000,0.29290000,0.33620000,0.27000000,0.31720000,66633513.51000000,1615161599999,20077746.94975000,126395,34882046.66000000,10516820.46967000,0
1615161600000,0.31690000,0.41990000,0.29630000,0.38870000,71025526.01000000,1615766399999,25061596.82228300,185901,36174933.37000000,12779120.02831400,0
1615766400000,0.38870000,0.46390000,0.34010000,0.40410000,91043380.47000000,1616371199999,36465917.72148100,239284,46597835.70000000,18703947.63293800,0
1616371200000,0.40400000,1.05000000,0.38640000,0.76730000,494290618.04000000,1616975999999,331993515.77013300,1130831,249879432.91000000,168165210.45782000,0
1616976000000,0.76650000,0.85960000,0.67360000,0.74710000,160457912.94000000,1617580799999,120815221.94636900,487369,81559545.06000000,61499721.92675600,0
1617580800000,0.74840000,0.75740000,0.50000000,0.68060000,143169922.96000000,1618185599999,92125784.20120900,388949,70351266.93000000,45429190.16540900,0
1618185600000,0.68230000,0.70260000,0.46620000,0.52640000,76613865.21000000,1618790399999,45696836.73931000,202290,38092415.28000000,22759808.70282900,0
1618790400000,0.52700000,0.67530000,0.36270000,0.44630000,154856625.90000000,1619395199999,82341925.16465200,312608,78761576.24000000,41928688.67411800,0
1619395200000,0.44700000,0.83200000,0.42950000,0.62950000,166852319.98000000,1619999999999,111961526.26396500,373910,88797716.45000000,59502285.63622000,0
1620000000000,0.63030000,0.69410000,0.52570000,0.56390000,91000858.63000000,1620604799999,55228091.25821600,254126,45167524.78000000,27413253.91734700,0
1620604800000,0.56400000,0.59810000,0.43030000,0.47000000,60853058.84000000,1621209599999,31213440.83105300,145093,29566303.00000000,15183041.39752700,0
1621209600000,0.46980000,0.59000000,0.27180000,0.56400000,102078863.10000000,1621814399999,45024852.18283400,200444,53473718.27000000,23683820.57429700,0
1621814400000,0.56590000,0.63810000,0.36910000,0.42180000,77121068.18000000,1622419199999,35904228.20940300,187602,39318223.05000000,18302890.32803100,0
