otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609459200000,1.29100000,1.43500000,1.28500000,1.35900000,364793.00500000,1609545599999,503947.05668000,4549,183225.22600000,252942.40229400,0
1609545600000,1.35500000,1.39700000,1.26000000,1.29200000,323050.12800000,1609631999999,431526.37861200,4211,166548.98600000,223439.45818300,0
1609632000000,1.29200000,1.35900000,1.22000000,1.31100000,388299.05800000,1609718399999,503598.85299500,4997,202600.55900000,263787.72173500,0
1609718400000,1.31100000,1.45500000,1.27400000,1.36300000,429610.66500000,1609804799999,584205.23024500,7242,206826.88500000,281430.37327200,0
1609804800000,1.36300000,1.57000000,1.31800000,1.48100000,458603.13700000,1609891199999,646249.41305600,5974,222153.82100000,313912.31541300,0
1609891200000,1.48100000,1.64100000,1.35000000,1.50700000,982015.19700000,1609977599999,1470115.27097100,11921,523219.91200000,784157.13866400,0
1609977600000,1.50600000,1.52100000,1.33600000,1.40100000,815984.94500000,1610063999999,1177872.29713600,10570,417229.57300000,602783.95962500,0
1610064000000,1.40200000,1.45300000,1.27800000,1.43000000,617093.05900000,1610150399999,853201.84617600,7353,288292.80100000,399613.64352600,0
1610150400000,1.43100000,1.62800000,1.40400000,1.53600000,981837.50300000,1610236799999,1506101.46165200,11604,522551.85100000,802349.09321200,0
1610236800000,1.53300000,1.62000000,1.32800000,1.45600000,1044925.76800000,1610323199999,1536036.59976400,12353,524951.65200000,771657.80195300,0
1610323200000,1.45900000,1.45900000,1.18100000,1.26800000,953464.97700000,1610409599999,1249305.28527400,9545,459016.08700000,599777.15666000,0
1610409600000,1.26500000,1.39800000,1.23100000,1.30700000,533573.11800000,1610495999999,707453.11485800,6134,270569.20100000,359321.06366500,0
1610496000000,1.32000000,1.44000000,1.26100000,1.41300000,414266.43000000,1610582399999,557895.93767900,5649,217740.85700000,294192.72891300,0
1610582400000,1.41500000,1.44900000,1.33600000,1.43700000,379986.65300000,1610668799999,530554.12454500,4762,206440.21800000,289058.94189900,0
1610668800000,1.44000000,1.60400000,1.38500000,1.55800000,1061485.80600000,1610755199999,1596823.83593600,11788,544365.44300000,819846.01818600,0
1610755200000,1.56400000,1.78000000,1.50800000,1.53400000,1489608.08900000,1610841599999,2483171.60607900,16585,658623.64400000,1096580.01642700,0
1610841600000,1.53600000,1.78000000,1.38500000,1.72900000,1996189.35200000,1610927999999,3168912.70879100,24015,1004939.31600000,1587331.17074700,0
1610928000000,1.72900000,1.84700000,1.63000000,1.72800000,1055865.11900000,1611014399999,1837946.20697000,14712,536536.81000000,935886.92775000,0
1611014400000,1.73000000,1.98000000,1.67500000,1.82300000,1366605.88000000,1611100799999,2538819.10451700,20924,711601.79500000,1317644.77000500,0
1611100800000,1.83000000,1.93000000,1.60400000,1.75100000,1007583.93500000,1611187199999,1751768.65827300,13112,467414.66600000,812616.39657300,0
1611187200000,1.75800000,1.76400000,1.45000000,1.46900000,1035500.21200000,1611273599999,1653177.51725000,13922,514789.50500000,824363.13596600,0
1611273600000,1.46900000,1.70000000,1.39400000,1.61100000,1038598.42700000,1611359999999,1614599.13013200,13305,469926.74200000,730008.34059400,0
1611360000000,1.61200000,1.83600000,1.59800000,1.82500000,1256640.18500000,1611446399999,2213242.69495100,16446,670726.64500000,1182852.08408700,0
1611446400000,1.82500000,1.83800000,1.65700000,1.77700000,804428.41100000,1611532799999,1415105.34237400,13395,419608.74700000,739196.67841200,0
1611532800000,1.77700000,2.22200000,1.77000000,2.10000000,3286416.31500000,1611619199999,6805957.12209500,39106,1814834.38800000,3770780.45911100,0
1611619200000,2.09700000,2.29800000,1.83900000,2.03800000,2148590.90000000,1611705599999,4430476.33618100,27795,1146272.58100000,2365741.53351400,0
1611705600000,2.03500000,2.15300000,1.83300000,2.07500000,1398068.65800000,1611791999999,2785992.65750400,23428,689788.40000000,1374599.60131300,0
1611792000000,2.07500000,2.61000000,2.02900000,2.48800000,2565424.29800000,1611878399999,6073020.28604900,40547,1285942.77500000,3037419.64064700,0
1611878400000,2.48200000,2.50700000,2.03200000,2.31100000,1521351.39400000,1611964799999,3395404.79005000,27419,734769.76100000,1638161.39930000,0
1611964800000,2.31100000,2.38800000,2.15900000,2.34300000,840339.60300000,1612051199999,1894644.09438000,18873,397791.92900000,898107.00122500,0
1612051200000,2.34400000,2.61000000,2.21600000,2.26300000,1266605.87400000,1612137599999,3039167.60734400,29857,609297.49200000,1464547.37898700,0
1612137600000,2.26300000,2.60400000,2.16000000,2.36900000,1161419.03900000,1612223999999,2796445.60910700,28167,616007.30500000,1482976.15828200,0
1612224000000,2.36700000,2.48600000,2.29100000,2.36300000,586271.33400000,1612310399999,1396129.98178700,16568,301674.30400000,720271.77955200,0
1612310400000,2.36300000,2.74700000,2.33300000,2.63900000,865689.09600000,1612396799999,2217933.24280300,28633,454511.37800000,1162448.82417600,0
