otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609459200000,0.00058650,0.00067090,0.00058010,0.00061550,2778198255.00000000,1609545599999,1731611.77712790,9800,1581640425.00000000,986133.54154390,0
1609545600000,0.00061550,0.00087230,0.00060550,0.00080320,10962609923.00000000,1609631999999,8256672.60101760,34353,6289568666.00000000,4760722.56811870,0
1609632000000,0.00080300,0.00098950,0.00072950,0.00075080,14478955754.00000000,1609718399999,12148352.16224160,50853,7385101363.00000000,6232191.99980000,0
1609718400000,0.00075540,0.00078890,0.00068530,0.00073220,4481568198.00000000,1609804799999,3323509.82873460,19153,2191199482.00000000,1630968.71026060,0
1609804800000,0.00073230,0.00077630,0.00070590,0.00073930,2871167052.00000000,1609891199999,2103860.38796750,13479,1409251169.00000000,1034262.96923690,0
1609891200000,0.00074000,0.00078560,0.00071600,0.00076500,3267165161.00000000,1609977599999,2463724.18187120,14598,1585804986.00000000,1198659.55792020,0
1609977600000,0.00076490,0.00081580,0.00075000,0.00079920,4478109678.00000000,1610063999999,3535638.14609210,17513,2184113084.00000000,1728117.07526380,0
1610064000000,0.00079980,0.00084890,0.00075010,0.00081470,3775547220.00000000,1610150399999,3048480.44245550,18308,1881590251.00000000,1523114.16896620,0
1610150400000,0.00081760,0.00107000,0.00080030,0.00100650,10979118798.00000000,1610236799999,10591155.06078850,45531,6047149575.00000000,5858462.51593800,0
1610236800000,0.00100600,0.00113000,0.00088430,0.00097350,6685929162.00000000,1610323199999,6840075.84903160,32982,3491221122.00000000,3583457.78880680,0
1610323200000,0.00097360,0.00097920,0.00078060,0.00088770,4707069536.00000000,1610409599999,4089992.99711490,22941,2209204159.00000000,1917032.08291210,0
1610409600000,0.00088780,0.00093380,0.00081560,0.00083870,2778459191.00000000,1610495999999,2426331.49675490,15232,1316907682.00000000,1151191.22174370,0
1610496000000,0.00084150,0.00086440,0.00068820,0.00080840,13738412268.00000000,1610582399999,10489662.09508880,40106,6941953311.00000000,5306183.93410890,0
1610582400000,0.00080850,0.00081800,0.00073870,0.00077470,6973225856.00000000,1610668799999,5458671.66977890,22466,3527383495.00000000,2764839.78797670,0
1610668800000,0.00077470,0.00077500,0.00067150,0.00072040,5023716986.00000000,1610755199999,3692731.80313270,18268,2227693630.00000000,1638851.51966850,0
1610755200000,0.00072050,0.00076800,0.00069630,0.00071550,4083420471.00000000,1610841599999,2988767.67580460,17415,1947489908.00000000,1428972.81785090,0
1610841600000,0.00071500,0.00073820,0.00067000,0.00070620,3897439768.00000000,1610927999999,2733978.02798670,16518,1896986693.00000000,1332527.41802120,0
1610928000000,0.00070510,0.00073000,0.00068670,0.00072880,2645943655.00000000,1611014399999,1882177.11253170,12584,1239166052.00000000,883482.47132760,0
1611014400000,0.00072540,0.00074010,0.00069630,0.00070360,2868828090.00000000,1611100799999,2063383.54072870,13966,1330316610.00000000,959526.08949880,0
1611100800000,0.00070130,0.00070740,0.00065400,0.00070180,2718949267.00000000,1611187199999,1856211.20998290,14057,1266490321.00000000,865837.71695890,0
1611187200000,0.00070290,0.00070300,0.00060230,0.00060250,2589878981.00000000,1611273599999,1680701.28253010,12283,1127930433.00000000,732231.09524210,0
1611273600000,0.00060330,0.00067000,0.00058500,0.00064500,2538148309.00000000,1611359999999,1611713.54969610,12604,1235651791.00000000,785846.64379090,0
1611360000000,0.00064600,0.00071530,0.00063000,0.00069170,2702728313.00000000,1611446399999,1830448.99713270,13482,1430369064.00000000,971370.00925030,0
1611446400000,0.00069170,0.00071980,0.00064920,0.00069260,2088845328.00000000,1611532799999,1436166.73894220,12333,1066503904.00000000,734827.80751840,0
1611532800000,0.00069260,0.00069870,0.00065300,0.00066180,1948655027.00000000,1611619199999,1329450.17609160,10329,854320100.00000000,583804.27216290,0
1611619200000,0.00066190,0.00067420,0.00064010,0.00067100,1462064574.00000000,1611705599999,964264.68442740,8143,716243202.00000000,473073.74976500,0
1611705600000,0.00067160,0.00067400,0.00061000,0.00062550,1515001165.00000000,1611791999999,963069.88631570,7972,642758451.00000000,407965.72867480,0
1611792000000,0.00062540,0.00082880,0.00061640,0.00074980,10719680019.00000000,1611878399999,7908439.15992970,32919,5778383193.00000000,4257977.73804460,0
1611878400000,0.00075020,0.00103900,0.00070110,0.00080710,19366868571.00000000,1611964799999,16240041.51981770,64005,9922309216.00000000,8380393.95714830,0
1611964800000,0.00080710,0.00091770,0.00075010,0.00077720,9366714392.00000000,1612051199999,7679120.98730990,40055,4519388086.00000000,3716070.51615850,0
1612051200000,0.00077720,0.00079420,0.00074010,0.00075280,3932289339.00000000,1612137599999,3007116.32311620,18688,1846995818.00000000,1413683.03310580,0
1612137600000,0.00075220,0.00078390,0.00073080,0.00075570,3974123679.00000000,1612223999999,2998219.19349270,16144,1854885033.00000000,1402113.64674210,0
1612224000000,0.00075660,0.00085630,0.00073900,0.00079340,6383699123.00000000,1612310399999,4997048.32947030,25408,3215536714.00000000,2521377.92981180,0
1612310400000,0.00079320,0.00084360,0.00077950,0.00080640,6893838889.00000000,1612396799999,5535479.53657060,28846,3316092976.00000000,2664835.14948550,0
1612396800000,0.00080610,0.00082160,0.00076870,0.00078100,4861452447.00000000,1612483199999,3843707.10576950,22261,2283548071.00000000,1806980.72108770,0
1612483200000,0.00078130,0.00083000,0.00077790,0.00082010,5485592455.00000000,1612569599999,4447708.66533590,25766,2854940429.00000000,2314867.66497010,0
1612569600000,0.00082020,0.00082900,0.00078120,0.00079170,4080927393.00000000,1612655999999,3277962.78544820,21486,1931889568.00000000,1552843.97555120,0
1612656000000,0.00079120,0.00082790,0.00076930,0.00080000,4957762788.00000000,1612742399999,3948638.57777340,27851,2446304648.00000000,1952923.00840240,0
1612742400000,0.00080000,0.00136160,0.00078170,0.00112800,41131375759.00000000,1612828799999,43736956.72533940,128949,22149393109.00000000,23601369.52112640,0
1612828800000,0.00112800,0.00150000,0.00105000,0.00119600,29945537295.00000000,1612915199999,38084443.31085240,136522,15628985919.00000000,19934400.47615210,0
1612915200000,0.00119600,0.00127290,0.00102000,0.00112390,12052871676.00000000,1613001599999,13763634.10162880,60157,5872701589.00000000,6721942.21562950,0
1613001600000,0.00112020,0.00145000,0.00109200,0.00129200,14556626887.00000000,1613087999999,18734444.73427080,85526,7549750656.00000000,9736007.85705700,0
1613088000000,0.00129200,0.00159680,0.00121360,0.00140560,15661891213.00000000,1613174399999,21548883.22701600,89077,8300839106.00000000,11428896.44847560,0
1613174400000,0.00140420,0.00146500,0.00125500,0.00139340,8518614771.00000000,1613260799999,11863999.22153130,64268,4302001887.00000000,6004129.82289710,0
1613260800000,0.00139380,0.00141680,0.00122790,0.00128040,5211739887.00000000,1613347199999,6952375.38696150,44400,2563365508.00000000,3424553.60536620,0
1613347200000,0.00128280,0.00142000,0.00112500,0.00129610,6131700594.00000000,1613433599999,7834371.69382370,48580,3113295751.00000000,3991285.08715370,0
1613433600000,0.00129640,0.00137490,0.00123680,0.00129160,5814929186.00000000,1613519999999,7581067.34278650,40802,2874730033.00000000,3749308.79768810,0
1613520000000,0.00128880,0.00158870,0.00123500,0.00154630,18464828158.00000000,1613606399999,27090620.80636470,90764,10081129188.00000000,14841343.00544900,0
1613606400000,0.00154230,0.00157000,0.00141500,0.00149870,9649479124.00000000,1613692799999,14445644.38634140,69599,4916693618.00000000,7367418.76952950,0
1613692800000,0.00149340,0.00207730,0.00146000,0.00184650,16969496950.00000000,1613779199999,30115186.23950310,122601,9481995090.00000000,16867278.52877520,0
1613779200000,0.00185350,0.00268000,0.00175330,0.00227730,32684339920.00000000,1613865599999,74846247.17147780,235026,17687535658.00000000,40692274.23270910,0
1613865600000,0.00227400,0.00424000,0.00212920,0.00378000,60405107052.00000000,1613951999999,195220822.68002820,422864,32620580702.00000000,105665853.17365480,0
1613952000000,0.00378020,0.00380000,0.00251110,0.00343320,28117073636.00000000,1614038399999,94051818.41293860,267465,14388179263.00000000,48250630.09738800,0
1614038400000,0.00342510,0.00349780,0.00210460,0.00301860,23133921122.00000000,1614124799999,67976369.30723680,182389,11555989071.00000000,34067769.66724680,0
1614124800000,0.00301290,0.00363000,0.00280000,0.00313330,13049897406.00000000,1614211199999,42401091.53562550,141866,6758399645.00000000,21980761.88458320,0
1614211200000,0.00314650,0.00334500,0.00292320,0.00296790,7965825451.00000000,1614297599999,25207037.97687900,96203,4047102817.00000000,12835648.03401580,0
1614297600000,0.00296850,0.00304910,0.00262150,0.00281180,7641668531.00000000,1614383999999,21917261.81216100,85634,3852069666.00000000,11062905.59600800,0
1614384000000,0.00281170,0.00297580,0.00255000,0.00264220,5833726935.00000000,1614470399999,16218410.35390560,72677,2836432554.00000000,7891846.54590820,0
1614470400000,0.00264710,0.00265990,0.00217500,0.00242560,8490470959.00000000,1614556799999,20402167.01211890,81177,4342723510.00000000,10444679.71651760,0
1614556800000,0.00243730,0.00299990,0.00242580,0.00280700,8795059543.00000000,1614643199999,24664468.99298800,106705,4733463962.00000000,13281678.22640850,0
1614643200000,0.00281370,0.00284850,0.00252140,0.00267480,5182574724.00000000,1614729599999,13985270.75704020,66372,2624589378.00000000,7079093.28400680,0
1614729600000,0.00267490,0.00295000,0.00261900,0.00268570,5360253497.00000000,1614815999999,14818060.25561350,70697,2784351758.00000000,7708126.52544190,0
1614816000000,0.00268590,0.00274850,0.00227500,0.00249180,5459360499.00000000,1614902399999,13997471.67251520,65111,2699586815.00000000,6932273.65073820,0
1614902400000,0.00249180,0.00350000,0.00235000,0.00302740,19951213563.00000000,1614988799999,60395914.60797260,179585,10661753666.00000000,32288530.62901720,0
1614988800000,0.00302740,0.00329580,0.00287810,0.00298550,10724927455.00000000,1615075199999,32677885.95666430,120873,5559017905.00000000,16963376.87161530,0
1615075200000,0.00298510,0.00328000,0.00291920,0.00303840,6916670190.00000000,1615161599999,21226975.06795390,81344,3531917874.00000000,10861341.69288960,0
1615161600000,0.00303340,0.00316000,0.00292610,0.00300730,5946729148.00000000,1615247999999,17913495.38077350,74365,2964447038.00000000,8939879.33020730,0
1615248000000,0.00300050,0.00349990,0.00297020,0.00313710,11075246017.00000000,1615334399999,34777972.32761760,136404,5697802998.00000000,17909606.49576390,0
1615334400000,0.00312990,0.00336930,0.00298680,0.00309580,11984997260.00000000,1615420799999,38233096.75881340,154555,6416765265.00000000,20498047.66495280,0
1615420800000,0.00309040,0.00328280,0.00300910,0.00314030,6190583496.00000000,1615507199999,19383093.00092860,92687,3286079591.00000000,10298165.26716990,0
1615507200000,0.00314270,0.00321460,0.00278460,0.00296250,6570855010.00000000,1615593599999,19959225.34729700,95068,3157704627.00000000,9590083.08973980,0
1615593600000,0.00295970,0.00565560,0.00286570,0.00461900,60429209352.00000000,1615679999999,272346764.44529690,613072,32342593004.00000000,145658171.07911170,0
1615680000000,0.00462790,0.00870000,0.00440860,0.00727370,79976332633.00000000,1615766399999,506710791.49434470,950826,42311513435.00000000,268548407.50342310,0
1615766400000,0.00730690,0.00953840,0.00682130,0.00708000,65673289044.00000000,1615852799999,548127076.27908040,958431,34194235730.00000000,286742316.55952390,0
1615852800000,0.00710820,0.00793390,0.00566030,0.00684160,36039356359.00000000,1615939199999,243722834.64874490,512923,18203432863.00000000,123517176.94955270,0
1615939200000,0.00683590,0.00850000,0.00646200,0.00716760,26462909379.00000000,1616025599999,195413852.35115780,448161,13747212388.00000000,101692692.20528710,0
1616025600000,0.00715130,0.00766270,0.00694120,0.00713230,12679113922.00000000,1616111999999,91567631.16172090,238275,6381451837.00000000,46123579.80701290,0
1616112000000,0.00714080,0.00886180,0.00700000,0.00815000,26583226998.00000000,1616198399999,212923469.18733040,415974,13519506746.00000000,108371687.97763400,0
1616198400000,0.00815990,0.00911110,0.00769180,0.00771780,19504758055.00000000,1616284799999,164070599.83091030,356217,9953092986.00000000,83935656.92566100,0
1616284800000,0.00771990,0.00843590,0.00741620,0.00800670,13493205448.00000000,1616371199999,107186909.53780320,245805,6911852730.00000000,54941357.20040590,0
1616371200000,0.00799200,0.00822270,0.00697500,0.00742000,10149565177.00000000,1616457599999,78712436.58193440,221361,5157583444.00000000,40029799.65132090,0
1616457600000,0.00742000,0.00865000,0.00681000,0.00763740,12687695378.00000000,1616543999999,96102630.51088920,255088,6513093500.00000000,49431074.83111250,0
1616544000000,0.00763780,0.00840000,0.00705000,0.00723110,13220233533.00000000,1616630399999,102595072.89563950,270856,6596464343.00000000,51233148.95071740,0
1616630400000,0.00724620,0.00850000,0.00675040,0.00777370,15788525050.00000000,1616716799999,121450569.96465270,291619,8125281339.00000000,62611557.18656110,0
1616716800000,0.00777460,0.01137050,0.00766660,0.01040990,35897944935.00000000,1616803199999,331170935.31056600,600138,19078443714.00000000,176474753.26102000,0
1616803200000,0.01040990,0.01155000,0.00965000,0.00999460,31541473439.00000000,1616889599999,327026792.84481630,611182,15950102125.00000000,165564444.67493720,0
1616889600000,0.00999400,0.01067500,0.00975000,0.01018720,12628604955.00000000,1616975999999,127528983.54424340,306257,6455987925.00000000,65244162.02778220,0
1616976000000,0.01018790,0.01345000,0.01003000,0.01299990,35484346456.00000000,1617062399999,427154849.73366490,741035,18566246998.00000000,223543961.86889580,0
1617062400000,0.01300840,0.02062260,0.01249050,0.01812740,63723594344.00000000,1617148799999,1077276784.68818310,1853721,33123707876.00000000,560019597.00921020,0
1617148800000,0.01812810,0.01949900,0.01511120,0.01675180,32231943311.00000000,1617235199999,554167498.53748760,1094854,16159581946.00000000,278071607.98910480,0
1617235200000,0.01675180,0.01836970,0.01650000,0.01735320,15475951097.00000000,1617321599999,269322360.56955640,523929,7896772376.00000000,137498280.58457070,0
1617321600000,0.01735320,0.02440000,0.01706250,0.02425490,36532487551.00000000,1617407999999,762011880.19752340,1270205,18984148171.00000000,396452912.34340270,0
1617408000000,0.02425500,0.02800000,0.02156200,0.02307320,44172024724.00000000,1617494399999,1096195699.02965410,1799060,22207361252.00000000,551751822.22534180,0
1617494400000,0.02310180,0.02981000,0.02239050,0.02724430,38522651697.00000000,1617580799999,1038746067.78501610,1588238,19415279622.00000000,523931334.98445610,0
1617580800000,0.02722950,0.03160000,0.02544150,0.02859970,29770407201.00000000,1617667199999,848277881.73008510,1363844,15040044068.00000000,428800112.24011080,0
1617667200000,0.02859970,0.02876140,0.01915550,0.02273510,36670927247.00000000,1617753599999,882896631.42510330,1539192,18366070069.00000000,442222068.31476490,0
1617753600000,0.02273500,0.02384810,0.01920000,0.02046950,28585644946.00000000,1617839999999,613669185.57586860,1177120,14493525014.00000000,311239038.71704610,0
1617840000000,0.02047010,0.02470000,0.02031140,0.02310610,16808459633.00000000,1617926399999,383791934.03931880,755977,8484292324.00000000,193843496.15961720,0
1617926400000,0.02313420,0.02370000,0.02042220,0.02093990,9916452819.00000000,1618012799999,219386120.88172390,445163,4981894997.00000000,110304398.20430410,0
1618012800000,0.02093960,0.02170600,0.01772600,0.01913410,22063445219.00000000,1618099199999,437728985.94289270,890880,10870588412.00000000,215911225.75191100,0
1618099200000,0.01913420,0.02260000,0.01728680,0.01974570,28104002876.00000000,1618185599999,552817360.20704690,1087123,14062767808.00000000,276887684.53241950,0
1618185600000,0.01974570,0.02196500,0.01866970,0.01879870,14035959456.00000000,1618271999999,283235032.09007600,590178,7097059597.00000000,143381595.38736190,0
1618272000000,0.01879870,0.01985000,0.01828530,0.01872080,11048458595.00000000,1618358399999,208968041.97354130,449111,5612657988.00000000,106177682.08221510,0
1618358400000,0.01871510,0.01903390,0.01622170,0.01757000,12094141823.00000000,1618444799999,215175724.56272990,542402,6087654862.00000000,108392117.82797150,0
1618444800000,0.01757010,0.02140710,0.01717590,0.01856140,21964859419.00000000,1618531199999,431944480.04196520,919421,11174392905.00000000,219836821.72633250,0
1618531200000,0.01857700,0.02067600,0.01700000,0.01902090,19991502894.00000000,1618617599999,373126883.51155250,799153,10227748205.00000000,191016674.38232020,0
1618617600000,0.01900300,0.02160620,0.01853270,0.01887090,20437039239.00000000,1618703999999,405911939.65401170,818854,10477373377.00000000,208212849.24338870,0
1618704000000,0.01882590,0.01910000,0.01350110,0.01706080,13384929859.00000000,1618790399999,226278779.83117940,614151,6486788726.00000000,109829820.05452600,0
1618790400000,0.01706000,0.01849450,0.01550540,0.01578140,10882681909.00000000,1618876799999,184427881.26432720,412887,5543310403.00000000,94043683.71696440,0
1618876800000,0.01576880,0.01795790,0.01380000,0.01607580,14192691086.00000000,1618963199999,226854529.35916140,492229,7178711201.00000000,114883901.42456070,0
1618963200000,0.01607440,0.01709590,0.01471220,0.01490000,8281340189.00000000,1619049599999,132369534.18530260,296108,4167486704.00000000,66635833.82945010,0
1619049600000,0.01490000,0.01547750,0.01156230,0.01272120,13939113536.00000000,1619135999999,196735138.59922600,382813,6966412791.00000000,98460891.09736540,0
1619136000000,0.01270730,0.01380000,0.00880000,0.01280010,30656502858.00000000,1619222399999,353954209.46897180,696545,15551468085.00000000,179770830.31053910,0
1619222400000,0.01280040,0.01540000,0.01172670,0.01209970,26485249141.00000000,1619308799999,351869190.83580570,609885,13367256275.00000000,177772679.67830080,0
1619308800000,0.01209970,0.01314840,0.01051200,0.01174800,11312795332.00000000,1619395199999,135855530.81463010,308068,5716036354.00000000,68708115.76447030,0
1619395200000,0.01174900,0.01440000,0.01158300,0.01405500,17619714050.00000000,1619481599999,234259642.24710350,498835,9050693419.00000000,120364903.01711650,0
1619481600000,0.01405400,0.01767700,0.01352100,0.01647300,25149930141.00000000,1619567999999,407785887.43971640,821417,12948950876.00000000,209791271.73718740,0
1619568000000,0.01647700,0.01736000,0.01427500,0.01584300,18077859179.00000000,1619654399999,285015946.73339200,604510,9014775507.00000000,142178891.12538200,0
1619654400000,0.01585200,0.01642900,0.01476000,0.01537500,8746368455.00000000,1619740799999,136445841.51475600,297592,4417390479.00000000,68954475.81021700,0
1619740800000,0.01538500,0.01632700,0.01506000,0.01607100,8256593993.00000000,1619827199999,130173332.76764500,302894,4216276424.00000000,66485890.94261800,0
1619827200000,0.01607200,0.01699200,0.01557400,0.01619700,8774410043.00000000,1619913599999,142704427.39033000,342640,4436427234.00000000,72189331.15227500,0
1619913600000,0.01619800,0.01627900,0.01487600,0.01552800,6105633237.00000000,1619999999999,95249023.14091600,231521,2992569718.00000000,46703013.82233500,0
1620000000000,0.01552700,0.01622500,0.01450000,0.01529000,7914874541.00000000,1620086399999,123800195.43414100,338302,4022552952.00000000,62996685.66456600,0
1620086400000,0.01529600,0.01531500,0.01311500,0.01352500,11062626526.00000000,1620172799999,156831609.47597100,398278,5564329559.00000000,78924067.99171500,0
1620172800000,0.01352500,0.01619600,0.01337100,0.01477500,12621011661.00000000,1620259199999,188030005.75371000,445263,6503441004.00000000,96944904.91340900,0
1620259200000,0.01477500,0.01576600,0.01425500,0.01498200,10668815222.00000000,1620345599999,159822661.83350900,355776,5473498689.00000000,82020979.65425800,0
1620345600000,0.01498500,0.01684000,0.01454900,0.01523300,16165191491.00000000,1620431999999,252435860.29335200,555186,8147552641.00000000,127292024.45248900,0
1620432000000,0.01522200,0.01600000,0.01461000,0.01477000,6823508865.00000000,1620518399999,103664348.01604200,241694,3522801562.00000000,53543948.57154200,0
1620518400000,0.01477000,0.01489400,0.01371000,0.01442000,6929675405.00000000,1620604799999,99314035.44702900,271974,3520510544.00000000,50458777.48761200,0
1620604800000,0.01442000,0.01488600,0.01114700,0.01267200,9775969260.00000000,1620691199999,130937842.58357400,344225,4826660397.00000000,64821961.98458400,0
1620691200000,0.01267300,0.01350000,0.01214300,0.01303000,6622600035.00000000,1620777599999,85018260.06681900,222042,3412061560.00000000,43815022.48450000,0
1620777600000,0.01303000,0.01353000,0.01051600,0.01055900,7263619991.00000000,1620863999999,89301749.45008100,229178,3672032287.00000000,45223685.05851700,0
1620864000000,0.01056100,0.01195000,0.01000100,0.01125000,9222464546.00000000,1620950399999,101843844.56473920,263782,4647565091.00000000,51378072.25796200,0
1620950400000,0.01124700,0.01250000,0.01107900,0.01184700,6699215666.00000000,1621036799999,78860757.29980200,220037,3454791713.00000000,40683590.63631300,0
1621036800000,0.01184500,0.01195300,0.01070000,0.01084900,4449377676.00000000,1621123199999,50099053.23418100,150315,2220696359.00000000,25005057.12229600,0
1621123200000,0.01085000,0.01298200,0.01065600,0.01163900,11274441223.00000000,1621209599999,131896585.47781500,338417,5819981180.00000000,68064218.88019500,0
1621209600000,0.01164900,0.01215000,0.01060000,0.01099900,7434333320.00000000,1621295999999,83738468.69545700,234058,3747139257.00000000,42250672.99691500,0
1621296000000,0.01099900,0.01159400,0.01076000,0.01103400,4717871776.00000000,1621382399999,52554784.38856800,137391,2414537693.00000000,26901916.40493400,0
1621382400000,0.01103400,0.01122900,0.00471400,0.00718700,15723709950.00000000,1621468799999,130656405.96608850,386907,7709151238.00000000,64180299.34332350,0
1621468800000,0.00718400,0.00965800,0.00642000,0.00851300,10078500551.00000000,1621555199999,83510261.21649900,245739,5180882926.00000000,43032465.47798700,0
1621555200000,0.00849800,0.00908700,0.00645000,0.00761400,9552414947.00000000,1621641599999,75461615.12189400,203727,4787265332.00000000,37863920.88754900,0
1621641600000,0.00762400,0.00774500,0.00681900,0.00705100,7173873677.00000000,1621727999999,51984022.73756300,151172,3681210683.00000000,26670376.91236300,0
1621728000000,0.00705500,0.00733000,0.00498700,0.00601000,9360120790.00000000,1621814399999,56658866.93601000,169668,4796531881.00000000,29036994.64144300,0
1621814400000,0.00602100,0.00774800,0.00587000,0.00767200,8442409920.00000000,1621900799999,58862751.86164200,180371,4424385741.00000000,30848091.24174000,0
1621900800000,0.00766900,0.01045600,0.00724600,0.00932800,18041377561.00000000,1621987199999,158173607.39762300,454345,9181245842.00000000,80538542.78691800,0
