otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609718400000,0.48680000,0.71950000,0.45000000,0.63420000,153611010.94000000,1610323199999,90097964.58233600,467539,76666245.29000000,44980193.58434200,0
1610323200000,0.63440000,0.72630000,0.52380000,0.66250000,129317974.07000000,1610927999999,79571245.06071700,387725,63942146.69000000,39475219.23395700,0
1610928000000,0.66330000,0.88980000,0.63200000,0.75980000,156300468.97000000,1611532799999,115599631.43100300,493949,77398367.76000000,57297815.32035000,0
1611532800000,0.76070000,0.93990000,0.69880000,0.72020000,147656482.89000000,1612137599999,121895060.31253000,493199,71296245.94000000,59000985.49469400,0
1612137600000,0.71970000,0.92100000,0.68630000,0.82490000,123202731.79000000,1612742399999,98326478.56544400,396861,61306614.92000000,49009220.67464400,0
1612742400000,0.82490000,1.71000000,0.79680000,1.46520000,257315808.61000000,1613347199999,316040334.13466800,933875,127465910.41000000,156691384.49366200,0
1613347200000,1.46780000,2.47990000,1.18430000,2.04160000,219094532.13000000,1613951999999,419351462.70931800,1003970,110444712.74000000,211254021.80700900,0
1613952000000,2.03920000,2.04990000,1.15400000,1.39190000,200260292.12000000,1614556799999,318883932.77931900,746772,99271779.26000000,157902387.33286100,0
1614556800000,1.39580000,2.33080000,1.38320000,1.95800000,129190149.80000000,1615161599999,235964629.41550000,586043,64606629.94000000,118033570.34662700,0
1615161600000,1.95630000,2.13000000,1.69420000,1.73880000,80023873.72000000,1615766399999,149429920.62373600,461175,39655569.97000000,74083154.36443900,0
1615766400000,1.73880000,2.14690000,1.60010000,1.93700000,113892863.58000000,1616371199999,218973152.52530300,618906,55288828.79000000,106308823.15881900,0
1616371200000,1.93470000,2.67140000,1.70000000,2.33990000,113424521.23000000,1616975999999,239055647.84342700,711881,57825326.23000000,122151765.91847200,0
1616976000000,2.34000000,3.20000000,2.23970000,2.61050000,117125889.67000000,1617580799999,318548936.28985000,930695,59319202.29000000,161556401.77420100,0
1617580800000,2.61050000,2.77350000,2.20000000,2.57830000,83859774.03000000,1618185599999,210127996.42823800,600169,40822644.81000000,102433099.82826000,0
1618185600000,2.57810000,2.97000000,1.85000000,2.35400000,105601056.02000000,1618790399999,272117614.13984800,814130,53028718.59000000,136927378.69428200,0
1618790400000,2.35450000,2.44060000,1.52280000,1.73320000,107847389.98000000,1619395199999,212378531.85288100,567291,53980755.24000000,106404934.33950800,0
1619395200000,1.73320000,2.79460000,1.69060000,2.50850000,98723402.07000000,1619999999999,227231456.69664200,616335,51205820.32000000,118047586.06759800,0
1620000000000,2.50800000,3.09590000,2.13000000,2.64220000,121246233.60000000,1620604799999,315272354.75916100,849263,60941864.52000000,158859823.96998200,0
