otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609459200000,4.05540000,4.20000000,3.90280000,4.08170000,645572.41000000,1609545599999,2637782.89124100,15218,311408.80000000,1274107.36833500,0
1609545600000,4.09970000,4.10190000,3.52890000,3.60830000,1191655.36000000,1609631999999,4503000.10541400,25547,544910.41000000,2058965.82966000,0
1609632000000,3.60060000,4.52060000,3.52890000,4.42940000,1864950.01000000,1609718399999,7613785.49101800,37146,1013190.44000000,4142824.36133300,0
1609718400000,4.42940000,4.75000000,3.85520000,4.35000000,1430997.32000000,1609804799999,6306626.66727500,33421,719786.25000000,3183934.42798400,0
1609804800000,4.35000000,4.86800000,4.28670000,4.57000000,1251209.96000000,1609891199999,5794391.69522100,31605,602066.11000000,2797892.79940700,0
1609891200000,4.57760000,4.91390000,4.38460000,4.58860000,1224548.03000000,1609977599999,5625579.37907400,31843,636403.59000000,2939034.02289300,0
1609977600000,4.59110000,4.82270000,4.04810000,4.65970000,1383734.46000000,1610063999999,6281749.86449300,37515,699049.31000000,3186250.73449900,0
1610064000000,4.66210000,4.97000000,4.42150000,4.65710000,976763.42000000,1610150399999,4611691.21555000,24369,498361.86000000,2358927.66802000,0
1610150400000,4.65710000,4.86000000,4.47000000,4.74200000,478211.17000000,1610236799999,2242163.09626800,14124,236283.53000000,1109876.71944600,0
1610236800000,4.74590000,4.88000000,4.30270000,4.40750000,718039.78000000,1610323199999,3277296.03752100,14578,368188.74000000,1668853.12072900,0
1610323200000,4.41070000,4.43030000,3.75000000,4.41900000,1024082.41000000,1610409599999,4190241.50639800,19827,463083.64000000,1904707.27325700,0
1610409600000,4.43030000,5.03400000,4.27100000,4.88390000,1096350.05000000,1610495999999,5116958.18377000,22248,583873.93000000,2733228.44928500,0
1610496000000,4.88390000,5.85300000,4.84980000,5.49220000,3233387.56000000,1610582399999,17509734.89867500,58480,1655065.74000000,8985239.16282000,0
1610582400000,5.49220000,6.95000000,5.47120000,6.74000000,1923595.29000000,1610668799999,12151405.97177500,46607,1102597.81000000,6959706.04610300,0
1610668800000,6.74900000,6.75050000,5.20740000,6.41470000,1357848.22000000,1610755199999,8218673.31497400,31593,628214.76000000,3815105.61934800,0
1610755200000,6.42370000,6.62670000,6.01540000,6.20970000,825260.23000000,1610841599999,5235495.48415200,21312,416415.03000000,2641366.86722100,0
1610841600000,6.20150000,6.45830000,5.85000000,6.17860000,604324.40000000,1610927999999,3709544.64507100,16325,256422.31000000,1573404.51610600,0
1610928000000,6.17890000,7.52000000,6.14140000,7.22560000,1282159.79000000,1611014399999,8809580.61516100,34184,697229.52000000,4795156.50618000,0
1611014400000,7.23890000,11.20000000,6.95000000,8.64830000,5101759.41000000,1611100799999,46742634.48160200,135696,2709142.76000000,24808184.86678500,0
1611100800000,8.65000000,9.30000000,7.76120000,8.51270000,1599171.60000000,1611187199999,13545907.72591000,47824,779230.30000000,6615062.00072300,0
1611187200000,8.49720000,8.51470000,7.01000000,7.04370000,1291033.06000000,1611273599999,9869833.14167700,33931,602155.34000000,4619379.66488100,0
1611273600000,7.01120000,9.45000000,6.63000000,8.84270000,1788933.77000000,1611359999999,14842892.51530600,49114,868116.51000000,7233462.51964700,0
1611360000000,8.84190000,9.30000000,8.36750000,8.42090000,833254.36000000,1611446399999,7302840.84197600,30055,410029.93000000,3604720.64630700,0
1611446400000,8.43910000,9.20000000,8.09630000,8.79200000,712997.02000000,1611532799999,6202705.50778400,26399,353413.18000000,3083505.06374200,0
1611532800000,8.79300000,9.30000000,8.02190000,8.42350000,872246.43000000,1611619199999,7595844.52903600,31343,405819.50000000,3537276.94361900,0
1611619200000,8.44720000,8.95410000,7.50000000,8.32830000,1113981.04000000,1611705599999,9182912.89506800,34556,579798.52000000,4795149.00914200,0
1611705600000,8.31970000,8.43340000,7.18020000,7.46060000,987591.53000000,1611791999999,7681750.04021600,30820,454700.84000000,3535530.70613200,0
1611792000000,7.46060000,8.75900000,7.22210000,8.29840000,1001033.17000000,1611878399999,8142313.36226700,33958,508913.91000000,4142679.83133900,0
1611878400000,8.33310000,8.41250000,7.51630000,8.04500000,1064908.66000000,1611964799999,8328271.79349600,30723,491255.75000000,3850499.38514100,0
1611964800000,8.04500000,9.99000000,7.83070000,9.48780000,2337189.75000000,1612051199999,21498602.07357900,72783,1210604.11000000,11162296.14776500,0
1612051200000,9.46320000,9.73000000,8.05730000,9.50660000,1074816.20000000,1612137599999,9462383.89187200,36586,525788.94000000,4644744.60969800,0
1612137600000,9.50010000,10.79000000,8.80000000,10.40670000,1612127.37000000,1612223999999,15516395.52473700,57892,889040.20000000,8571496.27548500,0
1612224000000,10.40820000,11.99880000,9.85160000,11.50250000,1190497.81000000,1612310399999,12806132.29869100,49386,593422.97000000,6400088.33531200,0
1612310400000,11.51980000,11.94990000,10.92380000,11.33930000,876076.48000000,1612396799999,9968363.27732000,37429,439288.13000000,5006688.10580500,0
1612396800000,11.33630000,13.50000000,11.12150000,12.73870000,1257427.53000000,1612483199999,15731682.16003600,57150,666326.23000000,8340999.32027700,0
1612483200000,12.75170000,13.95000000,11.79000000,12.37250000,1020153.59000000,1612569599999,13221844.82533500,46763,506562.02000000,6587069.99971000,0
1612569600000,12.38000000,12.49960000,10.87630000,11.24990000,1267050.66000000,1612655999999,14774051.52556500,54288,624575.42000000,7287591.32790000,0
1612656000000,11.24980000,11.92000000,9.96000000,11.49510000,793723.45000000,1612742399999,8745107.48398500,35211,377893.60000000,4168838.15370700,0
1612742400000,11.51860000,13.85500000,11.04490000,13.75510000,1200952.18000000,1612828799999,14902635.45017200,51346,643352.36000000,8025361.80703900,0
1612828800000,13.75530000,16.82000000,13.21280000,15.69890000,2517423.72000000,1612915199999,38280041.79607700,95863,1241741.96000000,18878636.94647400,0
1612915200000,15.69430000,16.04160000,13.40000000,14.37540000,1297120.73000000,1613001599999,18984293.82864400,50075,649928.33000000,9531168.71433500,0
1613001600000,14.35850000,15.72000000,13.83960000,15.10810000,849881.68000000,1613087999999,12760096.86419500,36728,437241.61000000,6574319.34434000,0
1613088000000,15.08760000,16.30000000,15.00000000,15.30900000,748503.36000000,1613174399999,11660824.77579000,35921,377392.86000000,5884677.59156100,0
1613174400000,15.34570000,17.35000000,14.72000000,15.69790000,865744.67000000,1613260799999,13607266.16735500,36134,429816.96000000,6800958.45118300,0
1613260800000,15.69770000,16.81050000,14.83760000,14.89710000,788751.35000000,1613347199999,12496038.93397500,35184,401471.00000000,6372660.82050200,0
1613347200000,14.89710000,15.04440000,12.27000000,13.34670000,1016480.44000000,1613433599999,13965235.33239400,43944,513790.65000000,7043906.64656400,0
1613433600000,13.34690000,14.29800000,12.75010000,13.41210000,588893.23000000,1613519999999,7952174.01291800,27779,298589.77000000,4033745.02524800,0
1613520000000,13.42950000,15.19740000,12.35500000,14.23320000,856308.50000000,1613606399999,11833741.49821200,37397,437959.23000000,6053828.62099200,0
1613606400000,14.21770000,15.94800000,14.07220000,15.90520000,881288.67000000,1613692799999,13268575.17173600,44215,477280.47000000,7195550.78051900,0
1613692800000,15.92750000,18.15000000,15.27000000,16.97040000,1154892.85000000,1613779199999,19356793.79600700,54275,608011.51000000,10195945.17854600,0
1613779200000,16.97640000,16.99990000,13.95110000,14.78040000,805852.54000000,1613865599999,12625394.74408000,39773,385337.75000000,6050164.51497000,0
1613865600000,14.80590000,15.49990000,13.87110000,14.35680000,666866.14000000,1613951999999,9806902.68346200,29868,332539.06000000,4897247.84434300,0
1613952000000,14.35320000,16.85000000,11.43200000,15.70610000,1955283.39000000,1614038399999,28698718.61693300,72671,960957.78000000,14180418.73171800,0
1614038400000,15.71830000,15.77530000,11.08060000,13.60830000,1742834.11000000,1614124799999,22812560.08154500,61416,844608.60000000,11062014.11390600,0
1614124800000,13.67790000,15.81310000,12.10000000,14.08470000,1043563.45000000,1614211199999,15014324.05457300,42280,529695.11000000,7630055.25403100,0
1614211200000,14.05050000,14.68120000,12.25000000,12.36000000,665241.67000000,1614297599999,9047194.05294500,26400,334234.92000000,4551418.26121800,0
1614297600000,12.35860000,13.46690000,11.22000000,12.19620000,692982.35000000,1614383999999,8541578.53629900,27591,340037.59000000,4195022.88516600,0
1614384000000,12.21110000,13.11430000,11.76560000,12.34970000,426302.17000000,1614470399999,5335890.38024900,17117,207678.71000000,2597264.12541800,0
1614470400000,12.33850000,12.73050000,10.90000000,12.19800000,593390.19000000,1614556799999,6981256.34425600,22232,295788.29000000,3487192.39554500,0
1614556800000,12.22000000,14.10990000,12.07970000,13.54020000,620020.86000000,1614643199999,8270116.37853700,27791,335833.62000000,4478012.24583700,0
1614643200000,13.53980000,13.88990000,12.48320000,13.10430000,424604.40000000,1614729599999,5651266.73091800,21883,227856.13000000,3038808.35015000,0
1614729600000,13.08720000,14.16840000,13.00020000,13.56420000,468678.68000000,1614815999999,6394655.87183400,23570,267358.29000000,3648858.66620200,0
1614816000000,13.61880000,13.96990000,11.96210000,12.48280000,513108.38000000,1614902399999,6613291.69743100,22720,267794.33000000,3455102.36070500,0
1614902400000,12.47780000,12.50270000,11.50000000,11.74080000,441328.48000000,1614988799999,5226448.64925900,18049,220963.04000000,2619280.27787600,0
1614988800000,11.73440000,12.21510000,11.30010000,11.83270000,277861.85000000,1615075199999,3277918.77779400,13542,151748.40000000,1791874.68719600,0
1615075200000,11.86250000,12.49000000,11.62000000,12.15750000,314688.18000000,1615161599999,3791711.24101800,14653,165128.67000000,1990687.90308100,0
1615161600000,12.16050000,12.30000000,11.47260000,12.20010000,364930.74000000,1615247999999,4364051.05439000,16151,184811.54000000,2211722.67957600,0
1615248000000,12.19400000,13.70770000,11.95320000,13.30270000,709706.30000000,1615334399999,9162189.21766000,30389,379891.54000000,4909642.45107600,0
1615334400000,13.30020000,13.34500000,12.13540000,12.46830000,444476.68000000,1615420799999,5673875.17133300,21642,228215.11000000,2910883.85287800,0
1615420800000,12.46480000,12.77920000,11.71190000,12.26120000,504547.20000000,1615507199999,6172760.32404700,23921,246089.37000000,3014425.43709300,0
1615507200000,12.26110000,12.96000000,11.50000000,11.69790000,476681.15000000,1615593599999,5806276.30856200,23520,227043.23000000,2773084.94859800,0
1615593600000,11.70040000,12.17200000,11.30340000,11.40190000,544495.33000000,1615679999999,6379303.30423700,23520,249434.36000000,2926821.69664500,0
1615680000000,11.41790000,12.20000000,11.20000000,11.63000000,468789.34000000,1615766399999,5414331.47988700,21324,222567.93000000,2574889.85260100,0
1615766400000,11.62990000,12.50500000,10.88910000,11.79120000,1004366.77000000,1615852799999,11780672.44914900,34479,556507.59000000,6525968.00244700,0
1615852800000,11.83290000,12.38050000,10.81170000,11.23950000,932422.02000000,1615939199999,10569698.05852500,30452,434885.29000000,4927953.08457100,0
1615939200000,11.24990000,11.95030000,10.78090000,11.89760000,545874.96000000,1616025599999,6134250.25719100,19558,278160.42000000,3133287.96310700,0
1616025600000,11.89130000,13.50000000,11.62830000,13.49700000,860631.55000000,1616111999999,10725403.82688300,32454,447566.40000000,5595218.37720900,0
1616112000000,13.49710000,14.20000000,12.78000000,12.85180000,853158.67000000,1616198399999,11517712.48728500,36721,420721.97000000,5689488.52306300,0
1616198400000,12.86310000,13.32420000,12.35810000,12.38490000,413039.08000000,1616284799999,5324621.40094900,17675,215879.62000000,2783944.47081100,0
1616284800000,12.36410000,12.67050000,11.98360000,12.29430000,327096.58000000,1616371199999,4015663.22856600,15784,159220.77000000,1956085.00798300,0
1616371200000,12.29830000,14.29090000,12.06690000,12.44740000,750058.78000000,1616457599999,9947876.90288200,36229,377480.69000000,5016676.42659200,0
1616457600000,12.44730000,12.85230000,11.60020000,11.61620000,416443.64000000,1616543999999,5045154.09792000,17278,207192.23000000,2508967.84739600,0
1616544000000,11.60110000,12.41220000,10.33330000,10.51210000,476251.26000000,1616630399999,5491100.51170000,15504,230623.15000000,2658690.80839100,0
1616630400000,10.49810000,11.43600000,9.86660000,10.56810000,576879.82000000,1616716799999,6116037.12742700,16824,256576.45000000,2713839.72998300,0
1616716800000,10.56940000,11.66170000,10.54410000,11.65500000,275258.67000000,1616803199999,3083348.81788200,11459,147691.42000000,1654740.84067900,0
1616803200000,11.63480000,11.69380000,10.67000000,11.14150000,266760.60000000,1616889599999,2969915.33215100,11525,133134.42000000,1481614.28262500,0
1616889600000,11.14880000,14.03600000,11.00000000,12.33990000,1267736.11000000,1616975999999,16307637.11229500,46569,685114.13000000,8830264.95592000,0
1616976000000,12.37200000,14.50000000,12.05010000,14.24210000,568810.94000000,1617062399999,7569018.61766900,28996,306397.23000000,4094168.82286300,0
1617062400000,14.24220000,15.15000000,13.52000000,13.74730000,894075.82000000,1617148799999,12743752.28311200,39257,451141.82000000,6457216.19526000,0
1617148800000,13.74760000,13.83800000,12.68980000,12.83020000,473253.78000000,1617235199999,6234872.81866800,21982,236087.15000000,3114075.15009100,0
1617235200000,12.84000000,14.38830000,12.76170000,13.93660000,520564.87000000,1617321599999,7024658.97422400,24359,277900.97000000,3752174.60130900,0
1617321600000,13.93660000,14.57000000,12.96750000,13.25370000,501879.51000000,1617407999999,6833014.94207500,23173,246506.82000000,3360988.61140100,0
1617408000000,13.23880000,13.66720000,12.05010000,12.12820000,380948.19000000,1617494399999,4959135.92690000,19569,182621.23000000,2379817.34179500,0
1617494400000,12.13580000,13.71650000,12.05510000,13.48060000,475594.26000000,1617580799999,6222995.61772800,23722,243444.81000000,3189272.68738900,0
1617580800000,13.49240000,13.65000000,12.71970000,13.34200000,544476.71000000,1617667199999,7195771.55648100,24381,285485.38000000,3780155.07488000,0
