otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609718400000,0.00573200,0.01354500,0.00519300,0.01012300,28478450612.00000000,1610323199999,262947623.46022900,704173,14022550298.00000000,128904821.13218400,0
1610323200000,0.01012300,0.02688000,0.00800000,0.02065300,42911892880.00000000,1610927999999,753523576.74241900,1495251,21178063290.00000000,372280395.31886600,0
1610928000000,0.02068100,0.02286200,0.01288600,0.01772400,17489508392.00000000,1611532799999,307880625.50242400,681222,8675871164.00000000,152764295.01766600,0
1611532800000,0.01774100,0.01868800,0.01506800,0.01575500,11412588382.00000000,1612137599999,190437838.74176400,425871,5698760060.00000000,95183674.38437800,0
1612137600000,0.01572900,0.02134200,0.01510100,0.01883800,11559012136.00000000,1612742399999,208580171.45131300,496686,5659109325.00000000,102119416.17460800,0
1612742400000,0.01884000,0.03800000,0.01818300,0.03101400,17397240220.00000000,1613347199999,469436383.73521400,970932,8840020874.00000000,238728970.35626600,0
1613347200000,0.03101600,0.05933000,0.02512200,0.05626800,17595276251.00000000,1613951999999,700097415.87200600,1241842,8800538706.00000000,350830847.88929000,0
1613952000000,0.05626600,0.06990300,0.03089500,0.03504800,28162542276.00000000,1614556799999,1393751892.36153100,2024395,13944167326.00000000,690230445.85258400,0
1614556800000,0.03505400,0.05140000,0.03445600,0.04531900,12354327830.00000000,1615161599999,542497085.42726300,888937,6120626547.00000000,268896621.77067300,0
1615161600000,0.04536300,0.04880700,0.04134500,0.04350200,5855740725.00000000,1615766399999,262204070.04834200,481967,2937809099.00000000,131536558.22786700,0
1615766400000,0.04350000,0.06660300,0.03944100,0.05500000,10384493735.00000000,1616371199999,521525359.27756200,957467,5230760067.00000000,263160549.51542100,0
1616371200000,0.05496700,0.05542700,0.04158900,0.04915400,6135890007.00000000,1616975999999,296343756.00512500,624858,3007032320.00000000,145324892.37771500,0
1616976000000,0.04916200,0.05737300,0.04799400,0.05254700,5983734027.00000000,1617580799999,317782596.31534600,639979,2985714037.00000000,158633664.33655600,0
1617580800000,0.05254800,0.06300000,0.04852900,0.05735100,8168309693.00000000,1618185599999,448626248.95263000,911686,4096786904.00000000,225255893.27467100,0
1618185600000,0.05735100,0.09125400,0.05506200,0.07899300,20993770857.00000000,1618790399999,1587247164.04446800,2954300,10686791438.00000000,808198397.19835900,0
1618790400000,0.07899200,0.08100000,0.03710000,0.04594900,13886748690.00000000,1619395199999,769322799.58084700,1658170,6894196094.00000000,382395192.34195400,0
1619395200000,0.04601400,0.06917000,0.04533900,0.06299200,8616842792.00000000,1619999999999,521979881.51612700,1131279,4295783466.00000000,260429317.79138400,0
1620000000000,0.06303500,0.07642000,0.05515400,0.06341900,7911395337.00000000,1620604799999,513584253.29106000,1259549,3994601864.00000000,259667185.23880200,0
1620604800000,0.06340300,0.06518900,0.04500100,0.04939100,5648731339.00000000,1621209599999,303658977.70991300,730890,2898214657.00000000,155913905.64247500,0
1621209600000,0.04927200,0.04956000,0.02000000,0.02739100,13645061678.00000000,1621814399999,473057159.05651200,1053969,6785288833.00000000,235288996.55032300,0
1621814400000,0.02738900,0.03640600,0.02607600,0.03034000,6210830560.00000000,1622419199999,194889830.04600400,497781,3108895510.00000000,97545263.53210400,0
1622419200000,0.03034400,0.03723300,0.02900000,0.03229900,3916062723.00000000,1623023999999,128642814.54805600,291366,1962586148.00000000,64526360.00066900,0
1623024000000,0.03229100,0.03393700,0.02596400,0.02795100,3017897324.00000000,1623628799999,86797280.70071800,223700,1516653066.00000000,43655443.32902300,0
1623628800000,0.02795500,0.03009500,0.02203300,0.02362000,2803253961.00000000,1624233599999,73675266.61372200,194804,1374690747.00000000,36150230.06336100,0
1624233600000,0.02364700,0.02400000,0.01427200,0.01888900,7202437698.00000000,1624838399999,130733285.96266900,355623,3571753231.00000000,64821488.44892800,0
1624838400000,0.01889300,0.02571400,0.01847900,0.02567500,5234211787.00000000,1625443199999,116577402.69440600,344580,2675027564.00000000,59505305.89798700,0
1625443200000,0.02564900,0.02564900,0.01961800,0.02150000,3038382514.00000000,1626047999999,68901691.92521600,187547,1532325027.00000000,34743774.57699000,0
1626048000000,0.02153600,0.02155100,0.01774900,0.01855600,2308013499.00000000,1626652799999,44630063.96990400,120733,1129976202.00000000,21835710.84949200,0
1626652800000,0.01857000,0.02452000,0.01614300,0.02342500,5524735655.00000000,1627257599999,110868397.48315300,343188,2723879323.00000000,54695153.64144700,0
1627257600000,0.02341500,0.02839000,0.02180900,0.02541300,5550796344.00000000,1627862399999,139063664.37811600,433178,2803422097.00000000,70220853.38459800,0
1627862400000,0.02537800,0.02918300,0.02368600,0.02686400,3932023823.00000000,1628467199999,104966393.12935900,339444,1956152704.00000000,52195454.33934300,0
1628467200000,0.02686500,0.03458300,0.02600100,0.03302400,4718606893.00000000,1629071999999,143100650.03029900,441579,2328393142.00000000,70585600.14378700,0
1629072000000,0.03311800,0.03900000,0.02905000,0.03702700,5261356494.00000000,1629676799999,177856922.79940800,555752,2621448499.00000000,88618384.13234200,0
1629676800000,0.03705700,0.04818400,0.03699300,0.04384000,9667707321.00000000,1630281599999,415866321.96520600,1197491,4822586509.00000000,207569387.51938000,0
1630281600000,0.04385000,0.06987600,0.03968000,0.06122000,9072387168.00000000,1630886399999,493486399.22760500,1411378,4682081282.00000000,254914193.51286300,0
