otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609459200000,0.29650000,0.30330000,0.28850000,0.29120000,9697249.89000000,1609545599999,2880711.13833600,14391,4951293.01000000,1472614.51275100,0
1609545600000,0.29140000,0.29670000,0.27700000,0.28630000,18030850.27000000,1609631999999,5189552.83394000,21202,9130172.57000000,2631142.95324800,0
1609632000000,0.28650000,0.31420000,0.27700000,0.30980000,27441532.31000000,1609718399999,8147449.95898300,35085,13712814.00000000,4074090.74801200,0
1609718400000,0.30990000,0.35400000,0.27800000,0.34330000,46677356.54000000,1609804799999,14673090.34912700,68171,24214120.19000000,7637571.27893800,0
1609804800000,0.34330000,0.38790000,0.31550000,0.35200000,62486392.32000000,1609891199999,22183410.76748300,86967,33372544.78000000,11863085.47240700,0
1609891200000,0.35200000,0.39900000,0.34050000,0.38190000,45169878.17000000,1609977599999,17052692.29662000,72140,22345564.28000000,8449667.30631500,0
1609977600000,0.38190000,0.40910000,0.35010000,0.38310000,42015143.55000000,1610063999999,16222933.44581300,66026,21023706.71000000,8126286.97298300,0
1610064000000,0.38400000,0.38670000,0.34500000,0.36930000,29063062.72000000,1610150399999,10584391.59447300,46580,13949690.13000000,5083460.37776700,0
1610150400000,0.36930000,0.47960000,0.36930000,0.43200000,89846240.41000000,1610236799999,39312607.32382300,123116,46461871.68000000,20338424.87625100,0
1610236800000,0.43220000,0.47410000,0.38000000,0.42700000,48497144.74000000,1610323199999,20720503.96967800,76952,24518739.86000000,10501294.94931200,0
1610323200000,0.42700000,0.42850000,0.32700000,0.36800000,50629374.07000000,1610409599999,18512972.36383600,73606,24020483.04000000,8801565.91670200,0
1610409600000,0.36760000,0.38440000,0.34690000,0.35920000,27481415.86000000,1610495999999,10115228.13323600,38899,14455962.43000000,5329859.20264800,0
1610496000000,0.35950000,0.41760000,0.34700000,0.41510000,32642676.27000000,1610582399999,12791178.21358100,50541,16505778.69000000,6475249.76579600,0
1610582400000,0.41540000,0.45140000,0.40110000,0.42510000,30445372.53000000,1610668799999,12901137.81103200,45459,15505640.53000000,6579692.17662200,0
1610668800000,0.42510000,0.45600000,0.38380000,0.43240000,39969339.21000000,1610755199999,16868041.49822100,60398,20223989.03000000,8552904.73208200,0
1610755200000,0.43240000,0.45570000,0.41180000,0.42500000,30796020.65000000,1610841599999,13466461.51991700,52094,15312971.61000000,6710782.25666200,0
1610841600000,0.42500000,0.44900000,0.39780000,0.43570000,25204399.19000000,1610927999999,10627600.45520400,42821,12528336.27000000,5291368.92634800,0
1610928000000,0.43590000,0.48750000,0.41680000,0.47740000,40403294.85000000,1611014399999,18668382.86022300,67365,20995687.68000000,9707730.60508300,0
1611014400000,0.47740000,0.50930000,0.46070000,0.46930000,32049905.47000000,1611100799999,15462454.26835900,56922,16141210.86000000,7797094.66504000,0
1611100800000,0.46990000,0.48520000,0.42890000,0.47280000,28043446.76000000,1611187199999,12817961.20092200,51726,13245087.58000000,6059510.17139900,0
1611187200000,0.47130000,0.51200000,0.41170000,0.41890000,43071560.90000000,1611273599999,19931710.57217100,67578,21052929.16000000,9750350.78174200,0
1611273600000,0.41940000,0.47320000,0.39200000,0.45560000,29940381.32000000,1611359999999,13191739.63146700,53164,14795746.98000000,6526935.23083000,0
1611360000000,0.45520000,0.47600000,0.44310000,0.45100000,17773786.37000000,1611446399999,8149713.69155000,34605,9024258.06000000,4140719.00718200,0
1611446400000,0.45070000,0.48190000,0.44320000,0.45630000,18779144.60000000,1611532799999,8660356.36730200,35008,9187406.64000000,4240856.59935500,0
1611532800000,0.45610000,0.47120000,0.42720000,0.43240000,20065473.60000000,1611619199999,9135410.15931200,34032,9625063.81000000,4389723.49657000,0
1611619200000,0.43200000,0.43990000,0.41000000,0.43320000,17268849.68000000,1611705599999,7332528.57563400,29072,8293713.78000000,3522364.60723400,0
1611705600000,0.43260000,0.43280000,0.37730000,0.39150000,22332002.58000000,1611791999999,8888072.88747700,33833,11160267.00000000,4437348.49659200,0
1611792000000,0.39180000,0.41610000,0.38730000,0.40380000,17370840.17000000,1611878399999,7055786.47907300,29017,8272394.96000000,3362743.99630200,0
1611878400000,0.40370000,0.42600000,0.39390000,0.41250000,29168897.49000000,1611964799999,11956456.58339300,44553,13860800.12000000,5688688.77733700,0
1611964800000,0.41200000,0.45200000,0.39980000,0.42960000,27594983.95000000,1612051199999,11705260.89658100,43936,13709452.31000000,5820044.29201700,0
1612051200000,0.42920000,0.44630000,0.39520000,0.40790000,23003784.58000000,1612137599999,9612383.00833200,38041,10688730.33000000,4469319.04646800,0
1612137600000,0.40760000,0.42890000,0.39210000,0.41640000,25084393.08000000,1612223999999,10377992.18165100,34591,12401670.87000000,5138962.39603900,0
1612224000000,0.41580000,0.43450000,0.40940000,0.43040000,21260590.04000000,1612310399999,8990446.86001900,30752,10260752.94000000,4338707.07785000,0
1612310400000,0.43000000,0.45710000,0.42650000,0.45300000,23500239.72000000,1612396799999,10409856.40155900,36730,12104507.76000000,5360835.73796100,0
1612396800000,0.45310000,0.45550000,0.42130000,0.44110000,27366680.15000000,1612483199999,11981777.68899400,42084,12244276.67000000,5357597.39601700,0
1612483200000,0.44100000,0.54500000,0.44040000,0.51760000,81398512.81000000,1612569599999,40697762.07022400,135596,43489959.91000000,21757438.03766400,0
1612569600000,0.51690000,0.62000000,0.50010000,0.56390000,96451432.81000000,1612655999999,54558497.16923700,158930,48854318.47000000,27708493.43745800,0
1612656000000,0.56400000,0.59700000,0.52700000,0.55870000,42345210.31000000,1612742399999,24023665.47182200,82192,20502874.25000000,11643082.42020400,0
