otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609718400000,0.30990000,0.47960000,0.27800000,0.42700000,363755218.45000000,1610323199999,140749629.74701700,539952,185886237.63000000,71999791.23397300,0
1610323200000,0.42700000,0.45600000,0.32700000,0.43570000,237168597.78000000,1610927999999,95282619.99502700,363818,118553161.60000000,47741422.97686000,0
1610928000000,0.43590000,0.51200000,0.39200000,0.45630000,210061520.27000000,1611532799999,96882318.59199400,366368,104442326.96000000,48223197.06063100,0
1611532800000,0.45610000,0.47120000,0.37730000,0.40790000,156804832.05000000,1612137599999,65685898.58980200,252484,75610422.31000000,31690232.71252000,0
1612137600000,0.40760000,0.62000000,0.39210000,0.55870000,317407058.92000000,1612742399999,161039997.84350600,520875,159858360.87000000,81305116.50319300,0
1612742400000,0.55820000,1.41000000,0.54500000,1.19030000,675131638.45000000,1613347199999,693156044.45766100,1544985,342205908.33000000,351204977.23200000,0
1613347200000,1.19020000,1.59990000,0.93880000,1.40900000,478712863.88000000,1613951999999,646136307.01826000,1337663,241755260.20000000,326638660.29860200,0
1613952000000,1.40850000,1.41900000,0.88570000,1.12470000,358578718.94000000,1614556799999,414278570.58312700,911016,179369464.41000000,207537476.25083100,0
1614556800000,1.12380000,1.46460000,1.11740000,1.31120000,272237929.11000000,1615161599999,349958243.60806300,702539,139424430.97000000,179288300.78566700,0
1615161600000,1.31120000,1.53350000,1.26370000,1.31100000,196062755.17000000,1615766399999,266984239.23899600,576495,97429463.27000000,132813076.73877000,0
1615766400000,1.31100000,1.48800000,1.21510000,1.41010000,159838967.60000000,1616371199999,216262753.47366800,497127,81639074.51000000,110650488.90669800,0
1616371200000,1.41050000,1.77730000,1.28800000,1.39080000,305357904.99000000,1616975999999,465174629.52155700,1024254,154314120.24000000,235568498.43032000,0
1616976000000,1.39050000,1.64660000,1.36570000,1.55350000,145368853.25000000,1617580799999,222773791.50328000,543321,72253021.16000000,110808371.87160700,0
1617580800000,1.55220000,2.14890000,1.51350000,2.09960000,251267958.16000000,1618185599999,464200015.16894700,1071651,127466722.36000000,235770601.32569100,0
1618185600000,2.09660000,2.67730000,1.60000000,2.37210000,297585388.12000000,1618790399999,650344783.20217400,1383019,147203763.51000000,322685166.03393900,0
1618790400000,2.37220000,2.48880000,1.52770000,1.63970000,390744050.22000000,1619395199999,761868271.40139100,1376906,193464983.14000000,377503990.31774500,0
1619395200000,1.63970000,2.30000000,1.61220000,2.04330000,223604051.38000000,1619999999999,462050276.64617400,981289,112106569.76000000,231633428.91673200,0
1620000000000,2.04310000,2.39000000,1.80690000,2.26470000,282867868.11000000,1620604799999,603318135.50861800,1403982,142123921.01000000,303588072.68886700,0
