otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609459200000,0.00636200,0.00692600,0.00629300,0.00660200,51785859.00000000,1609545599999,338978.38660400,2728,26179157.00000000,173697.71271600,0
1609545600000,0.00660100,0.00692000,0.00638000,0.00664200,44731818.00000000,1609631999999,297103.11322800,2957,29184221.00000000,194422.65844500,0
1609632000000,0.00664100,0.00680000,0.00639100,0.00673600,51217836.00000000,1609718399999,338061.49436200,3749,32400332.00000000,214296.62373900,0
1609718400000,0.00673500,0.00725000,0.00600000,0.00651600,66921679.00000000,1609804799999,448838.95033600,5850,40276761.00000000,270448.68265800,0
1609804800000,0.00656200,0.00721000,0.00620200,0.00686000,55917959.00000000,1609891199999,375859.45632700,4939,35415247.00000000,238331.05591900,0
1609891200000,0.00690300,0.00770000,0.00684800,0.00737400,59288656.00000000,1609977599999,427820.69926700,5178,37317391.00000000,269368.72539000,0
1609977600000,0.00737300,0.00780000,0.00711800,0.00730900,99891895.00000000,1610063999999,740169.25691700,7698,54778136.00000000,406015.79783800,0
1610064000000,0.00730000,0.00743500,0.00654500,0.00715100,79420626.00000000,1610150399999,564926.33817000,7066,45155325.00000000,322095.67064900,0
1610150400000,0.00720700,0.01027700,0.00704200,0.00790600,315242918.00000000,1610236799999,2670614.10651200,23346,163091862.00000000,1383274.31985600,0
1610236800000,0.00796300,0.00880000,0.00710100,0.00753100,120518834.00000000,1610323199999,973806.62075300,9806,64980551.00000000,527098.09038700,0
1610323200000,0.00755900,0.00756800,0.00618700,0.00693500,86289228.00000000,1610409599999,588276.16923200,8105,48233971.00000000,329323.22944600,0
1610409600000,0.00693400,0.00738000,0.00650000,0.00681900,68560900.00000000,1610495999999,476063.09102900,5558,40088335.00000000,279051.55642800,0
1610496000000,0.00681900,0.00735000,0.00660000,0.00706000,42605621.00000000,1610582399999,298020.47034700,3449,29992861.00000000,209993.95860200,0
1610582400000,0.00705900,0.00764500,0.00698100,0.00730200,56092684.00000000,1610668799999,410958.90694500,4169,34260029.00000000,251196.51860600,0
1610668800000,0.00731600,0.00857700,0.00715200,0.00808800,102822913.00000000,1610755199999,804304.41636700,7967,59488514.00000000,465946.84603500,0
1610755200000,0.00810200,0.00959100,0.00790200,0.00817200,152097991.00000000,1610841599999,1318863.20354500,12802,82596364.00000000,718234.79262100,0
1610841600000,0.00817100,0.00912200,0.00745200,0.00889100,94884162.00000000,1610927999999,772484.44576200,7780,51715243.00000000,421485.05395100,0
1610928000000,0.00889100,0.00892700,0.00820000,0.00851400,69202930.00000000,1611014399999,586330.31899200,5312,41396927.00000000,351174.70711400,0
1611014400000,0.00853700,0.00972900,0.00842100,0.00909200,125684536.00000000,1611100799999,1157532.17901800,10861,73234283.00000000,673865.17579100,0
1611100800000,0.00902300,0.00909100,0.00827400,0.00878900,66655142.00000000,1611187199999,577134.81150500,5864,37517075.00000000,325099.48096600,0
1611187200000,0.00880300,0.00880400,0.00757800,0.00776000,98269923.00000000,1611273599999,799909.87228400,8384,61525158.00000000,503066.28767000,0
1611273600000,0.00779100,0.01178000,0.00750200,0.01034400,1105284432.00000000,1611359999999,11162473.33797300,58072,671483001.00000000,6725161.02371800,0
1611360000000,0.01034800,0.01097000,0.00950000,0.00968300,278425292.00000000,1611446399999,2854077.95740700,20784,144056296.00000000,1479004.16733800,0
1611446400000,0.00969500,0.01011100,0.00909100,0.00940000,109829514.00000000,1611532799999,1055428.40137000,9708,60637827.00000000,584255.46027400,0
1611532800000,0.00943100,0.00977800,0.00920500,0.00927500,69910285.00000000,1611619199999,658841.12500900,5739,38272953.00000000,361358.63325100,0
1611619200000,0.00927400,0.00997000,0.00900000,0.00963900,108277277.00000000,1611705599999,1023309.64181500,8743,58542578.00000000,554037.57339200,0
1611705600000,0.00968200,0.01268800,0.00900000,0.01179700,465706134.00000000,1611791999999,4966431.23670600,28962,231510803.00000000,2480912.02134700,0
