otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609718400000,0.00673500,0.01027700,0.00600000,0.00753100,797202567.00000000,1610323199999,6202035.42828200,63883,441015273.00000000,3416632.34269700,0
1610323200000,0.00755900,0.00959100,0.00618700,0.00889100,603353499.00000000,1610927999999,4668970.70322700,49830,346375317.00000000,2675231.95568900,0
1610928000000,0.00889100,0.01178000,0.00750200,0.00940000,1853351769.00000000,1611532799999,18192886.87854900,118985,1089850567.00000000,10641626.30287100,0
1611532800000,0.00943100,0.01435200,0.00900000,0.01145300,2560149871.00000000,1612137599999,29877426.10187100,188098,1271276195.00000000,14847643.13421600,0
1612137600000,0.01151100,0.01630500,0.01095100,0.01330800,1450669676.00000000,1612742399999,19205010.62190300,143583,788321888.00000000,10526495.00315000,0
1612742400000,0.01335100,0.03794400,0.01298700,0.02532200,3849739428.00000000,1613347199999,102484062.36747600,432991,1991045725.00000000,52899528.48339600,0
1613347200000,0.02540000,0.02919900,0.02075700,0.02797700,2287836684.00000000,1613951999999,58390281.46052400,347564,1192794615.00000000,30518553.88581500,0
1613952000000,0.02797700,0.03190000,0.01898800,0.02060000,1877367443.00000000,1614556799999,43689533.55331000,286155,965464267.00000000,22516155.88290600,0
1614556800000,0.02059800,0.03246500,0.02054500,0.02687200,2368424648.00000000,1615161599999,63913218.67548600,371642,1258576165.00000000,34101173.77254500,0
1615161600000,0.02692700,0.05700000,0.02650000,0.04930000,4648190746.00000000,1615766399999,191578068.15617600,856996,2416482157.00000000,99288199.21770800,0
1615766400000,0.04923600,0.05581900,0.03908400,0.04322900,2656421232.00000000,1616371199999,122268246.16226000,638273,1347765962.00000000,62103645.87300100,0
1616371200000,0.04323700,0.04490100,0.03571400,0.04142700,1145407780.00000000,1616975999999,46134232.54337300,256355,566668513.00000000,22854443.96920500,0
1616976000000,0.04142300,0.05700000,0.04020000,0.05089900,2424435922.00000000,1617580799999,119310652.57094800,517457,1248030742.00000000,61454283.62029900,0
1617580800000,0.05099100,0.05772100,0.04349700,0.05020200,1647291558.00000000,1618185599999,83307982.54389300,413940,847005171.00000000,42885314.98820700,0
1618185600000,0.05031200,0.05448700,0.03956600,0.04272600,1633117575.00000000,1618790399999,78856229.52450800,313030,839795387.00000000,40572863.07182500,0
1618790400000,0.04267400,0.04700000,0.03135400,0.03365700,1798690995.00000000,1619395199999,71233081.71471900,277007,924413964.00000000,36522109.00058500,0
1619395200000,0.03365800,0.08560000,0.03316200,0.06383600,7133295657.00000000,1619999999999,474075912.72893400,1282181,3652837386.00000000,242641826.26185100,0
1620000000000,0.06395800,0.06730000,0.04995000,0.05272600,2460353335.00000000,1620604799999,139662084.37415800,461162,1259974974.00000000,71564048.34848200,0
1620604800000,0.05279700,0.05743600,0.04002900,0.04698100,1951860445.00000000,1621209599999,92616128.76790000,294662,1009756874.00000000,47876416.50091900,0
1621209600000,0.04711900,0.04753200,0.02062300,0.03247300,3365734856.00000000,1621814399999,115251644.14292600,367090,1748617114.00000000,59818974.82584300,0
1621814400000,0.03246000,0.03794500,0.02474600,0.02652900,1904025791.00000000,1622419199999,60922396.34675900,214519,982728288.00000000,31402968.25805100,0
1622419200000,0.02653600,0.02880000,0.02461200,0.02608200,1494091273.00000000,1623023999999,39897559.08644200,157821,773583923.00000000,20639207.54370700,0
1623024000000,0.02606800,0.02888800,0.02125800,0.02315600,2110040509.00000000,1623628799999,52860968.22878300,221212,1084748323.00000000,27175747.23155200,0
1623628800000,0.02314000,0.02619300,0.01891300,0.02027500,2669377923.00000000,1624233599999,63878866.55678800,217340,1360107818.00000000,32603267.69774000,0
1624233600000,0.02028600,0.02039600,0.01287300,0.01599000,1191072971.00000000,1624838399999,18720611.33499000,97488,603316789.00000000,9488779.20194400,0
1624838400000,0.01600500,0.02298700,0.01585300,0.02091400,4193335384.00000000,1625443199999,86435159.18253700,379611,2163937861.00000000,44631792.74221100,0
1625443200000,0.02090300,0.02095900,0.01677600,0.01923400,1131310317.00000000,1626047999999,21672715.82613600,116293,584436028.00000000,11191328.01364600,0
1626048000000,0.01921900,0.02200400,0.01717200,0.01919300,1565777828.00000000,1626652799999,30593113.94372800,139197,791568971.00000000,15465375.78437600,0
1626652800000,0.01917000,0.02111600,0.01607000,0.01983900,1367466495.00000000,1627257599999,26004256.12871100,119923,706036232.00000000,13429007.38685000,0
1627257600000,0.01985600,0.02119600,0.01857900,0.01972800,955526013.00000000,1627862399999,18924333.87026700,100716,496611618.00000000,9837400.63608600,0
1627862400000,0.01977500,0.02492200,0.01939200,0.02250000,3467799795.00000000,1628467199999,77626184.25434200,212038,1780662507.00000000,39906274.78982700,0
1628467200000,0.02253600,0.14999000,0.02126200,0.08609400,34472631888.00000000,1629071999999,3183370653.96112500,6135480,17484463762.00000000,1612677591.47401100,0
1629072000000,0.08599300,0.10203800,0.07130000,0.07867700,6224655210.00000000,1629676799999,527702466.60403600,1414295,3110516344.00000000,263641335.59345000,0
1629676800000,0.07862100,0.09188700,0.06855400,0.07833000,3874984928.00000000,1630281599999,309160800.98953700,879540,1930957474.00000000,154097735.26218800,0
1630281600000,0.07833000,0.09119000,0.07085000,0.08351000,2832938163.00000000,1630886399999,225586934.97446000,678434,1417196989.00000000,112769001.10816000,0
1630886400000,0.08346000,0.08397000,0.05300000,0.06559000,2698188205.00000000,1631491199999,186757159.09567700,637967,1320155025.00000000,91595732.09954200,0
1631491200000,0.06560000,0.07180000,0.05812000,0.06214000,1402958895.00000000,1632095999999,90718368.89532000,315332,698249835.00000000,45192048.12939000,0
1632096000000,0.06215000,0.07565000,0.04800000,0.06555000,4147184901.00000000,1632700799999,264795690.56365400,870778,2063372257.00000000,131776131.00016000,0
1632700800000,0.06553000,0.06700000,0.05583000,0.06412000,2022823226.00000000,1633305599999,126090709.54713000,431803,1012667889.00000000,63172194.49607000,0
1633305600000,0.06418000,0.08490000,0.06005000,0.07011000,3677465505.00000000,1633910399999,268531059.58199000,803755,1825461658.00000000,133363627.92873000,0
1633910400000,0.07004000,0.07657000,0.06252000,0.06595000,1844893157.00000000,1634515199999,128742366.53385000,415697,919591736.00000000,64224941.28813000,0
1634515200000,0.06598000,0.07272000,0.06365000,0.06584000,1240523281.00000000,1635119999999,84437988.15842000,273688,612030707.00000000,41657320.68782000,0
1635120000000,0.06583000,0.07653000,0.05594000,0.07202000,2076811397.00000000,1635724799999,137254629.45385000,455912,1065351942.00000000,70475735.04261000,0
1635724800000,0.07203000,0.18500000,0.06682000,0.10383000,10732436116.00000000,1636329599999,1380280830.79206800,3133486,5431651248.00000000,698671558.99512800,0
