otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609718400000,0.04003000,0.05575000,0.03442000,0.04807000,149029224.70000000,1610323199999,6819119.81452000,60399,74893067.30000000,3437545.95383600,0
1610323200000,0.04770000,0.05849000,0.03454000,0.05471000,146331155.80000000,1610927999999,7086026.36678800,56972,69480620.50000000,3359778.66405100,0
1610928000000,0.05456000,0.07726000,0.05018000,0.06372000,281814993.10000000,1611532799999,18478599.01870300,127420,141623249.50000000,9305226.47329900,0
1611532800000,0.06372000,0.07444000,0.05851000,0.06491000,191461509.40000000,1612137599999,12574310.43470500,98840,96075795.00000000,6332418.50822700,0
1612137600000,0.06451000,0.09836000,0.06020000,0.08849000,203619356.30000000,1612742399999,16268454.45196000,122389,99066845.00000000,7933652.20032900,0
1612742400000,0.08848000,0.14100000,0.08433000,0.11621000,210036288.00000000,1613347199999,23465985.87123500,149877,103678199.30000000,11632232.80373200,0
1613347200000,0.11622000,0.18220000,0.08992000,0.13316000,449794274.20000000,1613951999999,66854904.33663200,290915,221005489.30000000,33024987.22578300,0
1613952000000,0.13407000,0.14280000,0.08779000,0.10178000,299776996.10000000,1614556799999,34496378.52108400,179411,151675991.50000000,17582642.70986800,0
1614556800000,0.10203000,0.11988000,0.09537000,0.11455000,181322597.30000000,1615161599999,19389552.13860300,130918,93534306.60000000,10038382.32415200,0
1615161600000,0.11472000,0.19700000,0.11300000,0.16635000,407987602.20000000,1615766399999,65913334.98010600,385048,209908153.10000000,33829724.10918300,0
1615766400000,0.16609000,0.28427000,0.15753000,0.23223000,490775186.70000000,1616371199999,112391247.21680600,705264,251828975.60000000,57859022.27919600,0
1616371200000,0.23169000,0.24000000,0.17200000,0.22663000,226417823.30000000,1616975999999,47425524.00951100,258742,109002936.60000000,22884637.77559700,0
1616976000000,0.22617000,0.25646000,0.20241000,0.22174000,139160055.80000000,1617580799999,30974711.04765600,163365,69241069.60000000,15419487.98286400,0
1617580800000,0.22203000,0.32000000,0.18541000,0.26871000,373196260.90000000,1618185599999,93233581.78120600,365138,193317508.40000000,48538162.32160600,0
1618185600000,0.26873000,0.31400000,0.16500000,0.19250000,469055028.30000000,1618790399999,121490464.21978300,517127,239515368.30000000,62420922.02331100,0
1618790400000,0.19259000,0.20444000,0.11000000,0.12568000,159919946.30000000,1619395199999,23775121.29698200,118840,76497676.10000000,11365137.18978700,0
1619395200000,0.12568000,0.18837000,0.12494000,0.18201000,311385454.00000000,1619999999999,51042622.71178000,236369,166142726.60000000,27335213.94429700,0
