otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609718400000,0.02406000,0.03050000,0.02160000,0.02639000,873946621.60000000,1610323199999,22486316.55022600,184270,442794296.40000000,11402316.31583900,0
1610323200000,0.02636000,0.03420000,0.02101000,0.02805000,825474175.40000000,1610927999999,22532868.91954700,170763,412830932.20000000,11252879.85489200,0
1610928000000,0.02812000,0.03150000,0.02411000,0.02940000,791121442.70000000,1611532799999,22349044.82764900,152218,404515700.00000000,11431947.94009700,0
1611532800000,0.02939000,0.03772000,0.02612000,0.03084000,1081827165.20000000,1612137599999,33424118.96268200,207054,558118202.30000000,17281460.39591600,0
1612137600000,0.03087000,0.03938000,0.03020000,0.03729000,1107615092.40000000,1612742399999,39272833.70402200,237331,569441499.80000000,20213478.70035800,0
1612742400000,0.03740000,0.05586000,0.03666000,0.04957000,1352686740.50000000,1613347199999,63090953.02090000,304047,685812974.00000000,32085424.32087300,0
1613347200000,0.04957000,0.08300000,0.04023000,0.06659000,1831015802.80000000,1613951999999,108679173.49963200,426850,959279094.10000000,56761237.63199000,0
1613952000000,0.06665000,0.06681000,0.03416000,0.04483000,1303504214.00000000,1614556799999,62699947.17592400,258599,703516781.10000000,33825400.72487800,0
1614556800000,0.04483000,0.05900000,0.04407000,0.05753000,889831495.20000000,1615161599999,46672257.53426200,228885,476274839.30000000,24967661.68832100,0
1615161600000,0.05752000,0.07500000,0.05426000,0.07081000,1259604165.50000000,1615766399999,76990632.83435400,293110,692590692.50000000,42292818.64758200,0
1615766400000,0.07081000,0.12072000,0.06230000,0.10637000,2551805815.50000000,1616371199999,230125468.22466300,681732,1308385427.50000000,117403907.65467400,0
1616371200000,0.10631000,0.10780000,0.07276000,0.09245000,1114566545.40000000,1616975999999,100610286.52779400,306219,592038148.70000000,53421285.23904900,0
1616976000000,0.09252000,0.17100000,0.09080000,0.16985000,2248773865.10000000,1617580799999,294208080.62076400,768484,1167374526.20000000,152721414.78291700,0
1617580800000,0.16962000,0.20199000,0.11743000,0.14144000,1595411961.30000000,1618185599999,241447378.71316400,580384,857246334.90000000,130006166.61906100,0
1618185600000,0.14167000,0.18739000,0.12775000,0.15743000,1576848909.30000000,1618790399999,251853788.42055200,571328,820433914.60000000,131047146.49729100,0
1618790400000,0.15747000,0.16059000,0.08341000,0.10200000,883046169.50000000,1619395199999,106213147.18516600,266502,451951643.00000000,54613179.49510700,0
1619395200000,0.10195000,0.13480000,0.10051000,0.12818000,478679390.50000000,1619999999999,59016314.19267700,191225,239790977.50000000,29560200.47471400,0
1620000000000,0.12782000,0.16500000,0.11684000,0.13552000,732049229.20000000,1620604799999,100162340.95317600,326586,368219221.60000000,50579238.15426100,0
1620604800000,0.13553000,0.13850000,0.10077000,0.10614000,335511796.80000000,1621209599999,40402445.50331100,141507,169391986.10000000,20403366.60834700,0
1621209600000,0.10602000,0.10828000,0.04966000,0.05747000,594709111.20000000,1621814399999,45630888.74386400,181612,313418924.00000000,23956654.06882300,0
1621814400000,0.05744000,0.07530000,0.05549000,0.06338000,376365977.50000000,1622419199999,25026728.42546100,119227,189306226.70000000,12596148.95059600,0
1622419200000,0.06325000,0.07525000,0.06163000,0.07078000,320219606.90000000,1623023999999,22196613.12951900,119995,164933451.40000000,11426996.94505900,0
1623024000000,0.07077000,0.07381000,0.05709000,0.06141000,402090367.60000000,1623628799999,26341407.86675300,129105,206360392.90000000,13534605.46610900,0
1623628800000,0.06139000,0.06318000,0.05146000,0.05496000,315722280.60000000,1624233599999,18727531.54614300,127810,157301212.80000000,9331924.78394500,0
1624233600000,0.05503000,0.05540000,0.03382000,0.04529000,570347604.60000000,1624838399999,24886151.58659100,169855,286990055.80000000,12538421.63951800,0
1624838400000,0.04535000,0.05462000,0.04465000,0.05396000,230633613.10000000,1625443199999,11503842.22634900,99491,124595661.60000000,6217410.80384300,0
1625443200000,0.05399000,0.05636000,0.04744000,0.05073000,254495270.40000000,1626047999999,13116866.72490400,89585,137062624.10000000,7058149.19284800,0
1626048000000,0.05072000,0.05116000,0.04116000,0.04207000,219809953.60000000,1626652799999,10034128.32278300,77834,109383197.00000000,5011073.00853300,0
1626652800000,0.04213000,0.04583000,0.03591000,0.04175000,376461548.10000000,1627257599999,15131347.35790500,85851,228676865.10000000,9211163.15166300,0
1627257600000,0.04171000,0.05687000,0.04158000,0.05276000,328328164.60000000,1627862399999,15780981.23572500,101199,184802358.20000000,8867923.12170600,0
1627862400000,0.05275000,0.07000000,0.04911000,0.05948000,394085521.60000000,1628467199999,22317385.23003300,129042,187767935.60000000,10662692.95457500,0
1628467200000,0.05941000,0.07369000,0.05613000,0.07238000,417474009.10000000,1629071999999,28037295.40780600,160219,208521735.20000000,14007964.27304600,0
1629072000000,0.07239000,0.07902000,0.06262000,0.07073000,390971300.90000000,1629676799999,27556719.55697500,132551,204087193.40000000,14406143.69528900,0
1629676800000,0.07080000,0.07821000,0.06626000,0.07377000,388227847.30000000,1630281599999,27912989.50388800,140061,197535578.20000000,14203248.30432400,0
1630281600000,0.07372000,0.09288000,0.06938000,0.09138000,779076766.60000000,1630886399999,64472773.36410500,314311,399182898.60000000,33064078.96403400,0
1630886400000,0.09139000,0.09616000,0.06810000,0.09050000,682497629.00000000,1631491199999,57736086.99760700,256133,343240898.60000000,29054991.30755600,0
1631491200000,0.09045000,0.10100000,0.07857000,0.08548000,492208392.30000000,1632095999999,45072134.42938700,215280,247902575.80000000,22712577.76711300,0
1632096000000,0.08544000,0.08552000,0.06002000,0.06356000,422339304.50000000,1632700799999,30281147.29050400,120180,220335128.10000000,15813191.01890900,0
1632700800000,0.06351000,0.07122000,0.05763000,0.07066000,155471588.20000000,1633305599999,10064086.21464100,60257,77627912.80000000,5040570.26878400,0
1633305600000,0.07072000,0.09700000,0.06624000,0.08368000,1228765970.10000000,1633910399999,102551961.54421100,297981,633953608.40000000,52954160.51263700,0
1633910400000,0.08368000,0.08397000,0.07286000,0.07732000,1088425219.50000000,1634515199999,85086904.65903000,149201,542623017.20000000,42431552.83130100,0
1634515200000,0.07741000,0.09646000,0.07373000,0.08045000,4077268492.30000000,1635119999999,328648830.13033200,383391,2132716071.90000000,171852221.25953400,0
1635120000000,0.08039000,0.08724000,0.07015000,0.08721000,3871078217.70000000,1635724799999,308802359.05410000,276127,2015413152.70000000,160831225.23965700,0
1635724800000,0.08721000,0.08873000,0.08012000,0.08357000,3341373186.10000000,1636329599999,280921660.95769200,151073,1711154284.50000000,143830913.73802900,0
1636329600000,0.08355000,0.09272000,0.07956000,0.08583000,2405088255.50000000,1636934399999,206856259.11948400,180018,1226951495.40000000,105532141.77621800,0
1636934400000,0.08581000,0.09167000,0.07279000,0.07941000,4513639114.30000000,1637539199999,358098449.02400100,161945,2349206598.80000000,186377717.49804000,0
1637539200000,0.07952000,0.08077000,0.06941000,0.07472000,5473285755.20000000,1638143999999,414834855.78965200,154149,2803708332.10000000,212410489.79293300,0
1638144000000,0.07470000,0.07691000,0.05647000,0.06041000,3252142880.10000000,1638748799999,232045273.64926900,105888,1683401474.60000000,120203088.55215200,0
1638748800000,0.06041000,0.06537000,0.05591000,0.06378000,1259640684.10000000,1639353599999,74714353.60889400,35537,638854625.70000000,37883576.87262200,0
