otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609718400000,11.36300000,13.39900000,8.50000000,9.70900000,262570.18300000,1610323199999,2770719.85651500,25255,118202.69400000,1253907.11865000,0
1610323200000,9.68400000,13.91100000,8.31000000,9.85200000,1302646.96800000,1610927999999,13315373.36174300,138744,676562.83400000,6955586.81031600,0
1610928000000,9.85400000,10.05000000,4.70100000,9.04800000,814754.54000000,1611532799999,7921965.64404900,55128,417441.63100000,4065294.98654300,0
1611532800000,9.05400000,10.80000000,7.50900000,7.78300000,322157.02700000,1612137599999,2737103.58601400,25027,146454.99700000,1242703.69557300,0
1612137600000,7.83100000,11.69900000,7.56100000,8.32100000,714177.53200000,1612742399999,6225837.35814000,46157,352851.86200000,3083756.22930700,0
1612742400000,8.32100000,13.70000000,8.08500000,11.16700000,2179034.03500000,1613347199999,22869095.30569300,155821,1075956.09600000,11370623.71940600,0
1613347200000,11.16700000,13.10000000,9.80700000,11.57000000,1107537.69700000,1613951999999,12717778.79731100,93210,557965.09900000,6437427.80693800,0
1613952000000,11.56600000,11.57900000,8.02000000,9.18300000,634957.76700000,1614556799999,6166104.93028500,40680,300614.93700000,2918424.24361500,0
1614556800000,9.19100000,11.68000000,8.71500000,10.10200000,859670.02500000,1615161599999,8458150.04618600,56122,425681.39900000,4203026.84994500,0
1615161600000,10.10100000,20.79000000,9.56000000,15.49300000,5394403.55600000,1615766399999,84557733.70421900,382160,2695631.64700000,42444325.14673600,0
1615766400000,15.44200000,17.96800000,13.58000000,15.01400000,1801208.32100000,1616371199999,27779858.90474300,147825,874399.98400000,13505328.26551200,0
1616371200000,15.10300000,15.50000000,12.08200000,13.84000000,1219862.87400000,1616975999999,16981672.78604500,88162,605671.98400000,8435912.58639100,0
1616976000000,13.84700000,15.60000000,13.22800000,13.91600000,797329.67600000,1617580799999,11454244.30775200,63594,402122.05300000,5787999.13904800,0
1617580800000,13.91600000,25.41600000,13.60000000,15.80000000,4472139.97400000,1618185599999,78507210.40415700,304308,2203815.44900000,38971087.69590600,0
1618185600000,15.78100000,20.27100000,13.29700000,14.12600000,3551110.32700000,1618790399999,61588334.29562500,249480,1758209.45400000,30598687.96230400,0
