otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609459200000,1.29220000,1.35500000,1.26270000,1.30340000,1963135.05000000,1609545599999,2578648.12791400,19467,983358.28000000,1292001.81418300,0
1609545600000,1.30210000,1.33690000,1.25550000,1.29170000,2263672.64000000,1609631999999,2928470.73771600,23666,1175557.89000000,1521092.07248200,0
1609632000000,1.29330000,1.41390000,1.23900000,1.38350000,3929620.09000000,1609718399999,5138366.02322300,36498,2009618.42000000,2627992.81247400,0
1609718400000,1.38350000,1.59700000,1.25500000,1.51600000,6662465.88000000,1609804799999,9474871.79480300,64434,3358571.01000000,4772459.18510400,0
1609804800000,1.51640000,1.65610000,1.38130000,1.56840000,7959172.75000000,1609891199999,12210191.60568700,61714,4028263.08000000,6184672.68008300,0
1609891200000,1.56880000,1.88960000,1.52000000,1.81060000,7888915.06000000,1609977599999,13736466.84457600,72237,3952091.12000000,6897009.46993600,0
1609977600000,1.81180000,1.93390000,1.55640000,1.68640000,7077210.55000000,1610063999999,12578239.71385000,64920,3438220.98000000,6115912.60269200,0
1610064000000,1.68810000,1.77390000,1.33350000,1.61620000,6634229.12000000,1610150399999,10679778.09316100,61230,3245185.94000000,5240599.74207100,0
1610150400000,1.61600000,2.00000000,1.56000000,1.85910000,7728105.43000000,1610236799999,14033370.42308300,74081,3748575.07000000,6825398.83425000,0
1610236800000,1.85910000,2.04420000,1.61650000,1.82390000,6769908.85000000,1610323199999,12428905.38630300,65951,3415026.64000000,6280879.72010400,0
1610323200000,1.82120000,1.85170000,1.37870000,1.53280000,7553614.40000000,1610409599999,11760325.29966400,66124,3702995.41000000,5763038.29867700,0
1610409600000,1.53360000,1.63000000,1.43250000,1.47890000,4283122.51000000,1610495999999,6573580.55869000,33945,2121407.63000000,3258375.52209100,0
1610496000000,1.47860000,1.69700000,1.42240000,1.64860000,3845848.86000000,1610582399999,6099835.78504400,33942,2084031.32000000,3316521.69953800,0
1610582400000,1.65060000,1.78180000,1.60170000,1.70920000,4200370.12000000,1610668799999,7146255.20609000,39370,2011083.18000000,3423339.63747400,0
1610668800000,1.70900000,2.08000000,1.67920000,2.00520000,12056780.10000000,1610755199999,22977979.64778400,90126,5942864.00000000,11319020.32893200,0
1610755200000,2.00470000,2.44460000,1.99370000,2.12950000,13518742.87000000,1610841599999,29951819.22289900,106438,6702414.17000000,14850746.69319200,0
1610841600000,2.12630000,2.25540000,1.91490000,2.18800000,7163596.72000000,1610927999999,14942930.63461200,59472,3760285.58000000,7851883.29441500,0
1610928000000,2.19090000,2.29180000,2.02580000,2.21480000,5306809.89000000,1611014399999,11609783.43373800,48173,2609142.01000000,5710270.26083800,0
1611014400000,2.21990000,2.38840000,2.07040000,2.22600000,7426520.53000000,1611100799999,16637772.14926500,60378,3724619.62000000,8347744.87495800,0
