otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609718400000,1.38350000,2.04420000,1.25500000,1.82390000,50720007.64000000,1610323199999,85141823.86146300,464567,25185933.84000000,42316932.23424000,0
1610323200000,1.82120000,2.44460000,1.37870000,2.18800000,52622075.58000000,1610927999999,99452726.35478300,429417,26325081.29000000,49782925.47431900,0
1610928000000,2.19090000,2.63890000,1.71140000,2.58540000,50040392.65000000,1611532799999,111912118.65644200,429747,24766203.62000000,55507379.89073300,0
1611532800000,2.58500000,2.59370000,2.00100000,2.21990000,36885386.13000000,1612137599999,84102879.91172700,340676,18135816.30000000,41362000.13968400,0
1612137600000,2.21840000,3.50610000,2.13500000,3.29150000,57405818.87000000,1612742399999,166261000.32474800,584162,29281280.57000000,85000102.13343200,0
1612742400000,3.29160000,5.58620000,3.26000000,4.66580000,56128292.90000000,1613347199999,250224387.06637700,806441,28434571.40000000,127100142.18468100,0
1613347200000,4.66410000,5.36980000,3.62000000,4.75370000,50383278.63000000,1613951999999,238760693.07906400,738696,25093083.52000000,119114980.88945100,0
1613952000000,4.75850000,4.78500000,2.66350000,3.34860000,49458562.14000000,1614556799999,178866393.93947000,624820,24382953.71000000,88291235.42248400,0
1614556800000,3.34970000,4.91170000,3.30140000,4.21770000,33761147.66000000,1615161599999,138971968.85600800,488166,16699956.25000000,68797923.66058100,0
1615161600000,4.22450000,7.40000000,3.75450000,5.46810000,76425330.62000000,1615766399999,422971409.71443900,1275042,38070974.49000000,210964965.65658700,0
1615766400000,5.48220000,7.03180000,5.02500000,5.93840000,51904877.47000000,1616371199999,312181407.43036800,957468,25685751.48000000,154728412.60553800,0
1616371200000,5.93470000,6.32000000,4.30050000,5.57140000,35165186.64000000,1616975999999,188246179.85818500,631811,17516229.16000000,94013273.44632800,0
1616976000000,5.57920000,7.37600000,5.46520000,6.77420000,37270334.26000000,1617580799999,240567989.56810200,747551,19052636.55000000,123210620.20318000,0
1617580800000,6.76390000,8.15730000,6.16970000,6.98190000,32459374.25000000,1618185599999,233348125.32036700,749948,16489015.31000000,118738904.01253500,0
1618185600000,6.98230000,7.23360000,4.04280000,5.46480000,29556510.50000000,1618790399999,185806143.90196700,688839,14416117.16000000,90776606.05020900,0
