otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609459200000,0.00194500,0.00249000,0.00194500,0.00209900,830971812.00000000,1609545599999,1867035.57133300,17354,423087530.00000000,953954.06893300,0
1609545600000,0.00209900,0.00218800,0.00196500,0.00200600,330085292.00000000,1609631999999,671405.10006800,7261,146348132.00000000,297840.26378600,0
1609632000000,0.00202400,0.00220000,0.00200000,0.00207700,274502719.00000000,1609718399999,576157.43263700,7357,117918495.00000000,248456.59339300,0
1609718400000,0.00207600,0.00220300,0.00194800,0.00202100,244762248.00000000,1609804799999,509028.49222700,6421,118991048.00000000,248090.00182400,0
1609804800000,0.00202700,0.00217500,0.00195300,0.00208900,172885783.00000000,1609891199999,354484.82735300,4979,86558971.00000000,178337.98997200,0
1609891200000,0.00208900,0.00217000,0.00202100,0.00213700,268184378.00000000,1609977599999,562726.36481800,6007,120745583.00000000,254056.63940500,0
1609977600000,0.00214700,0.00249600,0.00212000,0.00229900,453849573.00000000,1610063999999,1054709.87896700,11080,229997153.00000000,535682.52620400,0
1610064000000,0.00229900,0.00239100,0.00212800,0.00232500,214607678.00000000,1610150399999,484714.81317800,6346,95758249.00000000,217029.97995200,0
1610150400000,0.00230600,0.00328100,0.00230500,0.00261100,1918031490.00000000,1610236799999,5419292.31008200,38508,957658628.00000000,2707541.32454800,0
1610236800000,0.00262100,0.00277100,0.00230000,0.00256900,669436677.00000000,1610323199999,1738881.41625800,13788,294615728.00000000,768765.88508100,0
1610323200000,0.00256900,0.00259000,0.00195300,0.00221900,501390767.00000000,1610409599999,1123726.02371100,10693,215092469.00000000,481682.00266500,0
1610409600000,0.00220000,0.00239800,0.00208000,0.00210200,238766204.00000000,1610495999999,526228.58615400,5177,103312011.00000000,228491.07845500,0
1610496000000,0.00211200,0.00231000,0.00205500,0.00231000,208857192.00000000,1610582399999,454127.87987200,4197,111314313.00000000,242828.37997800,0
1610582400000,0.00231000,0.00238500,0.00217300,0.00229400,183429251.00000000,1610668799999,423236.17328300,4496,93827407.00000000,216863.08127200,0
1610668800000,0.00229900,0.00239800,0.00212200,0.00227800,290476055.00000000,1610755199999,664061.29629500,6632,150147711.00000000,344770.32543700,0
1610755200000,0.00229800,0.00258500,0.00225900,0.00254900,453139342.00000000,1610841599999,1093783.66303200,10155,243107415.00000000,587887.15842800,0
1610841600000,0.00253700,0.00261000,0.00229900,0.00244200,314552580.00000000,1610927999999,763467.18899700,7200,138361334.00000000,337029.25851700,0
1610928000000,0.00243400,0.00271100,0.00235400,0.00264800,396011589.00000000,1611014399999,1012975.11867400,10897,208779235.00000000,536010.00632100,0
