otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1624233600000,0.89740000,1.35600000,0.86350000,0.99330000,49516778.00000000,1624838399999,51721922.27470000,187581,25694606.00000000,26883917.86600000,0
1624838400000,0.99110000,1.07000000,0.93940000,1.01770000,16021623.00000000,1625443199999,16074945.01480000,66643,7559244.00000000,7571836.70920000,0
1625443200000,1.01990000,1.07630000,0.90000000,0.98270000,15538497.00000000,1626047999999,15506207.54230000,100246,6577315.00000000,6563308.95510000,0
1626048000000,0.98500000,0.99000000,0.86100000,0.90420000,7696795.00000000,1626652799999,7057759.29910000,30768,4016502.00000000,3665763.37120000,0
1626652800000,0.90760000,1.23000000,0.82400000,0.99020000,17697539.00000000,1627257599999,16788139.73960000,68035,7967133.00000000,7575840.69800000,0
1627257600000,0.99240000,1.09990000,0.95250000,1.02290000,10278841.00000000,1627862399999,10549890.56870000,47701,4540496.00000000,4660570.00640000,0
1627862400000,1.01910000,1.30060000,0.99760000,1.19890000,16169983.00000000,1628467199999,18263122.85430000,64044,7382149.00000000,8356308.62330000,0
1628467200000,1.19890000,1.93970000,1.15050000,1.91690000,24428643.00000000,1629071999999,37403282.78620000,140711,11678445.00000000,17988641.04390000,0
1629072000000,1.91970000,1.97990000,1.55010000,1.84000000,19432166.00000000,1629676799999,35242642.14680000,128321,9089871.00000000,16520226.53520000,0
1629676800000,1.84000000,1.93190000,1.55500000,1.62900000,23611114.10000000,1630281599999,39956504.05110000,93392,11832445.60000000,19942328.50040000,0
1630281600000,1.62900000,1.69700000,1.53100000,1.63700000,18109959.00000000,1630886399999,28937852.19500000,88580,8400611.90000000,13432534.34740000,0
1630886400000,1.63700000,1.69500000,1.28300000,1.38000000,17766823.80000000,1631491199999,25733938.50120000,78966,8965564.60000000,12935438.85540000,0
1631491200000,1.37800000,1.39300000,1.21400000,1.21700000,15317945.30000000,1632095999999,20119333.71890000,65816,7469963.80000000,9809938.43380000,0
1632096000000,1.21700000,1.22000000,0.99100000,1.05700000,22124279.70000000,1632700799999,23992062.59530000,80292,11194524.40000000,12158122.89490000,0
1632700800000,1.05600000,1.25500000,1.01700000,1.22600000,23737851.90000000,1633305599999,26894898.66880000,146967,11741020.10000000,13308354.55690000,0
1633305600000,1.22900000,4.40000000,1.18700000,1.67600000,150111204.50000000,1633910399999,316598124.71710000,703722,71832803.60000000,152945214.21870000,0
1633910400000,1.67800000,1.79200000,1.47300000,1.62800000,83429434.40000000,1634515199999,135143564.12410000,519892,40615394.00000000,65766328.55090000,0
1634515200000,1.62500000,1.73200000,1.53200000,1.57300000,33016766.60000000,1635119999999,53637782.07410000,218128,15725871.40000000,25556288.44910000,0
1635120000000,1.57200000,1.66000000,1.36800000,1.59000000,33733229.10000000,1635724799999,53175218.06140000,233739,16454693.30000000,25963022.55690000,0
1635724800000,1.59000000,1.90000000,1.54700000,1.61800000,60832720.50000000,1636329599999,103121294.48890000,457403,29786889.40000000,50509970.01060000,0
1636329600000,1.61800000,1.63100000,1.42000000,1.49700000,46774157.90000000,1636934399999,72757990.74170000,349176,22555720.20000000,35106105.15730000,0
1636934400000,1.49600000,1.60800000,1.41000000,1.52800000,56997457.70000000,1637539199999,86348415.79100000,343867,28242986.50000000,42806075.43530000,0
1637539200000,1.52800000,1.53300000,1.24800000,1.37500000,54507287.80000000,1638143999999,77673482.10250000,263140,27408715.80000000,39155246.26740000,0
1638144000000,1.37500000,1.65000000,1.00000000,1.25900000,65687410.00000000,1638748799999,93528106.95040000,338503,32864239.50000000,46851999.54480000,0
1638748800000,1.26100000,1.32500000,1.16700000,1.30700000,4612945.80000000,1639353599999,5715631.91310000,25939,2217230.70000000,2743526.21040000,0
