otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609718400000,72.91700000,77.88900000,59.68200000,71.07000000,1200920.33800000,1610323199999,83405626.62374000,329009,604051.35200000,41994460.34365900,0
1610323200000,71.25300000,110.71100000,57.87700000,102.55800000,1432499.77800000,1610927999999,116856468.40751500,409678,741690.61700000,60823428.35182200,0
1610928000000,102.24700000,121.50000000,85.50000000,103.97300000,1044132.16700000,1611532799999,109342839.93296200,378736,548632.74900000,57580740.17854200,0
1611532800000,103.93700000,117.79000000,90.10000000,97.71700000,522819.68100000,1612137599999,53668034.50876200,218457,256439.40200000,26348180.69346700,0
1612137600000,97.65200000,124.03800000,95.00000000,115.99800000,850211.90700000,1612742399999,95174093.14581000,356905,413996.34500000,46334457.13692200,0
1612742400000,115.88200000,169.57800000,111.50000000,157.63000000,800674.58400000,1613347199999,112936906.59690800,359266,427592.31000000,60438887.66834400,0
1613347200000,157.50100000,248.00000000,135.00000000,223.63700000,1624496.64100000,1613951999999,343585507.95751600,794098,820040.68500000,173678456.70814800,0
1613952000000,224.09700000,299.88000000,192.00000000,212.58800000,1583519.51400000,1614556799999,382725510.32227700,854529,803474.25300000,194483413.61069600,0
1614556800000,212.58200000,259.23600000,208.97800000,233.49100000,566112.88300000,1615161599999,131259848.53265200,302698,286565.25100000,66399409.14419300,0
1615161600000,233.82300000,344.70800000,223.00000000,300.48800000,749723.14400000,1615766399999,220480817.61832700,504235,376725.68500000,110828654.07792700,0
1615766400000,300.66400000,423.04000000,277.53200000,399.49500000,745024.38200000,1616371199999,266629368.01075400,528889,393185.84600000,140719415.32672500,0
1616371200000,398.88300000,520.00000000,370.00000000,511.00400000,986965.48500000,1616975999999,438767493.44878800,773667,510974.80900000,227596091.54147200,0
1616976000000,511.16700000,567.32000000,418.97100000,444.75900000,1054538.20900000,1617580799999,511615624.52705900,933882,533765.46000000,259558453.98670500,0
1617580800000,444.46400000,478.60000000,378.82300000,438.22700000,657231.57900000,1618185599999,292000734.93999100,523086,322934.09300000,143527716.14313300,0
1618185600000,438.22700000,485.54200000,371.95200000,405.80300000,781062.77900000,1618790399999,343785313.22406800,631561,376669.42600000,166121802.29542100,0
1618790400000,406.04600000,423.70300000,282.00000000,318.23000000,808856.44830000,1619395199999,278707124.83546700,557335,397727.18360000,137182881.25247300,0
1619395200000,318.23000000,442.00000000,314.96000000,413.75000000,546709.79340000,1619999999999,215616637.88647650,487037,281850.45880000,111118640.95865350,0
1620000000000,413.67000000,476.00000000,381.64000000,450.58000000,571949.88830000,1620604799999,245087373.05544600,512212,288652.22410000,123901000.77765900,0
1620604800000,451.01000000,620.00000000,378.65000000,541.47000000,1809184.13900000,1621209599999,948780513.69343200,1560535,915720.29290000,480645993.85261000,0
1621209600000,541.22000000,625.00000000,158.75000000,260.84000000,2837269.51400000,1621814399999,1146512682.49903000,2144243,1380554.68340000,561613421.33302800,0
1621814400000,260.61000000,372.98000000,251.78000000,309.12000000,1684693.91500000,1622419199999,522019605.98729000,1053921,836559.96220000,259355901.54253800,0
1622419200000,308.87000000,487.77000000,289.69000000,422.47000000,1640063.16380000,1623023999999,667757722.51062300,1246622,815907.92290000,332454667.78536300,0
1623024000000,422.59000000,537.00000000,342.35000000,434.10000000,2487329.57360000,1623628799999,1084367607.98560300,1932710,1216028.98910000,530806356.19593100,0
1623628800000,434.09000000,439.60000000,271.81000000,300.05000000,1454506.32820000,1624233599999,520752907.71988600,1054436,702922.77730000,251805281.94145800,0
1624233600000,300.25000000,302.77000000,156.69000000,179.40000000,2755955.41280000,1624838399999,552787093.11754200,1278711,1348310.85940000,270247146.08613300,0
1624838400000,179.39000000,238.45000000,175.50000000,209.92000000,2282009.58250000,1625443199999,475101654.28303200,1016073,1155062.25080000,240785235.70668900,0
1625443200000,209.89000000,244.72000000,192.11000000,210.88000000,1254448.85900000,1626047999999,273117755.27703700,601556,612480.03040000,133640599.34855100,0
1626048000000,210.98000000,213.43000000,175.58000000,181.22000000,818566.99510000,1626652799999,156591763.73309900,381499,391785.38820000,74964885.91515200,0
1626652800000,181.36000000,189.70000000,142.00000000,184.34000000,1087832.13150000,1627257599999,185153617.07912600,446798,557943.03820000,95194682.56311100,0
1627257600000,184.31000000,223.30000000,176.18000000,206.70000000,1144001.84280000,1627862399999,225243850.74940700,553257,577849.19630000,113999878.86341400,0
1627862400000,206.69000000,243.40000000,192.52000000,215.73000000,889310.46670000,1628467199999,194036512.33017400,507864,445769.23220000,97276206.85140500,0
1628467200000,215.78000000,300.00000000,207.10000000,273.69000000,1320264.81360000,1629071999999,339846372.16904600,813610,667138.99630000,171730360.56037400,0
1629072000000,273.83000000,353.00000000,261.01000000,330.65000000,1708703.63430000,1629676799999,527946062.41719400,1286495,858668.46690000,265620222.54211500,0
1629676800000,330.79000000,341.00000000,266.30000000,297.10000000,1131476.51740000,1630281599999,341805901.29378000,955272,555624.30430000,167516893.22519900,0
1630281600000,296.90000000,431.80000000,285.70000000,402.50000000,2329217.24140000,1630886399999,870407042.88717800,2588158,1153636.69480000,432340301.39137800,0
1630886400000,402.70000000,451.70000000,276.00000000,434.40000000,1849710.10680000,1631491199999,703006870.45448400,2724929,906176.68340000,344945936.19875400,0
1631491200000,434.30000000,446.70000000,376.50000000,400.60000000,807401.11600000,1632095999999,333016050.08260000,1481111,391989.74100000,161789687.71810000,0
1632096000000,400.70000000,402.30000000,296.80000000,324.00000000,806891.32800000,1632700799999,269532446.21820000,1227334,394093.94600000,131731986.25010000,0
1632700800000,323.90000000,364.90000000,308.30000000,346.30000000,549087.50400000,1633305599999,184067431.17010000,978306,272402.45000000,91312082.55340000,0
1633305600000,346.10000000,372.40000000,314.40000000,334.90000000,448406.51100000,1633910399999,155407023.97870000,1053114,219000.31800000,75976623.82760000,0
1633910400000,334.60000000,377.90000000,306.50000000,350.80000000,546259.95700000,1634515199999,189395636.36020000,1311183,271761.12300000,94320572.82040000,0
1634515200000,350.90000000,407.00000000,339.70000000,399.60000000,535623.57700000,1635119999999,200902781.20030000,1531030,279249.84200000,104635307.66450000,0
1635120000000,399.40000000,415.00000000,352.90000000,370.50000000,454391.43600000,1635724799999,172052881.77930000,955652,223996.18400000,84957436.79740000,0
1635724800000,370.50000000,514.30000000,359.40000000,512.10000000,634152.17460000,1636329599999,275847543.88707800,2424503,315742.21880000,137275262.67068800,0
1636329600000,511.90000000,519.10000000,383.20000000,433.90000000,416517.56300000,1636934399999,186760624.29433600,1079943,206237.30000000,92389435.72393600,0
1636934400000,433.90000000,442.00000000,327.40000000,364.70000000,419192.82500000,1637539199999,154861300.47780000,742043,190816.34100000,70490231.94740000,0
1637539200000,365.00000000,366.20000000,298.10000000,350.40000000,449691.18100000,1638143999999,150529115.09980000,773146,217339.83900000,72723729.26150000,0
1638144000000,350.10000000,405.00000000,252.20000000,294.70000000,430078.64120000,1638748799999,148271787.16220000,876145,212598.13280000,73528753.22985000,0
1638748800000,294.70000000,294.90000000,256.20000000,287.30000000,53841.63700000,1639353599999,14695727.32720000,77485,26065.82700000,7109685.44290000,0
