otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1615766400000,0.08500000,1.00000000,0.08500000,0.16920000,2718949114.57000000,1616371199999,624335487.64614400,1571763,1318187909.78000000,307020918.91438600,0
1616371200000,0.16950000,0.16980000,0.11180000,0.14540000,1445490075.72000000,1616975999999,200488508.57623300,635087,716040514.67000000,99345741.60965800,0
1616976000000,0.14540000,0.15450000,0.12130000,0.13140000,1100688559.22000000,1617580799999,154453394.80924700,532525,524936810.97000000,73702682.31265200,0
1617580800000,0.13160000,0.17400000,0.09870000,0.14890000,2580211898.52000000,1618185599999,363818706.19425800,1044403,1307034069.99000000,184798604.86889900,0
1618185600000,0.14880000,0.16100000,0.09400000,0.10660000,1599063145.91000000,1618790399999,206584736.04153800,705040,788622117.31000000,102343144.45587300,0
1618790400000,0.10680000,0.11410000,0.06930000,0.07430000,1801678401.14000000,1619395199999,161490522.64829700,571795,904951599.79000000,81264296.48223500,0
1619395200000,0.07430000,0.12460000,0.07340000,0.12440000,3445644655.45000000,1619999999999,348011258.85773200,934109,1747553664.79000000,176743695.41431600,0
1620000000000,0.12430000,0.13610000,0.09310000,0.09930000,3037901595.20000000,1620604799999,343014825.25435500,906245,1501736994.87000000,170013579.95538000,0
1620604800000,0.09940000,0.10220000,0.07000000,0.07500000,2054093664.02000000,1621209599999,170435791.58370100,510985,1013814877.47000000,84172575.34414500,0
1621209600000,0.07490000,0.07510000,0.03170000,0.03860000,4262032538.77000000,1621814399999,208645822.86378600,741066,2113975340.74000000,103473498.99446700,0
1621814400000,0.03860000,0.05400000,0.03720000,0.04050000,2532800111.46000000,1622419199999,111519992.28249900,410415,1260104597.97000000,55540361.24419800,0
1622419200000,0.04040000,0.05080000,0.03870000,0.04160000,1548760939.18000000,1623023999999,68186147.32635000,270008,770657819.52000000,33965180.70382300,0
1623024000000,0.04160000,0.04450000,0.03000000,0.03320000,1628230794.17000000,1623628799999,57621460.47465400,226204,775914913.18000000,27478867.78682400,0
1623628800000,0.03320000,0.03830000,0.02720000,0.02940000,1623349921.18000000,1624233599999,53738847.66351200,201133,787265637.61000000,26074042.21145600,0
1624233600000,0.02940000,0.02980000,0.02010000,0.02310000,1521351574.07000000,1624838399999,36058941.88219200,158679,735077548.96000000,17420259.02242000,0
1624838400000,0.02310000,0.03320000,0.02280000,0.03180000,1914854749.40000000,1625443199999,51600953.72914300,185749,963693963.94000000,26026856.59566300,0
1625443200000,0.03190000,0.04550000,0.02900000,0.03680000,5561570466.26000000,1626047999999,203109191.03932300,560164,2778870011.37000000,101606570.86117000,0
1626048000000,0.03680000,0.03930000,0.02970000,0.03100000,2639327511.92000000,1626652799999,89955626.18802900,268968,1294572956.39000000,44224496.55880800,0
1626652800000,0.03090000,0.03970000,0.02410000,0.03860000,2316055818.01000000,1627257599999,71721275.12248300,227350,1166412618.76000000,36251443.22180700,0
1627257600000,0.03860000,0.04500000,0.03210000,0.03880000,5403754047.09000000,1627862399999,211669980.17820400,538306,2700969011.83000000,105943764.25814300,0
1627862400000,0.03880000,0.04860000,0.03800000,0.04180000,3616663887.64000000,1628467199999,160225011.44364100,375407,1763408375.73000000,78163379.37783500,0
1628467200000,0.04190000,0.06140000,0.03910000,0.05750000,4824329239.74000000,1629071999999,244773404.25169200,543852,2428282143.99000000,123399194.86073400,0
1629072000000,0.05760000,0.06920000,0.04630000,0.06220000,3952164497.72000000,1629676799999,235125519.80215600,568524,1990857056.14000000,118557876.35650100,0
1629676800000,0.06230000,0.06600000,0.05024000,0.05957000,3190267809.73000000,1630281599999,184460398.39930880,412983,1594688047.99000000,92259402.93208300,0
1630281600000,0.05949000,0.06490000,0.05552000,0.06387000,2342472830.27000000,1630886399999,141763463.03635490,337627,1177374243.60000000,71298261.26687890,0
1630886400000,0.06392000,0.06661000,0.04106000,0.05215000,3064308558.67000000,1631491199999,155783022.34464720,536018,1511181145.21000000,76763663.64962320,0
1631491200000,0.05211000,0.05263000,0.04346000,0.04558000,1697464619.48000000,1632095999999,81777195.84523050,284034,841823333.88000000,40583658.18595330,0
1632096000000,0.04563000,0.04567000,0.03204000,0.03449000,1940235984.72000000,1632700799999,72535007.28934820,291223,972032086.26000000,36342939.78213900,0
1632700800000,0.03448000,0.04399000,0.03169000,0.04066000,1905341618.74000000,1633305599999,70401308.03935010,271202,947659972.60000000,35008699.26143990,0
1633305600000,0.04066000,0.06100000,0.03710000,0.05267000,7055002234.97000000,1633910399999,354442492.98763670,1080021,3563829148.11000000,179025613.08138560,0
1633910400000,0.05268000,0.06400000,0.04731000,0.05507000,3766689176.60000000,1634515199999,204798586.39199540,631100,1901741088.94000000,103587956.86632650,0
1634515200000,0.05519000,0.05889000,0.04931000,0.05074000,1513122634.73000000,1635119999999,82320068.75271650,277864,742264705.39000000,40418352.75309490,0
1635120000000,0.05070000,0.05525000,0.04060000,0.05157000,2258246932.67000000,1635724799999,111393743.13909540,443086,1115689254.65000000,55146478.96422580,0
1635724800000,0.05154000,0.08729000,0.04919000,0.07392000,6613420169.59000000,1636329599999,456498074.95244840,1372557,3329651632.64000000,229666036.51655180,0
1636329600000,0.07388000,0.07900000,0.05500000,0.06217000,3663761320.93000000,1636934399999,245971303.90089940,802679,1791492322.30000000,120522177.96781440,0
1636934400000,0.06215000,0.07285000,0.04600000,0.07184000,3152501268.36000000,1637539199999,182152077.19712480,596187,1590879093.46000000,92168091.41578810,0
1637539200000,0.07175000,0.07300000,0.04718000,0.05283000,3315810778.90000000,1638143999999,196273797.22822280,668912,1615505198.72000000,95668796.15693360,0
1638144000000,0.05283000,0.06172000,0.03200000,0.03840000,3162913855.70000000,1638748799999,155004188.74410900,513493,1582079338.63000000,77722167.76020150,0
1638748800000,0.03841000,0.03918000,0.03379000,0.03831000,361134231.56000000,1639353599999,13109421.69114080,49998,173488406.21000000,6304404.81156730,0
