otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609459200000,0.16945000,0.18173000,0.16695000,0.17503000,12308078.30000000,1609545599999,2159667.70984500,14374,6550875.30000000,1149791.63879100,0
1609545600000,0.17507000,0.17937000,0.16974000,0.17546000,7425720.20000000,1609631999999,1298513.30918900,10143,3858537.80000000,674300.00059100,0
1609632000000,0.17570000,0.27885000,0.17500000,0.27500000,48780505.80000000,1609718399999,11003692.96505500,72509,26017046.90000000,5890680.59583200,0
1609718400000,0.27499000,0.38658000,0.24000000,0.36324000,218763698.30000000,1609804799999,68813459.25965200,279256,117610439.40000000,36977781.27465000,0
1609804800000,0.36313000,0.62167000,0.34981000,0.49098000,438219069.40000000,1609891199999,214940552.83896500,537254,221670833.00000000,108804063.47728800,0
1609891200000,0.49078000,0.51908000,0.40000000,0.40901000,234660453.90000000,1609977599999,106473164.58574100,299054,117668947.80000000,53354294.12811800,0
1609977600000,0.40976000,0.44996000,0.35000000,0.36919000,98708764.20000000,1610063999999,40655419.80585000,140634,50889882.20000000,21027913.13997700,0
1610064000000,0.37032000,0.38880000,0.31495000,0.34912000,52988876.70000000,1610150399999,18777748.92090600,76851,26341968.40000000,9343868.57817300,0
1610150400000,0.34946000,0.43000000,0.34640000,0.38420000,81106000.90000000,1610236799999,32587696.83235500,111151,43492220.20000000,17481822.30591300,0
1610236800000,0.38487000,0.40965000,0.32657000,0.35119000,37350051.90000000,1610323199999,14070176.48512200,69840,19096656.70000000,7209861.46239500,0
1610323200000,0.35224000,0.35237000,0.26301000,0.31315000,49629219.60000000,1610409599999,15240805.03654300,61619,24790335.90000000,7605667.53102500,0
1610409600000,0.31321000,0.34943000,0.30000000,0.32340000,35941315.10000000,1610495999999,11818323.34620700,48438,18421065.50000000,6059980.27060500,0
1610496000000,0.32381000,0.41400000,0.30847000,0.41241000,48985610.40000000,1610582399999,17374538.57046700,65949,25517320.10000000,9081201.73543100,0
1610582400000,0.41321000,0.44839000,0.37999000,0.40520000,54092989.70000000,1610668799999,22297740.06419200,81809,27785997.90000000,11462608.16213400,0
1610668800000,0.40522000,0.41434000,0.34500000,0.38685000,31352090.00000000,1610755199999,12081945.45099300,51988,15412392.90000000,5942238.20301600,0
1610755200000,0.38611000,0.42029000,0.37307000,0.38810000,26849060.60000000,1610841599999,10643238.23795100,45514,14628917.60000000,5802971.72122400,0
1610841600000,0.38830000,0.43902000,0.36216000,0.42289000,32273682.50000000,1610927999999,12811203.66680600,51462,16523626.00000000,6559948.36970400,0
1610928000000,0.42297000,0.43005000,0.39193000,0.41443000,25546248.10000000,1611014399999,10478210.38589800,45545,13283000.30000000,5449089.99554400,0
1611014400000,0.41396000,0.51759000,0.41306000,0.46694000,69628491.80000000,1611100799999,32556126.04470600,113262,36618403.20000000,17126574.15116500,0
1611100800000,0.46610000,0.48943000,0.39183000,0.45791000,45907877.20000000,1611187199999,20078079.31207900,80741,22259975.10000000,9731216.77622300,0
1611187200000,0.45788000,0.46177000,0.36520000,0.36705000,30213880.90000000,1611273599999,12246180.03641900,49742,14928599.50000000,6075803.39205600,0
1611273600000,0.36754000,0.41966000,0.33651000,0.39836000,21230203.10000000,1611359999999,8232793.33165500,43326,10336329.30000000,4009384.70487800,0
