otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609459200000,38.65900000,45.46900000,37.39300000,40.86400000,316221.85000000,1609545599999,13330675.48489000,12373,161666.37000000,6702870.37608000,0
1609545600000,40.63100000,58.11500000,37.60400000,53.22800000,361250.33000000,1609631999999,16682384.90341000,17401,161351.73000000,7249542.80513000,0
1609632000000,53.22900000,75.96000000,51.90000000,72.80100000,245576.92000000,1609718399999,15424904.49108000,22843,129597.30000000,8174656.63568000,0
1609718400000,72.49700000,85.50900000,53.41700000,66.59800000,342238.33000000,1609804799999,23048628.16110000,23451,159111.72000000,10761319.42015000,0
1609804800000,66.56100000,72.79200000,56.96100000,69.22600000,197312.39000000,1609891199999,13067068.89711000,13308,100373.10000000,6613019.81946000,0
1609891200000,69.29400000,82.00000000,66.27500000,79.94000000,144798.95000000,1609977599999,10443453.79208000,12848,96263.77000000,6848407.39641000,0
1609977600000,80.16800000,91.80700000,73.00000000,79.99500000,118783.48000000,1610063999999,9644648.10049000,14607,65296.85000000,5310211.77893000,0
1610064000000,79.73800000,90.71800000,61.07000000,81.75700000,139637.53000000,1610150399999,10912012.54821000,14695,67251.11000000,5304185.56765000,0
1610150400000,81.80600000,87.87400000,73.01200000,86.25000000,67531.39000000,1610236799999,5429417.29752000,8743,34799.60000000,2802601.30861000,0
1610236800000,86.00100000,94.79100000,65.00000000,74.12600000,196627.56000000,1610323199999,15637594.15366000,16739,92950.96000000,7432764.23185000,0
1610323200000,74.12600000,74.42900000,19.65400000,30.08400000,1473439.60000000,1610409599999,43336892.59756000,56674,734931.26000000,21533917.73173000,0
1610409600000,30.00100000,34.00000000,24.20000000,26.87200000,469811.88000000,1610495999999,13635067.43880000,21117,227354.01000000,6625596.94409000,0
1610496000000,26.73400000,35.64500000,22.60000000,35.02200000,345439.13000000,1610582399999,9966604.17429000,16569,182408.72000000,5285885.86073000,0
1610582400000,34.80900000,40.12800000,32.71400000,37.68900000,263651.91000000,1610668799999,9485427.32210000,17895,137587.86000000,4954983.88669000,0
1610668800000,37.55200000,39.78400000,22.69600000,29.31300000,392112.69000000,1610755199999,12315321.30290000,18994,195048.90000000,6211360.98951000,0
1610755200000,29.18200000,33.30000000,27.58400000,28.95800000,217416.42000000,1610841599999,6569824.58316000,11942,121894.01000000,3679439.09772000,0
1610841600000,28.88000000,30.60000000,25.48000000,28.30100000,197620.96000000,1610927999999,5452117.53688000,9641,86545.87000000,2417673.67753000,0
1610928000000,28.33000000,33.39700000,26.50000000,31.89200000,219454.60000000,1611014399999,6727063.27501000,9563,130250.60000000,4018593.10118000,0
1611014400000,31.99800000,37.89200000,31.04500000,31.76000000,315832.29000000,1611100799999,10852900.08424000,14118,139728.30000000,4833798.96102000,0
1611100800000,31.72800000,33.36200000,25.94600000,30.67300000,210187.41000000,1611187199999,6249278.22439000,11413,99131.87000000,2952508.37790000,0
1611187200000,30.69300000,30.75000000,20.73800000,22.47800000,223251.49000000,1611273599999,5662879.58587000,12545,124744.26000000,3209194.81265000,0
1611273600000,22.29200000,27.60000000,19.58700000,25.73400000,255094.11000000,1611359999999,6342797.84031000,12460,155303.35000000,3884665.06158000,0
1611360000000,25.50300000,28.52000000,24.18200000,25.48200000,128625.54000000,1611446399999,3355600.39537000,7827,64769.75000000,1692662.31586000,0
1611446400000,25.29100000,28.17000000,22.97500000,27.20100000,168368.52000000,1611532799999,4428125.09109000,8460,87561.87000000,2305177.06801000,0
1611532800000,27.20200000,31.00000000,24.85100000,25.13500000,253502.31000000,1611619199999,7161812.05970000,12074,130072.30000000,3675740.55578000,0
1611619200000,25.19400000,26.50100000,20.70200000,23.73100000,171723.30000000,1611705599999,4058525.59688000,8964,84461.17000000,2000967.07280000,0
1611705600000,23.76900000,23.76900000,16.30000000,18.00100000,256628.98000000,1611791999999,4974470.91658000,11555,124511.34000000,2418537.56894000,0
