otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609718400000,161.23000000,185.83000000,139.31000000,170.07000000,16742640.15236000,1610323199999,2763712715.12853730,5014025,8324042.81467000,1375285406.82120640,0
1610323200000,170.06000000,170.74000000,112.70000000,142.80000000,17269658.86336000,1610927999999,2425320651.36380610,4811263,8615993.05689000,1210664244.78736290,0
1610928000000,142.78000000,166.02000000,122.70000000,141.01000000,11952839.29503000,1611532799999,1724652375.19937980,3796719,6004823.88855000,866560090.90367620,0
1611532800000,141.01000000,147.87000000,118.13000000,129.36000000,9115731.35419000,1612137599999,1221246405.50823260,2919490,4558775.97464000,611085786.02132670,0
1612137600000,129.37000000,164.27000000,125.95000000,150.76000000,11351440.19258000,1612742399999,1687844267.03270100,3074027,5598263.43101000,832004447.17546660,0
1612742400000,150.76000000,230.77000000,147.76000000,213.49000000,14877666.19043000,1613347199999,2808186863.44225670,4795331,7458572.35069000,1408033913.56352310,0
1613347200000,213.47000000,247.04000000,185.31000000,227.13000000,11627003.44190000,1613951999999,2586194967.30977680,4525221,5805378.34083000,1292316878.23467550,0
1613952000000,227.17000000,227.39000000,152.88000000,165.22000000,14992290.10617000,1614556799999,2735761489.56720530,4547889,7470026.14015000,1362735350.02685750,0
1614556800000,165.27000000,196.49000000,163.30000000,190.75000000,8955521.50650000,1615161599999,1623073484.97218810,3449895,4493173.78201000,814151902.34766420,0
1615161600000,190.75000000,230.23000000,179.58000000,213.94000000,9074027.40775000,1615766399999,1865163411.93024620,4111970,4572846.24622000,939498257.67759500,0
1615766400000,214.00000000,222.58000000,191.15000000,195.31000000,5728744.27831000,1616371199999,1157744238.19197440,2747392,2839021.52749000,573840156.91270340,0
1616371200000,195.33000000,199.00000000,167.86000000,184.24000000,5089196.05329000,1616975999999,935298414.32362500,2502395,2509287.99194000,461230794.06714110,0
1616976000000,184.22000000,217.97000000,182.45000000,202.21000000,5876287.44302000,1617580799999,1173849519.72545920,2902596,2953709.03185000,590042771.24461310,0
1617580800000,202.24000000,263.62000000,198.07000000,252.31000000,11551978.16281000,1618185599999,2671295999.75737140,4789271,5836822.03534000,1350531810.63971180,0
