otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609459200000,0.13164000,0.13663000,0.12559000,0.13060000,7790297.20000000,1609545599999,1018897.80289700,6840,3596107.00000000,472300.81333000,0
1609545600000,0.12956000,0.13292000,0.11600000,0.12376000,12641805.40000000,1609631999999,1569567.91327100,8166,5290562.40000000,658043.17944100,0
1609632000000,0.12485000,0.14200000,0.12228000,0.13610000,9320368.50000000,1609718399999,1223333.59088200,7899,5025382.10000000,663169.64254300,0
1609718400000,0.13682000,0.18620000,0.13609000,0.16930000,29326859.10000000,1609804799999,4801143.78992800,28171,15957630.60000000,2632227.48066200,0
1609804800000,0.16930000,0.20345000,0.16685000,0.18574000,28634895.20000000,1609891199999,5353196.06419900,31552,14096544.50000000,2640217.64055400,0
1609891200000,0.18574000,0.20228000,0.17350000,0.19150000,11972143.80000000,1609977599999,2236091.06039300,16196,6113892.50000000,1146768.13899900,0
1609977600000,0.19149000,0.20512000,0.17355000,0.19278000,10656754.40000000,1610063999999,2010445.70610100,14036,5600780.40000000,1058262.06381200,0
1610064000000,0.19266000,0.23244000,0.17255000,0.21927000,22495900.00000000,1610150399999,4743640.59130200,27107,10033085.70000000,2112772.32822000,0
1610150400000,0.21790000,0.25000000,0.21020000,0.21626000,14081991.70000000,1610236799999,3216671.91433200,21288,7081272.60000000,1625953.55923100,0
1610236800000,0.21601000,0.22890000,0.19548000,0.21919000,9727105.80000000,1610323199999,2080747.56440200,13809,4242336.70000000,910262.69647700,0
1610323200000,0.21903000,0.22017000,0.15700000,0.18850000,14090694.90000000,1610409599999,2577431.22998800,16094,6379894.50000000,1170302.96913500,0
1610409600000,0.18850000,0.19431000,0.16750000,0.17396000,10779861.70000000,1610495999999,1971368.99710700,10711,5448002.40000000,997194.37603100,0
1610496000000,0.17375000,0.20800000,0.16627000,0.19492000,9077173.60000000,1610582399999,1624756.64838300,10480,4384527.50000000,786470.26191600,0
1610582400000,0.19498000,0.20336000,0.18002000,0.18686000,6569937.50000000,1610668799999,1254503.65665600,8139,2991535.50000000,570296.34478300,0
1610668800000,0.18663000,0.19232000,0.16500000,0.18833000,7577634.50000000,1610755199999,1380049.64418600,10081,3604693.00000000,658874.46640700,0
1610755200000,0.18811000,0.20660000,0.18469000,0.18762000,7865778.30000000,1610841599999,1524819.08622300,10519,3924546.00000000,761096.84626800,0
1610841600000,0.18763000,0.22100000,0.17920000,0.21210000,8705510.60000000,1610927999999,1716880.94055900,11910,4875132.30000000,965669.95335300,0
1610928000000,0.21253000,0.25997000,0.21133000,0.25708000,12272457.60000000,1611014399999,2831630.91643000,17205,6288151.30000000,1451545.62331300,0
1611014400000,0.25723000,0.27662000,0.23313000,0.23550000,89671497.00000000,1611100799999,22579425.36416100,53567,46700236.80000000,11745670.02793200,0
1611100800000,0.23550000,0.25281000,0.20680000,0.24998000,54085203.10000000,1611187199999,12748574.71986400,37588,28755169.80000000,6771419.82996600,0
1611187200000,0.25001000,0.26643000,0.19401000,0.20580000,15472350.80000000,1611273599999,3603558.09071900,16936,7477891.70000000,1740722.26337700,0
1611273600000,0.20503000,0.24070000,0.18500000,0.23505000,51876633.20000000,1611359999999,11175531.98419500,25260,28718626.30000000,6168255.46385000,0
1611360000000,0.23555000,0.24000000,0.21455000,0.22502000,11168245.10000000,1611446399999,2535177.03179500,10734,5579399.00000000,1265267.73633800,0
