otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609718400000,0.13682000,0.25000000,0.13609000,0.21919000,126895650.00000000,1610323199999,24441936.69065700,152159,63125543.00000000,12126463.90795500,0
1610323200000,0.21903000,0.22100000,0.15700000,0.21210000,64666591.10000000,1610927999999,12049810.20310200,77934,31608331.20000000,5909905.21789300,0
1610928000000,0.21253000,0.27662000,0.18500000,0.23287000,242181033.90000000,1611532799999,57262265.44521100,171857,127020532.20000000,29963216.56807500,0
1611532800000,0.23416000,0.24475000,0.18600000,0.19630000,45893913.60000000,1612137599999,9503278.17378100,63517,20363605.70000000,4220066.47028300,0
1612137600000,0.19620000,0.27691000,0.18950000,0.23743000,53375699.00000000,1612742399999,12561047.53644400,105399,26822920.20000000,6339455.47109000,0
1612742400000,0.23792000,0.44659000,0.23368000,0.37105000,77254772.50000000,1613347199999,26134236.44255600,162166,37797944.70000000,12792062.78193900,0
1613347200000,0.37086000,0.42000000,0.31320000,0.37281000,65802125.90000000,1613951999999,24620585.01433500,119443,32423591.10000000,12162803.16601000,0
1613952000000,0.37227000,0.37430000,0.23398000,0.30570000,55947975.30000000,1614556799999,16840946.48086600,90679,26326996.40000000,7933268.87841600,0
1614556800000,0.30590000,0.63500000,0.30300000,0.55978000,118904509.50000000,1615161599999,53097058.03753600,200487,59605750.40000000,26573217.43060600,0
1615161600000,0.55977000,0.64480000,0.48577000,0.50006000,173722455.70000000,1615766399999,97365064.26856900,393074,84709217.20000000,47549551.25771600,0
1615766400000,0.50001000,0.64660000,0.45101000,0.59311000,96150864.40000000,1616371199999,52801187.81920600,227243,48024936.10000000,26408764.71181200,0
1616371200000,0.59311000,0.84800000,0.50618000,0.78070000,163825131.10000000,1616975999999,112421888.69362400,371885,80384441.80000000,55417641.58939300,0
1616976000000,0.78398000,0.89970000,0.74013000,0.76444000,87479545.40000000,1617580799999,71026683.06867300,254571,43105888.30000000,35085802.56101900,0
1617580800000,0.76401000,0.90900000,0.71000000,0.76838000,75470002.10000000,1618185599999,60913977.12798600,246484,36620288.80000000,29628868.55470800,0
1618185600000,0.76823000,0.80400000,0.54441000,0.61444000,79860975.80000000,1618790399999,54985662.24112900,206809,38854015.10000000,26796133.84476100,0
1618790400000,0.61680000,0.65616000,0.36013000,0.43745000,103089471.60000000,1619395199999,48791386.15712800,172440,52503772.30000000,24995244.53017800,0
1619395200000,0.43729000,0.77434000,0.42736000,0.62421000,155178579.90000000,1619999999999,96315496.33313300,366648,76953241.70000000,47846438.71357400,0
1620000000000,0.62496000,0.65375000,0.53662000,0.56540000,75078381.40000000,1620604799999,44224201.39871400,198957,37491223.70000000,22112387.36807300,0
1620604800000,0.56540000,0.58381000,0.40110000,0.43250000,70733149.00000000,1621209599999,33371741.55401700,146003,35244299.70000000,16617862.04676200,0
1621209600000,0.43231000,0.43341000,0.13675000,0.17098000,116350041.00000000,1621814399999,30753850.84672700,146924,56048332.20000000,14858666.66581500,0
1621814400000,0.17104000,0.26995000,0.16759000,0.20654000,162483471.90000000,1622419199999,37359782.89873100,124588,83371678.40000000,19191250.33723100,0
1622419200000,0.20661000,0.28996000,0.19362000,0.23614000,86048886.00000000,1623023999999,20695240.38673700,87296,45404414.10000000,10990587.39768000,0
1623024000000,0.23614000,0.31322000,0.19898000,0.26049000,211340261.80000000,1623628799999,53843796.78015900,225146,107364597.90000000,27430669.93596200,0
1623628800000,0.26081000,0.26855000,0.18559000,0.20852000,78321250.40000000,1624233599999,18074404.42402100,92367,39761416.60000000,9143909.53673400,0
1624233600000,0.20852000,0.21067000,0.13000000,0.16769000,85547081.40000000,1624838399999,14421297.69471500,83309,42619072.70000000,7201430.05336400,0
1624838400000,0.16755000,0.18500000,0.15620000,0.17022000,37693133.90000000,1625443199999,6441205.32888400,40923,19726785.50000000,3372344.90799100,0
1625443200000,0.16971000,0.20891000,0.15762000,0.17536000,54296497.60000000,1626047999999,9635692.37915000,54384,27308857.70000000,4844177.14920600,0
1626048000000,0.17453000,0.19550000,0.15272000,0.16045000,72411527.70000000,1626652799999,12531379.42622100,64750,35416449.90000000,6132608.89837000,0
1626652800000,0.16046000,0.18813000,0.13423000,0.16260000,97870199.70000000,1627257599999,16011727.27054300,86581,51457936.80000000,8446834.76576100,0
1627257600000,0.16317000,0.31500000,0.16079000,0.26864000,575557068.80000000,1627862399999,137301064.44159300,516865,289953814.10000000,69402004.52471600,0
1627862400000,0.26860000,0.32251000,0.22938000,0.25179000,434164501.00000000,1628467199999,118152062.34401400,452742,215353479.50000000,58711340.71938700,0
1628467200000,0.25241000,0.34794000,0.24412000,0.31790000,318953454.00000000,1629071999999,95992029.07984700,380980,161773442.30000000,48718211.50907300,0
1629072000000,0.31717000,0.34530000,0.26580000,0.30957000,127540253.00000000,1629676799999,39139629.49486300,196056,65056279.40000000,19984128.97306700,0
1629676800000,0.31018000,0.32090000,0.25000000,0.28640000,114958901.50000000,1630281599999,33524627.69425200,170238,57398311.50000000,16757226.44589700,0
1630281600000,0.28640000,0.37540000,0.27020000,0.33330000,227396334.60000000,1630886399999,72510885.79284300,330664,115692981.30000000,37017345.97585300,0
1630886400000,0.33330000,0.37820000,0.26100000,0.30340000,144122204.40000000,1631491199999,46021743.02801000,237930,71486949.40000000,22886721.53601000,0
1631491200000,0.30330000,0.35000000,0.26800000,0.29420000,97914180.00000000,1632095999999,29396409.83430000,139909,50086415.00000000,15097253.37920000,0
1632096000000,0.29350000,0.36930000,0.21340000,0.28470000,283733741.60000000,1632700799999,80065568.58051000,331278,141504720.50000000,39922540.87749000,0
1632700800000,0.28400000,0.29400000,0.23160000,0.27370000,125881051.00000000,1633305599999,32866220.39190000,163847,61878614.00000000,16146048.21820000,0
1633305600000,0.27370000,0.31480000,0.25200000,0.28080000,109844717.00000000,1633910399999,30827200.05060000,139222,52759550.00000000,14819898.51890000,0
1633910400000,0.28120000,0.33900000,0.26060000,0.28890000,107187465.00000000,1634515199999,31316226.68710000,130294,54772106.00000000,16073129.90500000,0
1634515200000,0.28890000,0.30570000,0.26400000,0.26790000,61848609.00000000,1635119999999,17346139.82570000,82778,29139786.00000000,8178141.54590000,0
1635120000000,0.26790000,0.30560000,0.24300000,0.28930000,96267558.00000000,1635724799999,26488642.96560000,138078,47498500.00000000,13080711.29620000,0
1635724800000,0.28980000,0.31980000,0.26800000,0.29740000,121253317.00000000,1636329599999,35319381.59170000,159466,66206929.00000000,19302626.43240000,0
1636329600000,0.29770000,0.79420000,0.29060000,0.69800000,1119710597.10000000,1636934399999,580411355.07679900,1901172,582862494.10000000,299782236.07829900,0
1636934400000,0.69710000,0.81810000,0.45150000,0.60790000,421576532.70000000,1637539199999,265252686.28909400,954954,205726110.00000000,129834959.54672400,0
1637539200000,0.60730000,0.65740000,0.44180000,0.48600000,157885935.00000000,1638143999999,88444111.49790000,455522,77503162.00000000,43501777.32470000,0
1638144000000,0.48610000,0.54740000,0.28600000,0.32590000,195334218.00000000,1638748799999,88240235.46470000,750498,122439305.00000000,55167248.05110000,0
1638748800000,0.32540000,0.33830000,0.28020000,0.33210000,31170055.00000000,1639353599999,9602173.00240000,85422,20617648.00000000,6371506.82310000,0
