otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609718400000,0.65860000,0.95650000,0.62940000,0.84350000,89176013.40000000,1610323199999,69823372.21431200,213149,38949403.85000000,30708864.85091700,0
1610323200000,0.84360000,0.90380000,0.69740000,0.80740000,74849603.85000000,1610927999999,59760356.79164400,175358,35408998.81000000,28288735.78939100,0
1610928000000,0.80750000,1.00310000,0.77020000,0.90760000,65265524.10000000,1611532799999,57319485.05884000,161367,29864697.56000000,26106174.07543400,0
1611532800000,0.90760000,1.71000000,0.86510000,1.45800000,272757835.53000000,1612137599999,362159119.70270400,862690,127304030.10000000,167795969.03472300,0
1612137600000,1.45780000,3.15000000,1.41600000,3.08200000,218055672.24000000,1612742399999,498336811.00212300,1157195,105882578.75000000,242444092.63624900,0
1612742400000,3.08200000,8.44480000,3.06100000,5.63670000,212810872.18000000,1613347199999,1183104913.93004900,1819657,106078407.63000000,591162311.99071400,0
1613347200000,5.63750000,7.53580000,4.96000000,6.12070000,112695434.85000000,1613951999999,706131414.31963200,1250131,53806214.90000000,337020257.32462300,0
1613952000000,6.12060000,8.47000000,4.97650000,5.35310000,115049864.20000000,1614556799999,767895748.80743600,1139253,53233096.17000000,356023201.45346300,0
1614556800000,5.35110000,9.00000000,5.32800000,8.24050000,91158619.96000000,1615161599999,684973476.23959700,1001206,44224415.47000000,332557987.29940100,0
1615161600000,8.25050000,17.50000000,8.08610000,15.80630000,91559378.23000000,1615766399999,1086024711.98313700,1468631,46085128.56000000,545763751.92218400,0
1615766400000,15.82450000,22.40000000,14.60130000,21.90000000,78338579.12000000,1616371199999,1481623381.21940600,1688504,37669068.18000000,714091662.11582500,0
1616371200000,21.91090000,21.99220000,15.71110000,18.53370000,46402030.87000000,1616975999999,841087109.01773300,1057957,22382826.24000000,404661134.30523500,0
1616976000000,18.53100000,19.54140000,17.66590000,18.16780000,27419221.98000000,1617580799999,509494284.94388200,539559,14766805.69000000,274416975.64906200,0
