otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609718400000,0.08117000,0.16167000,0.07500000,0.10655000,670351498.90000000,1610323199999,77511977.03593000,445464,348935488.40000000,40523446.49840600,0
1610323200000,0.10681000,0.12065000,0.08000000,0.11075000,346092863.00000000,1610927999999,36578267.19770600,260134,180270168.50000000,19070676.66161000,0
1610928000000,0.11075000,0.20296000,0.10263000,0.17174000,803812910.90000000,1611532799999,122871522.90877000,563602,421725350.40000000,64771556.05379700,0
1611532800000,0.17200000,0.18060000,0.14010000,0.15468000,288968611.10000000,1612137599999,45594540.93283400,247604,144647714.00000000,22856117.25431200,0
1612137600000,0.15493000,0.28368000,0.14513000,0.23721000,608218380.40000000,1612742399999,131034197.73120500,533453,309505116.00000000,66781185.49970100,0
1612742400000,0.23726000,0.37600000,0.22600000,0.31203000,541096769.80000000,1613347199999,157489704.18500400,546837,279534706.90000000,81592840.99734700,0
1613347200000,0.31135000,0.35890000,0.25678000,0.31345000,346670632.70000000,1613951999999,105078345.50425000,401737,174216173.80000000,52880707.91217100,0
1613952000000,0.31380000,0.32842000,0.18600000,0.23691000,348670430.40000000,1614556799999,88223095.36244500,324338,174677856.90000000,44164587.07823700,0
1614556800000,0.23711000,0.44735000,0.23395000,0.40120000,721381733.30000000,1615161599999,261942162.94805800,836052,360814858.70000000,131287534.62112700,0
1615161600000,0.40128000,1.21500000,0.40127000,1.01400000,2065290376.60000000,1615766399999,1634589622.41911700,2842056,1046741007.70000000,826106832.35286100,0
1615766400000,1.01447000,1.14438000,0.77500000,0.98207000,900604671.80000000,1616371199999,887977250.79697300,1960484,455400844.60000000,449486427.14020300,0
1616371200000,0.98030000,1.18315000,0.80000000,1.14178000,522619267.70000000,1616975999999,501227383.19444500,1181638,264613425.00000000,253700748.47852500,0
1616976000000,1.14300000,1.18000000,0.90756000,1.00304000,420417354.50000000,1617580799999,441050523.89537200,1007758,210938499.50000000,221359220.11078000,0
1617580800000,1.00402000,1.15300000,0.83460000,1.07064000,344700414.30000000,1618185599999,346040349.40975100,858343,178023940.30000000,179063009.25199300,0
1618185600000,1.07272000,1.67000000,1.00209000,1.35348000,597502266.10000000,1618790399999,756280102.09527100,1831817,307796762.10000000,389868587.38650200,0
1618790400000,1.35099000,1.47985000,0.90199000,1.09520000,435881585.26000000,1619395199999,556718910.27149090,1220074,222418228.96000000,284677369.53900660,0
1619395200000,1.09540000,1.55790000,1.08250000,1.40820000,258816918.53000000,1619999999999,359640617.97552340,939136,133523926.26000000,185454422.65403340,0
1620000000000,1.40990000,1.60230000,1.23760000,1.49230000,219554515.73000000,1620604799999,312954964.96519900,847814,112702549.01000000,160845552.09353700,0
1620604800000,1.49130000,1.51500000,1.09560000,1.17970000,162940445.63000000,1621209599999,212947192.14412800,602806,84528516.09000000,110294771.33445200,0
1621209600000,1.17970000,1.26260000,0.48930000,0.62020000,371151932.87000000,1621814399999,326746817.75516200,1013764,192585744.46000000,170305372.23745100,0
1621814400000,0.62120000,1.01890000,0.58800000,0.78130000,273381371.15000000,1622419199999,222722118.16255900,754704,140361042.38000000,114509994.13788100,0
1622419200000,0.78210000,0.90390000,0.73840000,0.82160000,110536577.80000000,1623023999999,92054903.52643500,351414,55860914.68000000,46520798.41991800,0
1623024000000,0.82160000,0.83330000,0.62660000,0.69340000,115592562.75000000,1623628799999,82428421.37339700,321378,58293531.33000000,41549331.88414300,0
1623628800000,0.69300000,0.76120000,0.57750000,0.62300000,79566932.76000000,1624233599999,54905257.71541500,221754,39895865.43000000,27510428.85936500,0
1624233600000,0.62280000,0.62720000,0.37150000,0.49380000,127691186.84000000,1624838399999,61398439.62269700,303337,64593198.38000000,31027198.14164700,0
1624838400000,0.49410000,0.59920000,0.48400000,0.58070000,80709732.47000000,1625443199999,43985829.77026100,222982,40757765.21000000,22209742.68333900,0
1625443200000,0.58070000,0.84760000,0.53000000,0.74390000,487459821.56000000,1626047999999,344695082.32804500,1114899,243674393.84000000,172205754.30966300,0
1626048000000,0.74450000,0.75750000,0.58620000,0.61150000,325626053.33000000,1626652799999,217429393.97858500,664722,164806865.07000000,109934863.68422100,0
1626652800000,0.61140000,0.75700000,0.49170000,0.70970000,312257605.70000000,1627257599999,200182950.07350200,561677,154497126.90000000,98969745.35657000,0
1627257600000,0.70960000,0.76060000,0.63800000,0.68470000,259632849.50000000,1627862399999,182847243.84834100,534247,129433402.47000000,91155177.63791100,0
1627862400000,0.68470000,0.77960000,0.66180000,0.71980000,177870115.78000000,1628467199999,129219729.92829300,391397,87659030.34000000,63734521.50475800,0
1628467200000,0.71980000,0.86960000,0.69370000,0.86910000,249027446.20000000,1629071999999,202005969.09160900,741962,124888655.00000000,101348160.11966000,0
1629072000000,0.86910000,0.94900000,0.74670000,0.88360000,274357199.85000000,1629676799999,234491458.99272900,695094,134761649.18000000,115191642.11785100,0
1629676800000,0.88340000,1.05000000,0.82190000,1.02360000,383477914.56000000,1630281599999,353835941.54802100,1062252,190705997.92000000,176007093.14509500,0
1630281600000,1.02370000,1.10670000,0.91570000,1.07840000,304255452.91000000,1630886399999,305946773.15801000,923076,152390036.94000000,153105827.73834500,0
1630886400000,1.07840000,1.07840000,0.73360000,0.84610000,207956197.66000000,1631491199999,184795876.35260500,641158,103625010.16000000,92064516.54111500,0
1631491200000,0.84560000,0.88270000,0.76060000,0.79940000,100953603.00000000,1632095999999,83584667.21010000,331394,51692013.00000000,42793312.74190000,0
1632096000000,0.79950000,0.80080000,0.59620000,0.71110000,149129796.98000000,1632700799999,104341927.88823100,443388,75069667.16000000,52495559.88713700,0
1632700800000,0.71030000,0.78190000,0.61570000,0.76780000,120113225.00000000,1633305599999,83370385.24130000,361634,64014128.00000000,44313705.51560000,0
1633305600000,0.76810000,0.84210000,0.72150000,0.76800000,155141077.00000000,1633910399999,121588777.85770000,559559,78855591.00000000,61786587.20330000,0
1633910400000,0.76850000,0.86520000,0.71150000,0.76450000,124452180.00000000,1634515199999,97234297.81670000,420077,61663450.00000000,48143999.31350000,0
1634515200000,0.76490000,0.84490000,0.73210000,0.77780000,109401087.00000000,1635119999999,86118775.68730000,322822,55339186.00000000,43590143.01830000,0
1635120000000,0.77770000,4.94550000,0.71020000,2.88500000,4166836649.57000000,1635724799999,10080046846.77577300,20124306,2106094198.68000000,5099633859.33759000,0
1635724800000,2.88540000,3.54000000,2.33580000,2.82440000,2073654493.00000000,1636329599999,6084854558.84700000,13183989,1035421347.00000000,3042464767.06020000,0
1636329600000,2.82560000,3.80500000,2.20000000,3.21270000,1450379957.00000000,1636934399999,4476037428.48130000,10825014,721949683.00000000,2229129286.26450000,0
1636934400000,3.21270000,4.36310000,2.73650000,3.64710000,1666995564.00000000,1637539199999,6049021598.67240000,13385009,830124274.00000000,3013843621.40970000,0
1637539200000,3.64710000,5.90000000,3.52210000,5.14290000,1792232193.78000000,1638143999999,8422710610.84967100,19195736,897472906.78000000,4221276078.74367100,0
1638144000000,5.14590000,5.23000000,2.50000000,3.68620000,757450626.00000000,1638748799999,3169432891.54900000,7313438,372104254.00000000,1559606659.56390000,0
1638748800000,3.68630000,3.92230000,3.22220000,3.75620000,109037653.00000000,1639353599999,385224216.99870000,860476,54308877.00000000,191924772.04650000,0
