otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609718400000,0.01997000,0.04033000,0.01951000,0.03024000,6140964911.50000000,1610323199999,183321692.90732800,559926,3190334246.60000000,95318771.09350600,0
1610323200000,0.03020000,0.03685000,0.02281000,0.03416000,2747915021.00000000,1610927999999,83273439.25995700,280914,1412194834.70000000,43052561.90711700,0
1610928000000,0.03413000,0.03800000,0.02635000,0.03310000,2553507991.40000000,1611532799999,84330474.24491500,268390,1265298376.10000000,41838972.24635400,0
1611532800000,0.03307000,0.04833000,0.03180000,0.03831000,5273075069.40000000,1612137599999,213341455.87036000,535465,2672852382.30000000,108259024.11348100,0
1612137600000,0.03828000,0.06900000,0.03620000,0.06646000,3290266073.40000000,1612742399999,159400030.06112800,464818,1657373319.50000000,80436729.68941300,0
1612742400000,0.06645000,0.14690000,0.06000000,0.10002000,5958417033.20000000,1613347199999,634899598.20447300,1499829,3058591201.90000000,326243216.82113700,0
1613347200000,0.10055000,0.20100000,0.08149000,0.16231000,5411889880.10000000,1613951999999,752674376.02303600,1592848,2747628965.60000000,382545520.26576300,0
1613952000000,0.16233000,0.23399000,0.09900000,0.23290000,6872568244.40000000,1614556799999,1212969421.32903100,2254100,3499780645.80000000,618289486.37107600,0
1614556800000,0.23291000,0.25402000,0.18288000,0.21235000,2932218750.40000000,1615161599999,655322688.48299100,1310479,1488163410.10000000,332619559.64202900,0
1615161600000,0.21209000,0.54344000,0.20472000,0.38043000,5358941790.90000000,1615766399999,1955117544.26059600,3001471,2709082154.20000000,987828062.27004100,0
1615766400000,0.38041000,0.43701000,0.34452000,0.38016000,1842433649.80000000,1616371199999,733118362.36741200,1363100,922288586.70000000,367584163.41713200,0
1616371200000,0.38044000,0.38422000,0.29743000,0.34624000,1250340881.90000000,1616975999999,424550567.38171200,913637,632955423.70000000,214824419.47629100,0
1616976000000,0.34591000,0.42396000,0.33637000,0.36072000,1403378133.00000000,1617580799999,523313843.76329000,1050246,698073663.00000000,260488521.30714000,0
1617580800000,0.36085000,0.38979000,0.30871000,0.36920000,1056231500.90000000,1618185599999,380201735.77355800,836445,517115077.40000000,186309349.26618500,0
1618185600000,0.36939000,0.46738000,0.26055000,0.36329000,1848774795.10000000,1618790399999,743332953.29220300,1567794,920032116.90000000,369975007.55102400,0
1618790400000,0.36328000,0.42159000,0.29501000,0.38426000,1787410690.30000000,1619395199999,647952258.10554400,1410309,889614542.20000000,322893014.76877000,0
1619395200000,0.38435000,0.94707000,0.37871000,0.82132000,6784905735.90000000,1619999999999,4991262972.25654900,7169659,3382696586.10000000,2487387442.62912300,0
1620000000000,0.82208000,1.05798000,0.68720000,0.96945000,2612849548.70000000,1620604799999,2221037740.55961100,3918570,1310594611.60000000,1115779022.24168600,0
