otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609459200000,0.00143500,0.00167500,0.00142600,0.00157800,405043444.00000000,1609545599999,617058.81438800,5252,244451389.00000000,371718.41203000,0
1609545600000,0.00157000,0.00160000,0.00149800,0.00152000,135203906.00000000,1609631999999,206633.54578500,2193,66598022.00000000,101796.90509300,0
1609632000000,0.00152400,0.00152400,0.00143200,0.00147100,221909711.00000000,1609718399999,327907.60740100,3593,85583895.00000000,126363.57671700,0
1609718400000,0.00147200,0.00152000,0.00136300,0.00145100,206708961.00000000,1609804799999,297234.35470900,3580,85826023.00000000,123314.17811400,0
1609804800000,0.00144700,0.00150400,0.00138100,0.00150400,173261870.00000000,1609891199999,249579.75074800,2411,89914430.00000000,129761.86351000,0
1609891200000,0.00150400,0.00152500,0.00145100,0.00152300,322963990.00000000,1609977599999,482442.73291300,3907,157653537.00000000,235583.07984200,0
1609977600000,0.00152300,0.00160000,0.00147400,0.00153200,374029908.00000000,1610063999999,569149.06916100,5630,199803682.00000000,304319.71185100,0
1610064000000,0.00153600,0.00154900,0.00142600,0.00152300,273499768.00000000,1610150399999,408491.41299700,3716,124460439.00000000,186232.73512800,0
1610150400000,0.00151600,0.00185000,0.00149800,0.00170200,1137945505.00000000,1610236799999,1917548.39781800,18924,546677003.00000000,923605.99007200,0
1610236800000,0.00171000,0.00178600,0.00155700,0.00163300,477254547.00000000,1610323199999,797204.13373900,7086,234845566.00000000,395330.26017100,0
1610323200000,0.00163400,0.00164300,0.00137600,0.00145600,288066995.00000000,1610409599999,422453.44973700,4247,123396807.00000000,181147.81626800,0
1610409600000,0.00145700,0.00153200,0.00143600,0.00147800,210397163.00000000,1610495999999,313086.68133900,2837,99030738.00000000,147108.93047000,0
1610496000000,0.00147800,0.00157000,0.00136100,0.00155100,592382209.00000000,1610582399999,886647.76179700,6320,305737865.00000000,460753.97070500,0
