otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609459200000,0.02297000,0.02340000,0.02106000,0.02202000,6403525.70000000,1609545599999,141390.17946400,1924,3247833.20000000,72068.14029000,0
1609545600000,0.02202000,0.02550000,0.02128000,0.02320000,16224295.80000000,1609631999999,381632.64183300,3927,10294427.10000000,242492.34406600,0
1609632000000,0.02318000,0.02560000,0.02200000,0.02379000,12459227.70000000,1609718399999,297267.39624800,3649,7203694.00000000,172412.13380700,0
1609718400000,0.02360000,0.02570000,0.02021000,0.02329000,16045387.90000000,1609804799999,376702.74955800,5498,8921337.90000000,209461.60267600,0
1609804800000,0.02331000,0.02454000,0.02278000,0.02354000,11925821.80000000,1609891199999,282279.86155900,5709,5868994.10000000,139567.45669300,0
1609891200000,0.02338000,0.02691000,0.02306000,0.02658000,8254089.60000000,1609977599999,209130.57973300,2777,4361832.50000000,110810.68850500,0
1609977600000,0.02659000,0.02848000,0.02428000,0.02500000,18721112.20000000,1610063999999,500216.57756300,4141,10159440.10000000,274843.73387600,0
1610064000000,0.02500000,0.02596000,0.02087000,0.02229000,31738356.30000000,1610150399999,738043.49532900,8154,14588291.90000000,339322.29620000,0
1610150400000,0.02231000,0.02588000,0.02175000,0.02328000,24697077.30000000,1610236799999,572422.80258300,8003,12747497.60000000,296164.39755400,0
1610236800000,0.02329000,0.02378000,0.02037000,0.02133000,28365839.20000000,1610323199999,636842.18595300,5992,14110966.90000000,317151.76004300,0
1610323200000,0.02134000,0.02141000,0.01640000,0.01871000,20345557.90000000,1610409599999,381235.60674800,4879,8904769.70000000,167805.83678200,0
1610409600000,0.01868000,0.01949000,0.01712000,0.01809000,13053167.90000000,1610495999999,243119.75814500,3265,6228374.60000000,116108.21468600,0
1610496000000,0.01808000,0.02098000,0.01759000,0.02056000,18014316.30000000,1610582399999,344412.92493600,4472,9359733.00000000,179509.98323100,0
1610582400000,0.02055000,0.02190000,0.02043000,0.02114000,25851994.80000000,1610668799999,547719.16576200,5947,12873236.10000000,272728.36989800,0
1610668800000,0.02115000,0.02504000,0.01818000,0.02270000,53955646.10000000,1610755199999,1173828.24461700,11716,27270062.30000000,601028.16160600,0
1610755200000,0.02272000,0.02349000,0.02180000,0.02221000,22339594.70000000,1610841599999,505965.67461700,5229,10332003.50000000,234629.67700900,0
1610841600000,0.02221000,0.02359000,0.02099000,0.02292000,21921026.70000000,1610927999999,483040.58160200,5084,10730449.50000000,236556.48454500,0
1610928000000,0.02295000,0.02390000,0.02201000,0.02286000,27272171.20000000,1611014399999,623831.74775300,6383,14878295.50000000,341927.59578200,0
1611014400000,0.02286000,0.02340000,0.02213000,0.02213000,7802345.90000000,1611100799999,178147.58220400,3051,4065548.40000000,93155.58804200,0
1611100800000,0.02213000,0.02261000,0.02055000,0.02219000,6261963.10000000,1611187199999,137695.82150800,2983,3930974.20000000,87421.58908000,0
1611187200000,0.02218000,0.02510000,0.01984000,0.02000000,63844656.10000000,1611273599999,1433484.77440200,15931,31678579.20000000,715365.47983300,0
1611273600000,0.01995000,0.02233000,0.01827000,0.02023000,85588877.40000000,1611359999999,1744263.25378100,13028,40999608.30000000,836731.54957800,0
1611360000000,0.02021000,0.02185000,0.01985000,0.02128000,21192140.00000000,1611446399999,440080.64722300,6758,11816595.10000000,245597.41645500,0
1611446400000,0.02129000,0.02143000,0.02028000,0.02088000,12562216.40000000,1611532799999,264229.64005200,4857,5783678.40000000,121770.34204000,0
1611532800000,0.02087000,0.02252000,0.02001000,0.02034000,171022107.50000000,1611619199999,3701879.41262400,13665,98664680.80000000,2138104.71813200,0
1611619200000,0.02025000,0.02124000,0.01928000,0.02072000,25682569.30000000,1611705599999,518505.41988700,5504,13238619.20000000,267488.11424200,0
1611705600000,0.02071000,0.02108000,0.01852000,0.01960000,37396965.90000000,1611791999999,745392.12962900,6390,18430612.80000000,367241.01334500,0
1611792000000,0.01962000,0.02442000,0.01916000,0.02286000,53396168.10000000,1611878399999,1162698.04512200,9468,27934560.20000000,607409.33499700,0
1611878400000,0.02290000,0.02499000,0.02200000,0.02305000,64323864.10000000,1611964799999,1510975.33427100,12518,30773809.40000000,723007.58781800,0
1611964800000,0.02306000,0.02435000,0.02202000,0.02278000,59919707.30000000,1612051199999,1383940.50260700,7489,29967774.00000000,692363.99910900,0
1612051200000,0.02277000,0.02389000,0.02200000,0.02345000,62301394.00000000,1612137599999,1437877.82904100,8441,31029535.20000000,716440.20646300,0
1612137600000,0.02344000,0.02713000,0.02313000,0.02702000,51411215.60000000,1612223999999,1270750.05935300,10847,25939368.50000000,642830.26298100,0
1612224000000,0.02699000,0.03399000,0.02435000,0.02625000,104430587.60000000,1612310399999,2945385.46030800,21721,53659860.50000000,1515231.51726300,0
1612310400000,0.02627000,0.02831000,0.02500000,0.02764000,71106860.50000000,1612396799999,1911490.58664000,13779,34828046.70000000,937880.03740600,0
1612396800000,0.02764000,0.03100000,0.02603000,0.02871000,60295213.80000000,1612483199999,1684985.34244000,11828,30665838.10000000,857058.28384400,0
1612483200000,0.02881000,0.03500000,0.02845000,0.03180000,86233826.80000000,1612569599999,2706956.07470500,17019,45834058.80000000,1438844.10661100,0
1612569600000,0.03183000,0.03398000,0.02914000,0.03226000,41226236.40000000,1612655999999,1342748.32496300,8960,19902270.60000000,648964.06990300,0
1612656000000,0.03249000,0.03500000,0.03099000,0.03427000,18630081.00000000,1612742399999,624589.46975500,5869,9697327.50000000,326670.11230700,0
1612742400000,0.03428000,0.04577000,0.03371000,0.04462000,291865797.00000000,1612828799999,11518527.50608400,37791,158930145.00000000,6294258.44318200,0
1612828800000,0.04460000,0.05711000,0.04128000,0.05278000,125445128.80000000,1612915199999,6392256.11779600,40361,71111105.70000000,3628237.82185100,0
1612915200000,0.05278000,0.06384000,0.05000000,0.05301000,109232883.40000000,1613001599999,6201985.59334000,38474,53366356.40000000,3022754.19268200,0
1613001600000,0.05301000,0.05745000,0.05074000,0.05212000,68493518.30000000,1613087999999,3684832.77559500,23682,36324752.30000000,1955120.29068100,0
1613088000000,0.05216000,0.05500000,0.04973000,0.05330000,40041986.40000000,1613174399999,2101741.94717800,13050,21431395.60000000,1129632.45951200,0
1613174400000,0.05330000,0.05634000,0.05262000,0.05385000,28991562.80000000,1613260799999,1578191.46083000,12694,15329007.60000000,834828.05586800,0
1613260800000,0.05404000,0.05630000,0.04770000,0.04884000,34689546.20000000,1613347199999,1762615.51392100,15545,18527716.10000000,938038.75203500,0
1613347200000,0.04884000,0.05100000,0.04232000,0.04799000,27210576.90000000,1613433599999,1284915.41238800,8629,11812492.60000000,557142.13535400,0
1613433600000,0.04798000,0.05100000,0.04315000,0.04505000,26343582.70000000,1613519999999,1262184.12982600,8957,12007853.40000000,575835.96010200,0
1613520000000,0.04525000,0.05100000,0.04136000,0.04839000,21810830.70000000,1613606399999,1037795.40729700,8222,11967200.30000000,570449.30543700,0
1613606400000,0.04850000,0.05233000,0.04685000,0.05072000,24728453.50000000,1613692799999,1243522.07818400,9791,11388586.70000000,574977.58461600,0
1613692800000,0.05059000,0.05934000,0.04870000,0.05901000,81225350.50000000,1613779199999,4501420.97762200,22970,45617424.70000000,2528727.13194000,0
1613779200000,0.05900000,0.05934000,0.05150000,0.05380000,19115973.30000000,1613865599999,1067965.53438000,9388,7515201.90000000,423177.49740100,0
1613865600000,0.05380000,0.06290000,0.05101000,0.05956000,27496557.20000000,1613951999999,1546791.28116000,12289,14210920.80000000,809578.73806100,0
1613952000000,0.05955000,0.06079000,0.04646000,0.05306000,18729338.70000000,1614038399999,1005688.11062300,8871,8972004.30000000,481371.33073700,0
1614038400000,0.05306000,0.05332000,0.03600000,0.04178000,23856452.80000000,1614124799999,1032817.78924400,9708,11039493.60000000,484181.94139400,0
1614124800000,0.04191000,0.04649000,0.03935000,0.04289000,20110911.00000000,1614211199999,885867.21490900,6306,11058608.50000000,488722.16210600,0
1614211200000,0.04275000,0.04864000,0.04049000,0.04050000,13936767.80000000,1614297599999,618416.69519400,5556,6500189.00000000,289109.25091300,0
1614297600000,0.04042000,0.04578000,0.03758000,0.04211000,9131666.00000000,1614383999999,374081.17318300,3555,3411128.10000000,140994.82681800,0
1614384000000,0.04211000,0.04595000,0.04134000,0.04374000,33596596.80000000,1614470399999,1462317.69807600,7915,17230654.40000000,750234.08033700,0
1614470400000,0.04371000,0.04536000,0.04075000,0.04325000,26003475.20000000,1614556799999,1118459.59543000,6634,11674112.60000000,502639.98389700,0
1614556800000,0.04330000,0.04516000,0.04249000,0.04441000,26859334.00000000,1614643199999,1179068.59226300,7908,12867503.70000000,565079.51464100,0
1614643200000,0.04443000,0.04464000,0.04000000,0.04234000,28969581.90000000,1614729599999,1234106.82914500,8829,16291545.50000000,693464.31134100,0
1614729600000,0.04231000,0.05470000,0.04211000,0.04608000,129365246.30000000,1614815999999,6145254.92699500,19515,77808240.00000000,3702406.76460300,0
