otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609459200000,0.00251500,0.00297500,0.00245600,0.00274500,497542864.00000000,1609545599999,1354725.34409700,10456,288817962.00000000,787637.87618400,0
1609545600000,0.00273600,0.00275000,0.00252900,0.00262500,213123271.00000000,1609631999999,555327.39800200,4734,115826306.00000000,301657.99251300,0
1609632000000,0.00262800,0.00272100,0.00230000,0.00250000,349481054.00000000,1609718399999,881669.00125500,7690,140802930.00000000,356075.62624000,0
1609718400000,0.00251400,0.00290700,0.00220800,0.00242500,522337890.00000000,1609804799999,1291753.41917700,12659,238645287.00000000,591622.92756600,0
1609804800000,0.00242600,0.00258500,0.00226900,0.00252800,280595595.00000000,1609891199999,683900.13732700,6896,120583375.00000000,293314.73254800,0
1609891200000,0.00253200,0.00263000,0.00241200,0.00262600,246422387.00000000,1609977599999,619745.24423900,6657,113459905.00000000,286186.63322500,0
1609977600000,0.00262600,0.00272300,0.00245800,0.00259800,283948080.00000000,1610063999999,735741.26088200,7094,134660679.00000000,349116.97178700,0
1610064000000,0.00258900,0.00282500,0.00240000,0.00266900,353668349.00000000,1610150399999,932480.99585900,8523,177034970.00000000,468538.44538500,0
1610150400000,0.00268800,0.00323100,0.00268600,0.00293100,685767902.00000000,1610236799999,2018021.87453200,16758,335923989.00000000,989516.56373500,0
1610236800000,0.00291400,0.00297000,0.00261400,0.00269600,243036303.00000000,1610323199999,675314.45563300,6723,95807225.00000000,265556.04362600,0
1610323200000,0.00271400,0.00273400,0.00230000,0.00249100,257959552.00000000,1610409599999,630508.60830000,10260,95819154.00000000,235225.11792800,0
1610409600000,0.00249100,0.00261900,0.00236900,0.00252100,215120104.00000000,1610495999999,535449.47797500,6505,113673439.00000000,282305.26617600,0
1610496000000,0.00250800,0.00272700,0.00241100,0.00266800,128696469.00000000,1610582399999,330792.62246000,4327,80736648.00000000,207969.83163600,0
1610582400000,0.00266000,0.00290000,0.00260000,0.00282200,276999537.00000000,1610668799999,771743.99595600,10042,139966137.00000000,390226.09640000,0
1610668800000,0.00282200,0.00303900,0.00259800,0.00300600,390899208.00000000,1610755199999,1118226.18173400,13044,201250946.00000000,580402.39481300,0
1610755200000,0.00302000,0.00359700,0.00292300,0.00316200,677192291.00000000,1610841599999,2149145.68317000,19166,340638790.00000000,1086001.11234000,0
1610841600000,0.00316500,0.00409900,0.00291400,0.00353000,621510836.00000000,1610927999999,2084837.55288700,18785,294880878.00000000,1004333.52870200,0
1610928000000,0.00353000,0.00374800,0.00329400,0.00370900,514263865.00000000,1611014399999,1772153.07660500,14377,227702133.00000000,785959.84163600,0
1611014400000,0.00371300,0.00552300,0.00371200,0.00407200,2405014818.00000000,1611100799999,11075860.93162700,66138,1235254918.00000000,5699582.84092400,0
1611100800000,0.00409000,0.00433900,0.00359700,0.00393800,704829439.00000000,1611187199999,2719368.73780100,20733,315763397.00000000,1221305.09014800,0
1611187200000,0.00393800,0.00396000,0.00327100,0.00333000,388826184.00000000,1611273599999,1379360.58938700,11671,175769471.00000000,622699.87338000,0
1611273600000,0.00333400,0.00381400,0.00302800,0.00359800,549230875.00000000,1611359999999,1864991.22529800,14715,241595937.00000000,821775.31810900,0
1611360000000,0.00359700,0.00380000,0.00341000,0.00366500,396757535.00000000,1611446399999,1423232.74985000,11007,179828035.00000000,646008.05763400,0
1611446400000,0.00366400,0.00393300,0.00357900,0.00385700,347867140.00000000,1611532799999,1313662.53406600,10329,146650394.00000000,555144.58954700,0
1611532800000,0.00386200,0.00550000,0.00375000,0.00442700,1996732671.00000000,1611619199999,9554841.95669100,48516,1053017626.00000000,5078447.40467600,0
1611619200000,0.00442100,0.00449000,0.00400000,0.00441600,649432940.00000000,1611705599999,2776968.54964800,20444,278542060.00000000,1193348.58333000,0
1611705600000,0.00441600,0.00494800,0.00407700,0.00467600,911617117.00000000,1611791999999,4089155.52126500,24865,451898891.00000000,2033050.73891700,0
1611792000000,0.00467700,0.00844300,0.00454000,0.00685800,3443058670.00000000,1611878399999,22430302.87222900,101326,1677751234.00000000,10929298.55071600,0
1611878400000,0.00685800,0.00808000,0.00586700,0.00695000,1170727202.00000000,1611964799999,7842127.95586300,41339,532085230.00000000,3579505.03906900,0
1611964800000,0.00698200,0.00901500,0.00691400,0.00757600,1644341523.00000000,1612051199999,13301810.56443900,59508,805680113.00000000,6545883.84069500,0
1612051200000,0.00757600,0.00765600,0.00620000,0.00677000,1064833867.00000000,1612137599999,7249755.34640200,43238,420877398.00000000,2867197.70159800,0
1612137600000,0.00676900,0.00740000,0.00625300,0.00672300,697860501.00000000,1612223999999,4605033.41311700,25228,321752826.00000000,2127093.73442500,0
1612224000000,0.00672400,0.00871900,0.00661900,0.00776600,1403268455.00000000,1612310399999,10970636.96290200,59786,696067200.00000000,5453293.27294600,0
