otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1628467200000,2.48100000,3.88000000,2.48100000,3.14200000,56364788.80000000,1629071999999,174524996.59330000,478508,27296239.50000000,84975216.38590000,0
1629072000000,3.13900000,3.66600000,2.93900000,3.13100000,42091329.20000000,1629676799999,137388899.67060000,419328,19640996.90000000,64282804.47790000,0
1629676800000,3.13000000,3.34000000,2.65000000,2.88700000,35496465.00000000,1630281599999,103512247.07860000,312313,16605425.90000000,48404708.27770000,0
1630281600000,2.88700000,4.67700000,2.78000000,4.24700000,129357367.00000000,1630886399999,500056601.39790000,1353884,63322574.20000000,245328000.18250000,0
1630886400000,4.24400000,6.19300000,2.88000000,5.14400000,133848200.00000000,1631491199999,649786507.72300000,1577253,65065157.50000000,317148023.89950000,0
1631491200000,5.14200000,6.49500000,4.50200000,5.38100000,99087726.30000000,1632095999999,563302189.73190000,1217987,46084341.60000000,262741800.72090000,0
1632096000000,5.37900000,5.39600000,3.75000000,4.39400000,83297474.20000000,1632700799999,375807253.31010000,823232,38369915.80000000,173308162.62620000,0
1632700800000,4.39500000,4.69900000,3.88100000,4.50200000,48409997.80000000,1633305599999,207352393.08350000,456163,22998750.30000000,98648340.14410000,0
1633305600000,4.50100000,4.94200000,4.12900000,4.15700000,47660141.60000000,1633910399999,217300053.84000000,454808,22501653.60000000,102787804.20240000,0
1633910400000,4.15700000,4.58000000,3.95000000,4.09900000,31656002.40000000,1634515199999,134077580.90300000,330357,14640274.80000000,62128593.27380000,0
1634515200000,4.10000000,4.78000000,3.97600000,4.59800000,34094850.10000000,1635119999999,146859304.05820000,332235,16678411.70000000,72009814.80910000,0
1635120000000,4.59800000,5.33500000,4.28800000,4.46100000,49127741.20000000,1635724799999,232029931.15770000,585787,22900837.00000000,108427778.09270000,0
1635724800000,4.46300000,4.70000000,4.07800000,4.39400000,34244574.10000000,1636329599999,150315758.20150000,354025,16222600.50000000,71292318.59410000,0
1636329600000,4.39500000,6.68400000,4.16500000,5.33900000,158526596.70000000,1636934399999,875518356.97770000,1706776,78085941.50000000,432525846.42780000,0
1636934400000,5.33800000,5.65000000,4.09700000,4.47000000,62621080.20000000,1637539199999,292271308.31710000,705083,29287541.70000000,136958583.61740000,0
1637539200000,4.46600000,5.50000000,4.29100000,4.78400000,72401367.60000000,1638143999999,346693105.06710000,715679,35900443.30000000,172476714.86340000,0
1638144000000,4.78300000,4.91700000,3.34800000,3.51700000,44855320.00000000,1638748799999,190365586.55190000,383301,21126921.60000000,89779667.28950000,0
1638748800000,3.51900000,3.98500000,3.21500000,3.74200000,10099386.70000000,1639353599999,35730291.19860000,94498,5104272.10000000,18087724.05840000,0
