otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1618790400000,7.89000000,14.55000000,7.89000000,9.05000000,15949374.21500000,1619395199999,150477771.39052500,375843,7914350.81400000,74974599.93940700,0
1619395200000,9.05100000,10.62900000,9.05000000,9.90400000,7609284.77300000,1619999999999,75166370.02278700,182524,3739981.39200000,36990326.24508400,0
1620000000000,9.90400000,12.60000000,9.20000000,10.32800000,17156482.59900000,1620604799999,184338943.23260500,317570,8727955.66300000,94360985.33208800,0
1620604800000,10.31500000,10.58000000,7.27100000,7.41800000,9126885.05600000,1621209599999,79088543.75598100,175326,4294521.33300000,37151562.41241500,0
1621209600000,7.41000000,7.93700000,3.26300000,3.51400000,8723132.92300000,1621814399999,52810306.00270300,169548,3740599.10100000,22755988.83452200,0
1621814400000,3.50800000,6.10800000,3.40300000,4.69200000,14283169.06800000,1622419199999,65608048.02898200,217554,7150287.38100000,32573722.07031800,0
1622419200000,4.69700000,5.35400000,4.57500000,4.77200000,6413801.31700000,1623023999999,31540314.61791200,130019,3172315.44300000,15612866.19639300,0
1623024000000,4.76700000,4.80100000,3.57700000,3.82000000,4137007.65600000,1623628799999,17501090.75627600,76961,2122621.29200000,9030335.36198700,0
1623628800000,3.82000000,7.40000000,3.81700000,4.49800000,32300443.45700000,1624233599999,176837360.29299200,477493,15326025.64400000,83924478.30485600,0
1624233600000,4.49100000,5.31600000,3.96000000,4.09500000,18513604.94800000,1624838399999,88306933.97191800,273448,8024082.11100000,38220422.63411800,0
1624838400000,4.09700000,4.28100000,3.68100000,3.91400000,5682050.85300000,1625443199999,22494453.62090600,95638,2577795.41700000,10233730.37737300,0
1625443200000,3.91000000,4.29100000,3.44400000,3.73500000,5902963.51400000,1626047999999,22861062.38893300,101961,2659682.09600000,10338040.01311400,0
1626048000000,3.74100000,3.77200000,2.94000000,2.97100000,4496239.79600000,1626652799999,15101264.83390600,71972,1971404.85400000,6614575.96495900,0
1626652800000,2.96500000,3.04400000,2.49300000,2.92800000,4353392.38600000,1627257599999,11960812.09805600,57910,2171052.51000000,5964252.95533400,0
1627257600000,2.92800000,3.32000000,2.85000000,2.94500000,6140621.66700000,1627862399999,18335423.48534100,72075,2983782.83300000,8913452.21618200,0
1627862400000,2.94600000,3.57700000,2.87000000,3.20500000,11437688.48500000,1628467199999,37055675.53068600,122842,5614984.27500000,18203399.46206200,0
1628467200000,3.20800000,4.15600000,3.14300000,4.01500000,25635997.08200000,1629071999999,94082774.17701500,283139,12552171.73700000,46142142.71507400,0
1629072000000,4.01200000,4.91900000,3.77500000,4.24500000,29762873.85300000,1629676799999,129887962.03872100,372442,15081582.46700000,65915997.38972500,0
1629676800000,4.24200000,4.49600000,3.56500000,4.22800000,20587317.83400000,1630281599999,83860353.86404300,224463,10196541.12000000,41576382.95089100,0
1630281600000,4.23100000,4.50000000,3.80000000,4.22400000,17754537.15300000,1630886399999,72862230.88740400,217500,8757871.15300000,35980224.72690400,0
1630886400000,4.21900000,4.37600000,3.32900000,3.63300000,20839679.38500000,1631491199999,78802566.93423400,232590,10158419.23800000,38360157.87366300,0
1631491200000,3.62900000,4.33000000,3.40700000,3.61000000,15327344.80000000,1632095999999,57239130.40680000,163513,7378205.40000000,27573998.62030000,0
1632096000000,3.61200000,3.61600000,2.83800000,2.92000000,11337140.69400000,1632700799999,35492568.56206200,115814,5454976.35700000,17051872.72601300,0
1632700800000,2.91500000,3.13000000,2.74800000,3.05300000,7104789.04700000,1633305599999,20888385.00303200,68922,3596276.55200000,10583673.87799600,0
1633305600000,3.05300000,3.80500000,2.90100000,2.97400000,21286944.50000000,1633910399999,68551854.29930000,177457,10262192.20000000,33093646.72080000,0
1633910400000,2.97000000,3.53000000,2.68300000,2.94600000,23596156.94500000,1634515199999,70781230.92752500,194914,11529309.00000000,34699686.94900000,0
1634515200000,2.94500000,3.44000000,2.80000000,2.98100000,16663004.00000000,1635119999999,51789502.02830000,139533,8005483.90000000,24913629.12740000,0
1635120000000,2.98500000,3.39000000,2.75600000,3.14100000,20509282.70000000,1635724799999,63184171.20830000,175065,10119470.10000000,31209224.15260000,0
1635724800000,3.14100000,4.12000000,3.02000000,3.44300000,35546683.20000000,1636329599999,124714261.81130000,313427,17489826.90000000,61501296.29410000,0
1636329600000,3.44300000,3.84200000,3.06400000,3.11600000,15735688.70000000,1636934399999,53407678.68980000,146613,7368737.50000000,25044359.65630000,0
1636934400000,3.11600000,3.15800000,2.60400000,2.92700000,16528621.40000000,1637539199999,47911044.51560000,145427,8005328.80000000,23226794.72920000,0
1637539200000,2.93100000,2.94200000,2.50000000,2.63600000,11631534.96200000,1638143999999,31638707.00756000,100348,5476691.10000000,14898634.57750000,0
1638144000000,2.63800000,2.85500000,2.10900000,2.22600000,15820832.76200000,1638748799999,40812929.60866200,124580,7514620.78600000,19428393.95006600,0
1638748800000,2.22600000,2.22800000,2.10000000,2.17400000,1755373.30000000,1639353599999,3783894.76830000,13855,838806.90000000,1808097.40160000,0
