otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609718400000,0.00985000,0.01185000,0.00836000,0.00989000,1454895310.80000000,1610323199999,14570031.02541600,130566,699382408.20000000,7049162.58614800,0
1610323200000,0.00991000,0.00998000,0.00763000,0.00948000,735091449.00000000,1610927999999,6481630.92993400,69799,346321020.80000000,3066553.74776500,0
1610928000000,0.00950000,0.01180000,0.00866000,0.01067000,1071855255.60000000,1611532799999,10911903.52382400,97688,525560235.60000000,5366162.47129300,0
1611532800000,0.01067000,0.02555000,0.00832000,0.01258000,3018180159.40000000,1612137599999,43016306.48388200,247368,1505008205.10000000,21552573.18853500,0
1612137600000,0.01258000,0.01699000,0.01152000,0.01349000,1489134599.40000000,1612742399999,20502608.06868400,172700,770149585.10000000,10612539.86189900,0
1612742400000,0.01349000,0.02525000,0.01331000,0.02147000,1716778604.10000000,1613347199999,33370202.60018900,240316,867298622.50000000,16883786.10033100,0
1613347200000,0.02148000,0.02790000,0.01852000,0.02410000,816786428.40000000,1613951999999,18362534.24229400,153625,401947241.60000000,9049113.59074600,0
1613952000000,0.02410000,0.02948000,0.01518000,0.02168000,2198133584.40000000,1614556799999,50431938.05055200,286055,1123090277.30000000,25927200.57713100,0
1614556800000,0.02161000,0.02638000,0.01958000,0.02394000,1047264861.30000000,1615161599999,23351881.75388500,168852,528255441.30000000,11800040.45566200,0
1615161600000,0.02401000,0.03749000,0.02277000,0.03254000,1511602945.70000000,1615766399999,47091179.31216400,284860,779629159.90000000,24350857.66243100,0
1615766400000,0.03260000,0.07876000,0.02911000,0.05201000,7459943993.60000000,1616371199999,430611815.28929500,1348250,3860294759.90000000,223358265.37222100,0
1616371200000,0.05187000,0.07890000,0.03846000,0.06858000,2881816739.70000000,1616975999999,168228558.90253200,563315,1496637560.20000000,87882489.72934000,0
1616976000000,0.06872000,0.11700000,0.05725000,0.09000000,4403365525.00000000,1617580799999,340577494.30304100,1067001,2250540843.90000000,174514095.40265700,0
1617580800000,0.09000000,0.19900000,0.08999000,0.14642000,8710350726.00000000,1618185599999,1283893532.09314200,3555709,4464217447.60000000,659445529.91027400,0
1618185600000,0.14616000,0.16481000,0.09682000,0.11485000,2534313862.60000000,1618790399999,340941454.33825800,1209149,1280930549.90000000,172617916.20909400,0
1618790400000,0.11457000,0.12750000,0.06130000,0.07783000,1914599198.10000000,1619395199999,171941101.19439000,674137,956587339.60000000,85889799.02170100,0
1619395200000,0.07796000,0.15000000,0.07781000,0.13354000,3354270682.40000000,1619999999999,401042406.82243500,1569292,1733072255.00000000,207362671.61394200,0
1620000000000,0.13400000,0.13820000,0.09650000,0.10691000,1138471622.80000000,1620604799999,130735494.80923700,712321,569976699.30000000,65472555.96647300,0
