otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609459200000,585.45000000,601.00000000,571.86000000,581.06000000,3327.78887000,1609545599999,1959109.63750250,15517,1437.60049000,845802.95557070,0
1609545600000,580.83000000,617.44000000,568.21000000,610.68000000,4666.06899000,1609631999999,2797076.96874220,21064,1937.60251000,1165483.60708980,0
1609632000000,610.68000000,700.00000000,608.06000000,675.38000000,9234.98045000,1609718399999,6128743.61722070,39120,4560.09452000,3018693.56214680,0
1609718400000,674.82000000,752.53000000,618.14000000,689.91000000,6414.54917000,1609804799999,4407286.83354700,28872,3238.06125000,2219721.42682610,0
1609804800000,689.99000000,780.00000000,653.01000000,765.26000000,6043.59698000,1609891199999,4303625.86216630,27468,3481.90338000,2483031.30913860,0
1609891200000,766.25000000,1248.99000000,743.46000000,1036.42000000,31416.32575000,1609977599999,32806274.99953050,119330,15062.06825000,15736263.33928570,0
1609977600000,1038.60000000,1190.00000000,1000.03000000,1056.66000000,17830.63034000,1610063999999,19382028.83271740,86313,9252.16784000,10064083.41512330,0
1610064000000,1058.98000000,1125.00000000,955.00000000,1039.74000000,9743.03125000,1610150399999,10287836.05200560,47564,5008.01216000,5291659.98413710,0
1610150400000,1038.43000000,1602.00000000,1025.76000000,1598.25000000,25134.96818000,1610236799999,34439834.92843220,117361,12213.34756000,16823479.64360160,0
1610236800000,1597.54000000,1978.77000000,1427.03000000,1487.41000000,39574.90258000,1610323199999,68451247.93211380,196949,19681.13137000,34078785.42193700,0
1610323200000,1487.40000000,1498.87000000,1077.00000000,1407.26000000,23094.16867000,1610409599999,30262289.22250090,95598,11443.07597000,14992942.13731390,0
1610409600000,1407.61000000,1639.00000000,1313.63000000,1489.82000000,17880.24665000,1610495999999,26506594.68054520,86444,9539.78727000,14170917.99926530,0
1610496000000,1486.58000000,1581.99000000,1379.35000000,1546.00000000,10896.83850000,1610582399999,16125556.36901160,54769,5541.98906000,8213601.95061470,0
1610582400000,1547.18000000,1710.47000000,1476.97000000,1608.32000000,11519.96593000,1610668799999,18175634.53959040,55488,5651.16956000,8911850.67528700,0
1610668800000,1608.30000000,1650.00000000,1339.80000000,1470.49000000,9203.25603000,1610755199999,13936882.94070500,47503,4544.17886000,6877817.96331170,0
1610755200000,1471.88000000,1619.58000000,1446.94000000,1484.61000000,7961.85155000,1610841599999,12158981.72266600,40028,4274.11215000,6532737.38032750,0
1610841600000,1482.00000000,1514.69000000,1420.00000000,1447.67000000,5669.91523000,1610927999999,8297294.62087440,32571,2808.14632000,4115036.50647650,0
1610928000000,1447.66000000,1472.74000000,1362.81000000,1422.04000000,4583.39435000,1611014399999,6519915.12764000,27238,2333.65839000,3321334.20084780,0
1611014400000,1423.70000000,1532.69000000,1397.82000000,1407.20000000,6688.82662000,1611100799999,9792883.92937370,35833,3321.43010000,4859253.53729260,0
1611100800000,1403.00000000,1443.47000000,1268.98000000,1414.31000000,7064.43125000,1611187199999,9560849.35909950,35490,3592.15237000,4862773.48241930,0
1611187200000,1416.49000000,1420.00000000,1125.00000000,1154.89000000,7295.51174000,1611273599999,9190921.34070840,39527,4159.12429000,5228984.42674310,0
1611273600000,1154.46000000,1446.90000000,1066.00000000,1410.20000000,9409.26352000,1611359999999,12044401.04735500,48117,5262.86482000,6733201.90633280,0
1611360000000,1409.86000000,1500.00000000,1348.28000000,1381.03000000,5091.64229000,1611446399999,7169271.06868080,35521,2616.28708000,3689095.99520880,0
1611446400000,1382.32000000,1470.00000000,1364.21000000,1457.85000000,4954.22088000,1611532799999,7090813.99994460,26875,2234.91160000,3203381.97469070,0
