otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609459200000,0.40700000,0.40850000,0.37950000,0.40040000,716969.96000000,1609545599999,280230.71713300,3237,380098.74000000,149120.31198900,0
1609545600000,0.39980000,0.40230000,0.37380000,0.38980000,484764.91000000,1609631999999,185895.29825600,2186,244129.41000000,93691.58122300,0
1609632000000,0.38890000,0.40480000,0.36490000,0.39070000,984388.79000000,1609718399999,375666.02400900,4077,413200.87000000,158508.12691600,0
1609718400000,0.39070000,0.41600000,0.34260000,0.36670000,2308857.87000000,1609804799999,868188.38709500,7983,1136851.43000000,426474.18087300,0
1609804800000,0.36670000,0.37930000,0.34900000,0.37840000,1733226.11000000,1609891199999,631303.59728000,5072,1068921.91000000,389921.61019000,0
1609891200000,0.37840000,0.40270000,0.36930000,0.39890000,1551018.23000000,1609977599999,597854.80473200,6391,765331.83000000,296359.57582900,0
1609977600000,0.39950000,0.44000000,0.39110000,0.41560000,2699005.82000000,1610063999999,1131260.70177600,10645,1487403.90000000,624332.18223200,0
1610064000000,0.41700000,0.48000000,0.38400000,0.43230000,3351133.59000000,1610150399999,1459754.99755300,12209,1756895.11000000,767240.23308400,0
1610150400000,0.43270000,0.46650000,0.41030000,0.44460000,2250451.40000000,1610236799999,984521.58010600,8017,1190162.36000000,520942.49943300,0
1610236800000,0.44460000,0.47680000,0.38020000,0.41670000,3122389.01000000,1610323199999,1353786.27563200,11270,1514310.22000000,657107.14388300,0
1610323200000,0.41640000,0.41670000,0.33130000,0.37080000,2890186.86000000,1610409599999,1051111.32209400,7544,1344973.24000000,488877.27065100,0
1610409600000,0.37090000,0.38170000,0.35240000,0.37160000,1056722.48000000,1610495999999,390938.59832300,4080,543727.86000000,201211.64635100,0
1610496000000,0.37150000,0.39820000,0.35600000,0.39180000,1358417.50000000,1610582399999,512324.56633200,4621,661644.68000000,250038.66901600,0
1610582400000,0.39280000,0.44010000,0.38570000,0.42010000,2872636.46000000,1610668799999,1187993.05178800,8037,1434181.98000000,593537.53398700,0
1610668800000,0.42040000,0.43220000,0.37400000,0.41870000,3107346.54000000,1610755199999,1254037.12161800,8279,1715828.32000000,695002.77448500,0
1610755200000,0.41940000,0.47400000,0.41800000,0.45600000,5445174.29000000,1610841599999,2442376.28854600,16129,3025794.34000000,1360014.78507800,0
1610841600000,0.45510000,0.47400000,0.40350000,0.44690000,5957315.19000000,1610927999999,2665034.99270700,18566,3051924.73000000,1364584.62290000,0
1610928000000,0.44810000,0.46600000,0.41900000,0.44750000,2955766.41000000,1611014399999,1305015.02874100,9433,1560144.18000000,690314.97441200,0
1611014400000,0.44620000,0.48730000,0.42540000,0.43750000,3965807.93000000,1611100799999,1773619.20939200,7638,2159367.53000000,963386.30479500,0
1611100800000,0.43510000,0.44620000,0.40610000,0.43740000,1550636.34000000,1611187199999,662227.92727000,4318,929122.59000000,395962.71574700,0
1611187200000,0.43700000,0.43860000,0.37380000,0.37960000,1147657.56000000,1611273599999,461317.98267600,4003,509060.39000000,205774.62212400,0
1611273600000,0.37960000,0.40520000,0.35810000,0.39890000,915516.72000000,1611359999999,351160.27059100,3572,428254.47000000,165096.87828600,0
1611360000000,0.39620000,0.40960000,0.38010000,0.39530000,898720.04000000,1611446399999,355353.29065100,3145,380846.25000000,150510.16959800,0
1611446400000,0.39400000,0.41180000,0.39300000,0.41050000,1077449.55000000,1611532799999,434623.15527000,3792,520593.18000000,210074.22474500,0
1611532800000,0.41050000,0.41590000,0.39220000,0.39490000,707542.00000000,1611619199999,288634.17541500,3003,297360.16000000,121699.46853400,0
1611619200000,0.39330000,0.44960000,0.39100000,0.42980000,16869105.82000000,1611705599999,7141995.38310500,23318,9690235.88000000,4105972.79815600,0
1611705600000,0.43030000,0.45990000,0.37560000,0.38670000,2417200.55000000,1611791999999,992766.62770300,7918,1078316.69000000,445497.96277000,0
1611792000000,0.38770000,0.45280000,0.37840000,0.41480000,4703795.76000000,1611878399999,1956685.84908000,9599,2535375.64000000,1061680.44964300,0
1611878400000,0.41460000,0.42740000,0.39510000,0.41640000,1657443.70000000,1611964799999,687076.65243100,5537,736525.95000000,305979.21544400,0
1611964800000,0.41650000,0.42970000,0.40000000,0.42400000,1012955.64000000,1612051199999,417815.04961300,4132,464505.28000000,192660.20429100,0
1612051200000,0.42400000,0.42450000,0.40190000,0.41890000,721645.51000000,1612137599999,299231.60801100,3364,370905.77000000,153928.09273900,0
