otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609718400000,0.39070000,0.48000000,0.34260000,0.41670000,17016082.03000000,1610323199999,7026670.34417400,61587,8919876.76000000,3682377.42552400,0
1610323200000,0.41640000,0.47400000,0.33130000,0.44690000,22687799.32000000,1610927999999,9503815.94140800,67256,11778075.15000000,4953267.30246800,0
1610928000000,0.44810000,0.48730000,0.35810000,0.41050000,12511554.55000000,1611532799999,5343316.86459100,35901,6487388.59000000,2781119.88970700,0
1611532800000,0.41050000,0.45990000,0.37560000,0.41890000,28089688.98000000,1612137599999,11784205.34535800,56871,15173225.37000000,6387418.19157700,0
1612137600000,0.41990000,1.02190000,0.40590000,0.65470000,70524589.53000000,1612742399999,50243488.70230200,213343,35294826.53000000,25193848.61066700,0
1612742400000,0.65450000,0.95000000,0.62500000,0.82600000,36327914.65000000,1613347199999,27669983.21529100,123780,18358482.96000000,14013052.76738500,0
1613347200000,0.82180000,1.28000000,0.68000000,1.10050000,42547312.69000000,1613951999999,42555102.63927200,172790,21820045.61000000,21831176.73972600,0
1613952000000,1.10410000,1.76000000,0.63610000,1.29290000,132968729.97000000,1614556799999,170507728.80334100,488121,66996073.13000000,86309338.12001800,0
1614556800000,1.29290000,1.53580000,1.15170000,1.33250000,33669673.47000000,1615161599999,45356896.41000000,219258,16969389.26000000,22850372.17591600,0
1615161600000,1.33470000,1.90250000,1.21530000,1.43620000,32175301.68000000,1615766399999,50127744.20979300,214453,16249998.80000000,25321559.46315500,0
1615766400000,1.43670000,1.70530000,1.27270000,1.55190000,24678454.15000000,1616371199999,36388787.09156300,172876,12360641.00000000,18237313.95884200,0
1616371200000,1.55190000,2.21270000,1.46660000,1.88900000,38652084.84000000,1616975999999,70602586.02757400,296088,19392756.38000000,35454647.28874000,0
1616976000000,1.88260000,10.36370000,1.88210000,6.87890000,322054311.80000000,1617580799999,1943175115.08029200,3595450,165019095.74000000,995634681.01114400,0
1617580800000,6.87890000,6.88830000,4.00300000,4.68780000,32601520.13000000,1618185599999,168680527.74670300,564616,16422407.03000000,85023566.42038300,0
1618185600000,4.67920000,5.59150000,3.11920000,3.62470000,24294082.33000000,1618790399999,110572309.69774900,423029,12257544.62000000,56006174.28685800,0
1618790400000,3.62080000,5.98000000,2.47060000,3.23660000,85713380.70000000,1619395199999,354830575.48253200,1029482,43974165.96000000,182635168.17239100,0
1619395200000,3.23390000,4.35000000,3.14700000,4.00870000,25422412.65000000,1619999999999,98039407.89245500,384284,12721767.52000000,49038794.74424600,0
1620000000000,4.00870000,4.94000000,3.60020000,3.96040000,40363033.66000000,1620604799999,166845937.42431500,571118,20377788.23000000,84222859.24942900,0
1620604800000,3.96040000,4.42780000,2.94320000,3.39370000,21569945.52000000,1621209599999,78415870.06209600,342981,11144896.75000000,40504304.01358100,0
1621209600000,3.39650000,3.53110000,1.55930000,2.11160000,33955613.97000000,1621814399999,90597926.54456100,460580,17381391.73000000,46323120.00040100,0
1621814400000,2.10540000,2.70000000,1.90600000,2.12680000,15508980.50000000,1622419199999,36321397.27427500,183879,7987009.93000000,18738080.87598100,0
1622419200000,2.13540000,2.86620000,2.01850000,2.45580000,25304542.91000000,1623023999999,62273904.13940400,293653,12704071.42000000,31259476.50525300,0
1623024000000,2.45370000,3.67730000,1.99810000,2.18400000,59208559.34000000,1623628799999,161110963.54639000,641015,29594256.93000000,80437371.19465800,0
1623628800000,2.18450000,2.26060000,1.53270000,1.68720000,24298670.89000000,1624233599999,48798392.80846900,176933,11994283.31000000,24174815.68842000,0
1624233600000,1.68920000,1.70420000,0.89720000,1.33930000,62482581.92000000,1624838399999,77937478.36202300,371845,31574139.69000000,39374338.79752700,0
1624838400000,1.33850000,1.90000000,1.29090000,1.87120000,31822025.68000000,1625443199999,53067846.33719800,229514,16459279.91000000,27449657.89537400,0
1625443200000,1.87060000,1.87060000,1.45000000,1.62430000,16164416.94000000,1626047999999,26842784.38184700,106403,8468625.14000000,14099001.33732400,0
1626048000000,1.62790000,2.13930000,1.42360000,1.50100000,39151473.58000000,1626652799999,70509391.08737600,276758,19687871.52000000,35388521.53193700,0
1626652800000,1.50100000,1.71180000,1.22950000,1.68730000,22351655.63000000,1627257599999,33095285.78336800,142861,11483618.81000000,16999027.06994400,0
1627257600000,1.67700000,2.51000000,1.57740000,1.99330000,35489647.94000000,1627862399999,71588984.63377900,304127,18153107.94000000,36594475.95717900,0
1627862400000,1.99460000,2.33600000,1.87030000,2.29700000,17934734.73000000,1628467199999,37409995.21444600,159654,9181113.42000000,19172213.90490000,0
1628467200000,2.29740000,3.46620000,2.13620000,3.15470000,61608925.28000000,1629071999999,177129042.94603100,612405,31738022.70000000,91345432.75737500,0
1629072000000,3.14920000,3.20460000,2.53300000,2.92860000,20090537.57000000,1629676799999,57975774.19894000,222545,10026182.30000000,28949497.32602700,0
1629676800000,2.92740000,3.18790000,2.56250000,2.80000000,18725986.71000000,1630281599999,54328240.57699400,219713,9319182.40000000,27047258.60818600,0
1630281600000,2.80300000,5.50000000,2.66800000,4.14200000,114305195.48000000,1630886399999,507755115.97210900,1273741,57225798.20000000,254324483.29265900,0
1630886400000,4.14700000,4.68900000,2.88600000,3.42100000,23225524.40000000,1631491199999,82627002.64090000,299576,11534123.60000000,41092146.58880000,0
1631491200000,3.41900000,3.89100000,2.98800000,3.63900000,18900583.90000000,1632095999999,66559552.38710000,224922,9313432.50000000,32820618.50980000,0
1632096000000,3.63900000,3.66200000,2.61900000,2.80500000,26370925.60000000,1632700799999,80248556.82350000,276908,12696743.20000000,38593010.80520000,0
1632700800000,2.79900000,3.47300000,2.65900000,3.29400000,16641168.90000000,1633305599999,50119354.73180000,167799,8242891.60000000,24845997.12440000,0
1633305600000,3.29100000,4.15800000,3.17200000,3.61700000,32780833.10000000,1633910399999,116291465.02980000,344556,16514691.70000000,58575240.35650000,0
1633910400000,3.62000000,3.77300000,3.04000000,3.15400000,16844177.20000000,1634515199999,56586052.76430000,169987,8799554.40000000,29568383.14680000,0
1634515200000,3.15500000,3.53000000,3.00300000,3.24400000,8987467.20000000,1635119999999,29175627.40340000,106496,4619239.90000000,15027978.58140000,0
1635120000000,3.23900000,3.57200000,2.63900000,3.44800000,12248664.80000000,1635724799999,39164654.97830000,170209,6139880.70000000,19640367.05440000,0
1635724800000,3.44900000,3.58900000,3.20700000,3.34800000,11512246.70000000,1636329599999,39337301.25800000,173140,5857098.90000000,20031118.77880000,0
