otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609459200000,0.01344000,0.01596000,0.01300000,0.01325000,145474949.70000000,1609545599999,2130032.41255300,19269,77585705.90000000,1136760.64738700,0
1609545600000,0.01325000,0.01491000,0.01250000,0.01315000,82606366.90000000,1609631999999,1140676.24788700,9399,36754801.40000000,510302.19332100,0
1609632000000,0.01312000,0.01580000,0.01294000,0.01420000,86992451.20000000,1609718399999,1247073.35402000,10182,47311044.60000000,678567.77142600,0
1609718400000,0.01418000,0.01451000,0.01277000,0.01367000,59729406.80000000,1609804799999,822824.54223800,6755,30610528.70000000,423835.05902100,0
1609804800000,0.01369000,0.01430000,0.01295000,0.01352000,37464496.60000000,1609891199999,508079.85648200,4820,18876429.60000000,255841.43547100,0
1609891200000,0.01364000,0.01502000,0.01300000,0.01395000,64998939.80000000,1609977599999,902283.79944500,7867,30611621.20000000,426000.59013600,0
1609977600000,0.01396000,0.01755000,0.01361000,0.01499000,121954996.40000000,1610063999999,1846148.03859700,13686,59593798.20000000,903826.83903200,0
1610064000000,0.01487000,0.01547000,0.01301000,0.01403000,56067657.20000000,1610150399999,784097.78559300,7325,28430466.10000000,399243.61599500,0
1610150400000,0.01403000,0.01799000,0.01356000,0.01560000,164371374.20000000,1610236799999,2517514.10355500,16716,90356286.70000000,1392898.98475400,0
1610236800000,0.01558000,0.01562000,0.01378000,0.01439000,86127343.30000000,1610323199999,1276174.16006100,10398,43543915.10000000,648051.36043800,0
1610323200000,0.01437000,0.01742000,0.01350000,0.01569000,275796330.20000000,1610409599999,4220765.47953900,30668,151104984.90000000,2312805.30967200,0
1610409600000,0.01570000,0.01660000,0.01403000,0.01468000,87100623.40000000,1610495999999,1321475.10306100,14092,43282379.30000000,658592.90215900,0
1610496000000,0.01470000,0.01538000,0.01411000,0.01511000,39306733.50000000,1610582399999,582846.25577600,7986,20697105.90000000,306896.67506200,0
1610582400000,0.01512000,0.01576000,0.01480000,0.01512000,45255553.10000000,1610668799999,688970.28799200,8366,23941751.80000000,365156.55478700,0
1610668800000,0.01517000,0.01563000,0.01400000,0.01498000,47996536.00000000,1610755199999,723611.25101300,9735,21275324.80000000,322088.72374400,0
1610755200000,0.01505000,0.01546000,0.01468000,0.01494000,48873161.20000000,1610841599999,738450.54171700,7371,20798021.90000000,314789.02097600,0
1610841600000,0.01494000,0.01506000,0.01425000,0.01437000,35187839.90000000,1610927999999,512257.99815900,6772,14618610.60000000,213439.87312100,0
1610928000000,0.01437000,0.01513000,0.01395000,0.01497000,30971429.70000000,1611014399999,454637.98929800,7033,15927305.90000000,234113.07129000,0
1611014400000,0.01499000,0.01550000,0.01425000,0.01452000,46301122.30000000,1611100799999,692296.47324500,10097,20685870.20000000,310280.12579700,0
1611100800000,0.01448000,0.01472000,0.01375000,0.01461000,38624885.30000000,1611187199999,551450.50056100,5596,20621748.80000000,295078.81103900,0
1611187200000,0.01461000,0.01551000,0.01373000,0.01420000,91446604.70000000,1611273599999,1339814.77919300,15966,43655864.90000000,641687.79690500,0
1611273600000,0.01420000,0.01443000,0.01299000,0.01397000,48087497.30000000,1611359999999,659276.60384100,7496,22554959.40000000,309757.52147600,0
1611360000000,0.01395000,0.01437000,0.01346000,0.01366000,26829425.80000000,1611446399999,369602.56550300,4301,12822160.70000000,177075.53440000,0
1611446400000,0.01365000,0.01444000,0.01351000,0.01360000,28807080.50000000,1611532799999,399467.70666400,4616,11984781.70000000,166666.95212800,0
1611532800000,0.01359000,0.01397000,0.01303000,0.01308000,27141225.40000000,1611619199999,367935.01425200,4773,12122018.00000000,165145.52122200,0
1611619200000,0.01309000,0.01399000,0.01281000,0.01370000,47069247.70000000,1611705599999,631984.21843600,7808,21982445.10000000,296321.39198600,0
1611705600000,0.01371000,0.01380000,0.01155000,0.01221000,47717794.60000000,1611791999999,599828.73240100,7877,21152946.70000000,265930.51782200,0
1611792000000,0.01223000,0.01463000,0.01205000,0.01409000,70413976.30000000,1611878399999,958727.75592600,12878,39304925.30000000,534673.07325300,0
1611878400000,0.01406000,0.02437000,0.01367000,0.01517000,632005395.20000000,1611964799999,11169436.28648600,66690,321848096.80000000,5685207.81619300,0
1611964800000,0.01514000,0.01570000,0.01322000,0.01424000,206983042.00000000,1612051199999,2942564.84098700,24309,107821726.90000000,1525160.92702100,0
1612051200000,0.01428000,0.01590000,0.01366000,0.01488000,128083602.40000000,1612137599999,1900432.54679700,21172,63346230.10000000,945106.62890300,0
1612137600000,0.01488000,0.01575000,0.01415000,0.01431000,76483996.00000000,1612223999999,1134238.34982600,12679,36778162.80000000,548616.56582800,0
1612224000000,0.01432000,0.01454000,0.01410000,0.01442000,44889053.70000000,1612310399999,642557.38763400,7431,20484711.30000000,294045.33105700,0
1612310400000,0.01442000,0.01755000,0.01423000,0.01614000,199106939.30000000,1612396799999,3142505.87898200,23562,107421658.20000000,1696632.33882000,0
1612396800000,0.01610000,0.01719000,0.01513000,0.01583000,100655924.20000000,1612483199999,1621805.46136500,13809,49741158.40000000,803067.85688200,0
1612483200000,0.01583000,0.01900000,0.01572000,0.01812000,156049645.60000000,1612569599999,2746789.77536600,23997,73949570.60000000,1305059.93693300,0
1612569600000,0.01814000,0.01819000,0.01632000,0.01694000,65828992.40000000,1612655999999,1128404.49142500,12148,30566476.10000000,525839.86644800,0
1612656000000,0.01694000,0.01814000,0.01584000,0.01646000,67122235.90000000,1612742399999,1129043.60195200,10697,34309344.90000000,577724.54644900,0
1612742400000,0.01649000,0.01810000,0.01629000,0.01732000,90539027.60000000,1612828799999,1556895.84513900,13434,46398092.50000000,799076.77721800,0
1612828800000,0.01731000,0.01990000,0.01714000,0.01963000,106953213.60000000,1612915199999,1971349.84649400,18820,52822622.90000000,973521.01140700,0
1612915200000,0.01961000,0.01984000,0.01669000,0.01929000,102552214.90000000,1613001599999,1915735.81501900,20050,48128577.20000000,900410.44293600,0
