otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609718400000,0.01418000,0.01799000,0.01277000,0.01439000,590714214.30000000,1610323199999,8657122.28597100,67567,302023045.60000000,4449697.88484700,0
1610323200000,0.01437000,0.01742000,0.01350000,0.01437000,579516777.30000000,1610927999999,8788376.91725700,84990,295718179.20000000,4493769.05952100,0
1610928000000,0.01437000,0.01551000,0.01299000,0.01360000,311068045.60000000,1611532799999,4466546.61830500,55105,148252691.60000000,2134659.81303500,0
1611532800000,0.01359000,0.02437000,0.01155000,0.01488000,1159414283.60000000,1612137599999,18570909.39528500,145507,587578388.90000000,9417545.87640000,0
1612137600000,0.01488000,0.01900000,0.01410000,0.01646000,710136787.10000000,1612742399999,11545344.94655000,104323,353251082.30000000,5750986.44241700,0
1612742400000,0.01649000,0.02649000,0.01629000,0.02191000,1060688449.00000000,1613347199999,22991536.62604200,167401,528680876.70000000,11502590.74682600,0
1613347200000,0.02192000,0.02490000,0.01836000,0.02322000,611847599.70000000,1613951999999,13511297.04071600,99196,292033451.20000000,6450693.19595400,0
1613952000000,0.02325000,0.02799000,0.01454000,0.01541000,775432818.60000000,1614556799999,15919389.06412400,107736,372289311.40000000,7691122.72607500,0
1614556800000,0.01549000,0.02084000,0.01546000,0.01957000,742221205.40000000,1615161599999,13739790.82138100,93050,377441167.80000000,6989371.41970200,0
1615161600000,0.01958000,0.03840000,0.01833000,0.02880000,3245454678.00000000,1615766399999,91871519.24993800,429637,1730832251.10000000,49238841.37064800,0
1615766400000,0.02880000,0.03600000,0.02714000,0.03160000,1277160104.30000000,1616371199999,39638246.45979600,237636,641381196.20000000,19967083.65076200,0
1616371200000,0.03155000,0.03825000,0.02762000,0.03363000,1339873461.50000000,1616975999999,44015704.71247600,226360,692110379.50000000,22820016.51695400,0
1616976000000,0.03363000,0.04899000,0.03189000,0.04626000,1387948439.40000000,1617580799999,55396229.31560400,276155,714513252.70000000,28562811.80436000,0
1617580800000,0.04625000,0.05200000,0.03605000,0.04128000,877709430.80000000,1618185599999,38881639.84480200,201389,441536203.60000000,19592387.99026800,0
1618185600000,0.04134000,0.04471000,0.03085000,0.03288000,887346286.50000000,1618790399999,33945380.59356700,185490,446316425.40000000,17120549.47911500,0
1618790400000,0.03288000,0.04074000,0.02318000,0.02529000,1685631946.50000000,1619395199999,55716933.22081800,267933,872817349.20000000,28899840.00054100,0
1619395200000,0.02530000,0.03688000,0.02502000,0.03376000,836517765.20000000,1619999999999,26695635.15377700,152418,416436517.80000000,13283826.96348600,0
1620000000000,0.03377000,0.03990000,0.03054000,0.03157000,751294494.60000000,1620604799999,26476828.39825800,151775,377891755.20000000,13344780.09466900,0
1620604800000,0.03157000,0.03310000,0.02137000,0.02324000,499891177.50000000,1621209599999,13353036.18223500,90962,235524663.30000000,6292120.61088700,0
1621209600000,0.02325000,0.02345000,0.00824000,0.01018000,627666484.60000000,1621814399999,9370543.05600600,70132,302156759.60000000,4494057.39720200,0
1621814400000,0.01017000,0.01668000,0.00983000,0.01271000,767099520.20000000,1622419199999,10220985.82489500,76837,378822741.80000000,5065424.08449600,0
1622419200000,0.01268000,0.03630000,0.01204000,0.02177000,3772671829.20000000,1623023999999,80315195.16864100,304955,1808350645.30000000,38144348.46967600,0
1623024000000,0.02176000,0.02480000,0.01313000,0.01729000,4476256206.00000000,1623628799999,81563929.67698600,445827,2153148064.40000000,39403358.94525300,0
1623628800000,0.01726000,0.01745000,0.01196000,0.01313000,1686257149.00000000,1624233599999,24728758.66167700,171366,794941225.50000000,11683842.12033300,0
1624233600000,0.01309000,0.01648000,0.00910000,0.01145000,1713961503.70000000,1624838399999,21230774.89771100,139318,829228392.50000000,10266685.89610500,0
1624838400000,0.01145000,0.01274000,0.01089000,0.01200000,550589474.20000000,1625443199999,6483796.31426900,49333,268594199.50000000,3163613.68571600,0
1625443200000,0.01200000,0.01259000,0.01083000,0.01176000,644933875.70000000,1626047999999,7613231.23475800,49196,326272578.30000000,3862845.23776000,0
1626048000000,0.01177000,0.01255000,0.01009000,0.01142000,641990174.80000000,1626652799999,7203054.43870500,47229,313568837.20000000,3526468.35428200,0
1626652800000,0.01142000,0.01154000,0.00899000,0.01127000,512097940.30000000,1627257599999,5256419.68634000,37808,243784345.00000000,2499958.00845800,0
1627257600000,0.01127000,0.01365000,0.01117000,0.01315000,846720621.80000000,1627862399999,10655844.54720800,72878,423852364.90000000,5338235.10608200,0
1627862400000,0.01314000,0.01554000,0.01119000,0.01271000,1187638947.80000000,1628467199999,15445598.56979700,94035,594716869.30000000,7752591.48889000,0
1628467200000,0.01273000,0.02110000,0.01235000,0.01682000,2415365763.00000000,1629071999999,39163725.24883700,191403,1219226453.70000000,19794923.30410500,0
1629072000000,0.01685000,0.01771000,0.01423000,0.01686000,836487679.00000000,1629676799999,13383801.90791900,77296,408905815.40000000,6546708.41855500,0
1629676800000,0.01690000,0.01725000,0.01355000,0.01535000,561697337.10000000,1630281599999,8713267.14108900,53810,262854503.90000000,4083420.46510500,0
1630281600000,0.01535000,0.01693000,0.01399000,0.01620000,593003836.30000000,1630886399999,9162494.89492300,59192,302625502.50000000,4683095.25728300,0
1630886400000,0.01623000,0.01778000,0.01238000,0.01347000,919953700.30000000,1631491199999,13963810.28478300,75539,444181235.70000000,6722838.86534000,0
1631491200000,0.01347000,0.01720000,0.01142000,0.01342000,1824208168.50000000,1632095999999,26771132.73764700,149259,930258912.80000000,13696282.33627500,0
1632096000000,0.01342000,0.01475000,0.01105000,0.01212000,1121164210.50000000,1632700799999,14754489.82713100,86660,532548716.80000000,7024664.13423800,0
1632700800000,0.01217000,0.01333000,0.01125000,0.01269000,703121406.90000000,1633305599999,8650399.59249300,53501,376698225.80000000,4645168.40385700,0
1633305600000,0.01268000,0.01400000,0.01129000,0.01315000,666090423.20000000,1633910399999,8782478.65357400,50516,324871383.70000000,4292978.82589500,0
1633910400000,0.01316000,0.03359000,0.01177000,0.02023000,11531578835.90000000,1634515199999,284250549.00341800,1029566,5830549306.40000000,144375250.84878700,0
1634515200000,0.02025000,0.02200000,0.01602000,0.01812000,3469563665.60000000,1635119999999,64009617.06706500,296061,1761992848.30000000,32537930.47805900,0
1635120000000,0.01813000,0.02970000,0.01781000,0.01835000,5409648980.40000000,1635724799999,124582096.62065000,546674,2724914527.50000000,62865131.48059700,0
1635724800000,0.01839000,0.02290000,0.01800000,0.01956000,1367731662.80000000,1636329599999,26603879.26690000,138258,682352274.40000000,13296649.30810700,0
1636329600000,0.01955000,0.03700000,0.01791000,0.02404000,6760359616.10000000,1636934399999,175887180.93839900,676536,3466526594.00000000,90282322.57869400,0
1636934400000,0.02404000,0.02700000,0.02007000,0.02480000,2653289649.20000000,1637539199999,61615536.69927900,313777,1327549768.90000000,30919727.05350100,0
1637539200000,0.02480000,0.02917000,0.02202000,0.02409000,1704563526.00000000,1638143999999,44048462.81527600,260408,871676435.60000000,22598612.95335500,0
1638144000000,0.02408000,0.02857000,0.01460000,0.01708000,1145082134.20000000,1638748799999,25845187.98121900,153994,575538618.50000000,13092972.77722900,0
1638748800000,0.01712000,0.02578000,0.01626000,0.02021000,1553785020.30000000,1639353599999,32856693.03321600,182081,796994534.60000000,16938112.13667600,0
