otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609718400000,1.47310000,1.95070000,1.30000000,1.74210000,81294470.70000000,1610323199999,131921944.65651800,279638,41870987.18000000,68157299.80198600,0
1610323200000,1.74210000,2.77630000,1.34850000,2.50130000,64469479.66000000,1610927999999,125585572.57994300,268423,33232742.32000000,64879755.21782700,0
1610928000000,2.50130000,2.75000000,2.00000000,2.56140000,56228464.23000000,1611532799999,133759965.52107400,257997,27696534.55000000,65996231.42896300,0
1611532800000,2.55820000,2.68200000,2.00550000,2.14410000,42729402.84000000,1612137599999,95474047.09778800,213803,20690566.83000000,46257627.88995700,0
1612137600000,2.14360000,3.52700000,2.08720000,3.40000000,80795437.35000000,1612742399999,207739552.42608700,404305,42223030.29000000,108229557.25944100,0
1612742400000,3.40170000,5.59290000,3.03880000,4.30990000,74365332.17000000,1613347199999,296661832.41347100,563256,37433337.07000000,150093734.32626100,0
1613347200000,4.30990000,4.73830000,3.45400000,4.10000000,42930240.01000000,1613951999999,179327483.66592100,354414,21435015.91000000,89607370.54781600,0
1613952000000,4.10150000,4.89000000,2.64400000,3.82340000,74011923.39000000,1614556799999,280888452.41547900,556296,36624702.67000000,139103516.29892500,0
1614556800000,3.82320000,4.65990000,3.79310000,4.27560000,32528916.40000000,1615161599999,136470228.29303500,275810,16010819.90000000,67195876.53448500,0
1615161600000,4.28020000,7.58000000,4.12190000,6.61350000,73387266.00000000,1615766399999,437705367.23887900,799406,37208744.11000000,221965559.92783300,0
1615766400000,6.60920000,6.90000000,5.58780000,6.03880000,31028865.98000000,1616371199999,192944904.37771800,382926,15189214.09000000,94500578.66380600,0
1616371200000,6.03890000,6.05620000,4.46280000,5.60280000,30721306.63000000,1616975999999,164296162.26753600,371586,15206705.27000000,81378743.21476000,0
1616976000000,5.59960000,6.69900000,5.51390000,6.08840000,30384397.65000000,1617580799999,183850831.37233900,421082,15019070.15000000,90958184.86518800,0
1617580800000,6.08670000,7.43330000,5.69680000,6.76280000,45281604.25000000,1618185599999,297640617.10762400,620140,23166994.51000000,152471135.27604500,0
1618185600000,6.76940000,7.40000000,4.01220000,5.15340000,47303242.60000000,1618790399999,285520579.15075300,625015,23670886.77000000,143193930.65804000,0
1618790400000,5.15630000,5.75690000,4.00840000,4.64620000,45917499.32000000,1619395199999,216162048.36404300,563378,22681394.17000000,106941844.42413200,0
1619395200000,4.64840000,6.00000000,4.59210000,5.27570000,46755216.27000000,1619999999999,242908261.23299500,673433,23684196.73000000,123298127.24709300,0
1620000000000,5.27590000,5.58600000,4.76410000,5.06360000,38162220.74000000,1620604799999,199537751.67238400,481373,18814211.55000000,98455046.55064500,0
1620604800000,5.06420000,7.33550000,4.36000000,5.87170000,84092403.97000000,1621209599999,487553988.70620800,1005899,42343288.42000000,245906769.01171500,0
1621209600000,5.87290000,6.29880000,2.20370000,2.65750000,99485498.01000000,1621814399999,407083715.95195600,950570,48978419.31000000,200200397.37083800,0
1621814400000,2.65520000,3.65000000,2.52790000,3.11490000,79743468.70000000,1622419199999,247786692.39355500,657187,40363414.31000000,125614299.38746900,0
1622419200000,3.11350000,3.65000000,2.87850000,3.20470000,54761065.57000000,1623023999999,178308913.70264900,460609,27334175.24000000,89093732.96576200,0
1623024000000,3.20520000,3.33350000,2.69000000,3.13760000,37779999.27000000,1623628799999,114061130.25566400,278612,18547488.38000000,55991954.45304800,0
1623628800000,3.13550000,3.36550000,2.65350000,2.88530000,35717178.17000000,1624233599999,109973320.39671700,312661,17069217.48000000,52704817.92457900,0
1624233600000,2.88570000,2.93460000,1.74730000,1.96430000,59150374.74000000,1624838399999,125646638.90477300,424352,29310364.10000000,62196036.48325900,0
1624838400000,1.96490000,2.34850000,1.92020000,2.29310000,47529603.33000000,1625443199999,99394353.66481100,287267,23775539.41000000,49743094.92482300,0
1625443200000,2.29170000,2.40490000,2.01010000,2.17490000,33303917.43000000,1626047999999,73315338.79526200,202046,16550532.51000000,36426333.43210300,0
1626048000000,2.17330000,2.22920000,1.80040000,1.90710000,38344421.28000000,1626652799999,74837757.52018800,191625,18543013.30000000,36186093.63917800,0
1626652800000,1.90790000,2.31290000,1.54600000,2.15780000,42775975.12000000,1627257599999,81735351.76804600,221586,21143610.55000000,40421488.25826600,0
1627257600000,2.15930000,2.55000000,2.06670000,2.39160000,45423048.16000000,1627862399999,104789015.13112100,287565,22373969.23000000,51658137.23386600,0
1627862400000,2.39180000,2.79050000,2.22080000,2.55940000,41340476.99000000,1628467199999,104059818.25476700,320204,20567102.05000000,51827069.61516700,0
1628467200000,2.56090000,3.48600000,2.46360000,3.22570000,55714024.29000000,1629071999999,172105493.62460300,413830,28916354.22000000,89376798.99967600,0
1629072000000,3.22580000,6.59610000,3.21400000,5.45360000,126799533.02000000,1629676799999,587823967.35042200,1242063,63842295.68000000,296623754.74323300,0
1629676800000,5.45360000,6.22500000,4.60500000,5.54600000,89202174.47000000,1630281599999,481770199.39390400,897841,43659831.32000000,236309988.33694600,0
1630281600000,5.54800000,6.88170000,5.09700000,6.14000000,71760854.73000000,1630886399999,421691607.31509200,780354,34985564.37000000,205697695.98328200,0
1630886400000,6.14000000,11.88000000,5.45000000,8.94200000,268368682.13000000,1631491199999,2373025489.84050600,3643050,131733611.39000000,1166688845.21796600,0
1631491200000,8.94400000,10.40000000,7.70400000,10.06100000,86461408.90000000,1632095999999,769377386.03160000,1238821,42308173.30000000,377248725.26560000,0
1632096000000,10.05900000,10.43900000,6.33800000,7.29300000,148442716.10000000,1632700799999,1173789699.49130000,1785026,72351283.10000000,571980894.41150000,0
1632700800000,7.29000000,8.49300000,6.36300000,8.03600000,79265610.30000000,1633305599999,578126977.93790000,952360,39633247.20000000,288912898.26550000,0
1633305600000,8.03400000,8.75200000,7.13700000,7.39100000,70565298.30000000,1633910399999,560312460.82290000,918147,34471077.30000000,274041156.68480000,0
1633910400000,7.39000000,8.28000000,6.76600000,7.78900000,50489298.60000000,1634515199999,383422493.78820000,688160,24744607.70000000,188022690.61540000,0
1634515200000,7.79400000,9.95400000,7.61600000,9.60300000,65156793.40000000,1635119999999,582179988.68210000,998818,32983108.10000000,294635027.48960000,0
1635120000000,9.60300000,13.23000000,9.54000000,10.15700000,113777074.97000000,1635724799999,1307389471.66613200,2235986,57460418.00000000,660028910.85783200,0
1635724800000,10.15800000,11.50000000,9.77000000,10.33200000,51873610.70000000,1636329599999,544992543.91320000,987323,25645887.30000000,269511250.34470000,0
1636329600000,10.33100000,12.65700000,9.94000000,11.86700000,69856559.30000000,1636934399999,790078497.54880000,1479585,34026219.10000000,385396083.59620000,0
1636934400000,11.87000000,11.97800000,8.39900000,9.66500000,52927080.20000000,1637539199999,517918550.26020000,1089404,25641812.70000000,251228686.59250000,0
1637539200000,9.67100000,10.31900000,7.53000000,8.39600000,37228653.90000000,1638143999999,332038373.55060000,725702,18364549.50000000,163872755.46340000,0
1638144000000,8.39100000,9.58100000,6.12300000,7.34300000,57652374.70000000,1638748799999,475681503.94380000,1031298,28255079.00000000,233689180.93800000,0
1638748800000,7.34400000,7.42900000,6.63000000,7.25800000,8645989.50000000,1639353599999,60783068.05500000,129493,4199097.90000000,29516299.57800000,0
