otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609718400000,0.01799000,0.02643000,0.01641000,0.02283000,158798836.60000000,1610323199999,3348746.18269900,31352,77142189.10000000,1626338.72946100,0
1610323200000,0.02268000,0.02289000,0.01818000,0.02139000,91191212.50000000,1610927999999,1880894.70825000,19952,44657438.40000000,923811.93818100,0
1610928000000,0.02139000,0.02951000,0.02120000,0.02815000,675153390.10000000,1611532799999,17413164.62860600,98408,370228793.10000000,9531125.98639100,0
1611532800000,0.02806000,0.03500000,0.02205000,0.02897000,369793002.80000000,1612137599999,10956695.18488100,80576,184635830.50000000,5469977.61640800,0
1612137600000,0.02887000,0.04949000,0.02820000,0.04103000,216103377.10000000,1612742399999,8034586.62099200,62692,109435067.70000000,4059717.77921700,0
1612742400000,0.04103000,0.06200000,0.04090000,0.05602000,221109841.90000000,1613347199999,11424602.33394500,76300,105810058.60000000,5454376.77103900,0
1613347200000,0.05609000,0.06238000,0.04795000,0.05807000,153203058.60000000,1613951999999,8292188.87016800,60809,70429347.20000000,3819664.96171400,0
1613952000000,0.05814000,0.05888000,0.03650000,0.04259000,161035271.60000000,1614556799999,7368644.91612900,54459,76584960.90000000,3510926.43710700,0
1614556800000,0.04286000,0.05695000,0.04251000,0.05443000,129770528.10000000,1615161599999,6717640.77421700,59862,69467405.60000000,3607677.36520500,0
1615161600000,0.05454000,0.23500000,0.05215000,0.16222000,2128414775.10000000,1615766399999,311513962.26088800,1129562,1068304257.80000000,157224695.96284700,0
1615766400000,0.16225000,0.25912000,0.13320000,0.18700000,954232713.30000000,1616371199999,179295758.12219400,706191,485712498.90000000,91712579.56911800,0
1616371200000,0.18755000,0.20077000,0.14193000,0.17874000,369471847.40000000,1616975999999,64990615.98368800,312559,182944812.20000000,32261939.71417700,0
1616976000000,0.17896000,0.41196000,0.16982000,0.30650000,1271448216.40000000,1617580799999,380389790.29892800,993118,655590944.00000000,196702565.68418100,0
1617580800000,0.30552000,1.48900000,0.28417000,0.95373000,2735165641.60000000,1618185599999,2370444979.78286900,5180710,1392154358.50000000,1204543320.72109600,0
1618185600000,0.95251000,0.97454000,0.53109000,0.66183000,733121466.40000000,1618790399999,594297156.13098200,1371685,352048591.80000000,285581209.53346200,0
1618790400000,0.66184000,0.88500000,0.45800000,0.61598000,693082566.30000000,1619395199999,467742555.66748400,1119830,344716537.50000000,233239442.07808500,0
1619395200000,0.61598000,0.88350000,0.59301000,0.75653000,449628668.50000000,1619999999999,324571120.01308600,868828,227792652.40000000,164509331.03821400,0
1620000000000,0.75664000,0.81999000,0.60000000,0.62365000,301675493.30000000,1620604799999,209696099.10726500,567477,149204858.70000000,103833141.11990100,0
1620604800000,0.62410000,0.75000000,0.48289000,0.58492000,372256505.20000000,1621209599999,229225528.45787600,695785,187321025.50000000,115568013.75840700,0
1621209600000,0.58554000,0.58810000,0.19287000,0.27955000,351287542.10000000,1621814399999,141676900.29026500,486437,171991184.50000000,69215075.18150500,0
1621814400000,0.28005000,0.47611000,0.26668000,0.35440000,261135765.40000000,1622419199999,99161289.22343600,396068,132945747.20000000,50544414.04648800,0
1622419200000,0.35479000,0.41995000,0.32905000,0.35345000,166848820.00000000,1623023999999,62578519.07881600,268527,84641838.60000000,31771852.26908400,0
1623024000000,0.35315000,0.36999000,0.25000000,0.29111000,142042409.30000000,1623628799999,43146674.81067600,197759,71549194.80000000,21736061.75336300,0
1623628800000,0.29134000,0.36862000,0.25053000,0.27447000,127083828.70000000,1624233599999,38826760.22611100,189975,63402940.20000000,19361613.87313300,0
1624233600000,0.27407000,0.27671000,0.17500000,0.22466000,125445092.40000000,1624838399999,26796549.89923000,145302,61902455.50000000,13205234.63326300,0
1624838400000,0.22459000,0.23993000,0.20002000,0.21635000,86573844.60000000,1625443199999,18839276.69282100,96501,43179671.20000000,9394164.25080500,0
1625443200000,0.21636000,0.25000000,0.20171000,0.22406000,159439892.10000000,1626047999999,35439526.19198200,168792,81554547.70000000,18168789.01541200,0
1626048000000,0.22405000,0.24671000,0.19000000,0.20630000,199151365.90000000,1626652799999,42936970.49788300,192609,101865380.80000000,21990298.58570700,0
1626652800000,0.20605000,0.22900000,0.16355000,0.22775000,134947985.10000000,1627257599999,26477599.13747800,121500,68896669.20000000,13553709.93072900,0
1627257600000,0.22779000,0.27403000,0.21038000,0.24682000,214735109.20000000,1627862399999,52766963.77284000,217002,108056028.50000000,26552607.26787500,0
1627862400000,0.24660000,0.30821000,0.24256000,0.27061000,163788408.80000000,1628467199999,45302093.90352800,199891,82689828.50000000,22901934.03860000,0
1628467200000,0.27019000,0.47000000,0.26069000,0.40654000,521557532.70000000,1629071999999,204292818.15130100,706879,267825650.60000000,104857927.79958200,0
1629072000000,0.40626000,0.44815000,0.32410000,0.42736000,185282619.20000000,1629676799999,74082936.65722800,255724,92757620.40000000,37106599.92142000,0
1629676800000,0.42739000,0.51979000,0.38980000,0.44740000,256322372.60000000,1630281599999,117760673.05190900,376508,129760270.70000000,59742156.04392100,0
1630281600000,0.44760000,0.57100000,0.42320000,0.53270000,234905623.50000000,1630886399999,115143303.21582400,335758,119664808.50000000,58794046.23462400,0
1630886400000,0.53240000,0.54990000,0.33600000,0.38620000,193679840.50000000,1631491199999,82633147.90448400,278990,95373342.70000000,40594812.08375600,0
1631491200000,0.38630000,0.43440000,0.33510000,0.37000000,112120425.00000000,1632095999999,43569680.44774000,159285,54957113.00000000,21386156.17330000,0
1632096000000,0.37040000,0.37050000,0.26820000,0.28830000,87543105.80000000,1632700799999,27150343.53437900,120168,42104836.40000000,13059648.68226000,0
1632700800000,0.28820000,0.35680000,0.26480000,0.33810000,64022800.00000000,1633305599999,19944188.51480000,90243,31936483.00000000,9958222.18460000,0
1633305600000,0.33830000,0.42670000,0.31340000,0.34000000,151941414.00000000,1633910399999,55931722.11960000,217788,76209786.00000000,28088866.90600000,0
1633910400000,0.34000000,0.74000000,0.32250000,0.47610000,660332330.80000000,1634515199999,346035329.21151300,1059241,332772772.60000000,174550893.56752300,0
1634515200000,0.47650000,0.54170000,0.41470000,0.42230000,154970362.00000000,1635119999999,73466809.92020000,261624,77257201.00000000,36733789.43010000,0
1635120000000,0.42200000,0.50350000,0.33530000,0.43350000,151987500.00000000,1635724799999,64905767.53660000,251141,75109885.00000000,32154623.35690000,0
1635724800000,0.43350000,0.74600000,0.41000000,0.69400000,541633786.70000000,1636329599999,306401241.01822500,958459,275637805.90000000,156424525.81864500,0
1636329600000,0.69470000,0.81410000,0.53250000,0.68960000,485551487.90000000,1636934399999,324026421.81171900,987584,241785119.80000000,161612217.81474900,0
1636934400000,0.68930000,0.69180000,0.49530000,0.57140000,158694638.00000000,1637539199999,91703227.42040000,259248,77685099.00000000,44911053.76260000,0
1637539200000,0.57130000,0.63930000,0.46400000,0.55290000,228622999.00000000,1638143999999,127267308.74400000,357359,111837644.00000000,62416868.13270000,0
1638144000000,0.55220000,0.56110000,0.32060000,0.38050000,138629823.00000000,1638748799999,66468004.45210000,209211,67013946.00000000,32201211.78020000,0
1638748800000,0.38080000,0.39460000,0.34330000,0.38940000,11537209.00000000,1639353599999,4302692.74710000,17815,5518811.00000000,2060545.98890000,0
